case_id,period,group,requests,known_lifecycle,median_native_return,median_capital_days
R2_RP150_S10_F0,DISCOVERY,FUNDED,1231,1033,0.0467395318968768,21.33402872428462
R2_RP150_S10_F0,DISCOVERY,REJECTED,2340,967,0.0595289013809116,21.46175353961365
R2_RP150_S10_F1,DISCOVERY,FUNDED,1230,1033,0.0467395318968768,21.33402872428462
R2_RP150_S10_F1,DISCOVERY,REJECTED,2341,967,0.0595289013809116,21.46175353961365
R2_RP150_S15_F0,DISCOVERY,FUNDED,1231,1033,0.0467395318968768,21.33402872428462
R2_RP150_S15_F0,DISCOVERY,REJECTED,2340,967,0.0595289013809116,21.46175353961365
R2_RP150_S15_F1,DISCOVERY,FUNDED,1230,1033,0.0467395318968768,21.33402872428462
R2_RP150_S15_F1,DISCOVERY,REJECTED,2341,967,0.0595289013809116,21.46175353961365
R2_RP150_S20_F0,DISCOVERY,FUNDED,1231,1033,0.0467395318968768,21.33402872428462
R2_RP150_S20_F0,DISCOVERY,REJECTED,2340,967,0.0595289013809116,21.46175353961365
R2_RP150_S20_F1,DISCOVERY,FUNDED,1230,1033,0.0467395318968768,21.33402872428462
R2_RP150_S20_F1,DISCOVERY,REJECTED,2341,967,0.0595289013809116,21.46175353961365
R0_RP100_S10_F0,VALIDATION,FUNDED,525,482,0.01988202564599945,21.921970202130595
R0_RP100_S10_F0,VALIDATION,REJECTED,711,408,0.02479998357033405,22.033484351504562
R0_RP100_S10_F1,VALIDATION,FUNDED,525,482,0.01988202564599945,21.921970202130595
R0_RP100_S10_F1,VALIDATION,REJECTED,711,408,0.02479998357033405,22.033484351504562
R0_RP75_S10_F0,VALIDATION,FUNDED,523,482,0.01988202564599945,21.921970202130595
R0_RP75_S10_F0,VALIDATION,REJECTED,713,408,0.02479998357033405,22.033484351504562
R0_RP75_S10_F1,VALIDATION,FUNDED,523,482,0.01988202564599945,21.921970202130595
R0_RP75_S10_F1,VALIDATION,REJECTED,713,408,0.02479998357033405,22.033484351504562
R1_RP100_S10_F0,VALIDATION,FUNDED,523,457,0.0190569132537486,21.913428045869043
R1_RP100_S10_F0,VALIDATION,REJECTED,713,433,0.0255089257310485,22.053562659850087
R1_RP100_S10_F1,VALIDATION,FUNDED,523,457,0.0190569132537486,21.913428045869043
R1_RP100_S10_F1,VALIDATION,REJECTED,713,433,0.0255089257310485,22.053562659850087
R1_RP75_S10_F0,VALIDATION,FUNDED,522,457,0.0190569132537486,21.913428045869043
R1_RP75_S10_F0,VALIDATION,REJECTED,714,433,0.0255089257310485,22.053562659850087
R1_RP75_S10_F1,VALIDATION,FUNDED,522,457,0.0190569132537486,21.913428045869043
R1_RP75_S10_F1,VALIDATION,REJECTED,714,433,0.0255089257310485,22.053562659850087
