case_id,strategy,account_multiplier,ratio_type,p50,p75,p90,p95,p99,max,missing_denominator,grade
R1_RP75_S10_F0,ATRDR,10,order_to_ADV20,0.005423687775333724,0.011179439150939904,0.0190051862157271,0.02593403717169972,0.041703145765895115,0.07919884286893758,5,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,MCB,1,order_to_daily_amount,0.0002571137455575803,0.0004206805481594001,0.0008108448591126599,0.001110475116309328,0.0014482549503143298,0.0016213731725260609,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,MCB,1,order_to_ADV20,0.0007189638602720396,0.0013535821389422224,0.001988352584933175,0.002095024056172349,0.0025897848964821497,0.0026079160186657925,3,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,MCB,2,order_to_daily_amount,0.0005142274911151606,0.0008413610963188002,0.0016216897182253199,0.002220950232618656,0.0028965099006286596,0.0032427463450521218,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,MCB,2,order_to_ADV20,0.0014379277205440791,0.002707164277884445,0.00397670516986635,0.004190048112344698,0.0051795697929642994,0.005215832037331585,3,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,MCB,5,order_to_daily_amount,0.0012855687277879015,0.0021034027407970004,0.0040542242955633,0.00555237558154664,0.00724127475157165,0.008106865862630305,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,MCB,5,order_to_ADV20,0.0035948193013601976,0.006767910694711112,0.009941762924665875,0.010475120280861746,0.012948924482410749,0.013039580093328963,3,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,MCB,10,order_to_daily_amount,0.002571137455575803,0.004206805481594001,0.0081084485911266,0.01110475116309328,0.0144825495031433,0.01621373172526061,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,MCB,10,order_to_ADV20,0.007189638602720395,0.013535821389422224,0.01988352584933175,0.020950240561723493,0.025897848964821498,0.026079160186657926,3,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,OGR,1,order_to_daily_amount,0.0010946849937420382,0.0022573805161962964,0.0036959489052959317,0.00487741975689324,0.008324393924542216,0.0112165418252693,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,OGR,1,order_to_ADV20,0.0009421019936038361,0.0018301199290190358,0.0030545680229660814,0.00396769618605176,0.006392179815729119,0.008142554753497072,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,OGR,2,order_to_daily_amount,0.0021893699874840763,0.004514761032392593,0.007391897810591863,0.00975483951378648,0.016648787849084433,0.0224330836505386,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,OGR,2,order_to_ADV20,0.0018842039872076723,0.0036602398580380716,0.006109136045932163,0.00793539237210352,0.012784359631458238,0.016285109506994144,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,OGR,5,order_to_daily_amount,0.005473424968710191,0.011286902580981483,0.018479744526479658,0.0243870987844662,0.041621969622711086,0.056082709126346504,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,OGR,5,order_to_ADV20,0.00471050996801918,0.00915059964509518,0.015272840114830408,0.019838480930258796,0.0319608990786456,0.04071277376748536,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,OGR,10,order_to_daily_amount,0.010946849937420382,0.022573805161962966,0.036959489052959316,0.0487741975689324,0.08324393924542217,0.11216541825269301,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,OGR,10,order_to_ADV20,0.00942101993603836,0.01830119929019036,0.030545680229660817,0.03967696186051759,0.0639217981572912,0.08142554753497072,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,SMV6,1,order_to_execution_window_volume,0.13355828926275615,0.4975448016337395,0.5,0.5,0.5,0.5,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,SMV6,2,order_to_execution_window_volume,0.2671165785255123,0.995089603267479,1.0,1.0,1.0,1.0,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,SMV6,5,order_to_execution_window_volume,0.6677914463137806,2.4877240081686973,2.5,2.5,2.5,2.5,0,DESCRIPTIVE_NO_IMPACT_MODEL
R1_RP75_S10_F0,SMV6,10,order_to_execution_window_volume,1.3355828926275612,4.975448016337395,5.0,5.0,5.0,5.0,0,DESCRIPTIVE_NO_IMPACT_MODEL
