route,year,phase,model,states,events,signal_dates,weighted_mse,weighted_bias,mean_predicted,mean_realized,top_mean_predicted,top_mean_realized,top_events,top_signal_dates,top_tail,domain_out_fraction,n_features,not_applicable_columns,unexpected_missing_fraction,b0_mse,mse_improvement_over_b0
ATRDR_SLOW_BEAR,2020,DISCOVERY_FORWARD,B1_NO_VOLUME,348,21,15,0.004061801722761683,-0.0021073108702111395,-0.045608676999476065,-0.043501366129264925,-0.006945790813309839,-0.008485130637458392,15,12,-0.057668461494742924,0.0,10,,0.22988505747126436,0.004102164400668772,4.036267790708849e-05
ATRDR_SLOW_BEAR,2020,DISCOVERY_FORWARD,B1_PRICE_AUGMENT_ONLY,348,21,15,0.004079951402307514,-0.00167886164331882,-0.045180227772583736,-0.043501366129264925,-0.006567550082541506,-0.007044461426222792,14,12,-0.057668461494742924,0.0,8,,0.22988505747126436,0.004102164400668772,2.2212998361258e-05
ATRDR_SLOW_BEAR,2021,CONSUMED_HISTORY_TEMPORAL_CHECK,B0,780,53,17,0.0034048250893183108,0.0013362224803624356,-0.03483167351054876,-0.03616789599091119,0.007381713866340454,-0.009293360185544382,30,12,-0.0770160087863092,0.0,6,,0.026923076923076925,0.0034048250893183108,0.0
ATRDR_SLOW_BEAR,2021,CONSUMED_HISTORY_TEMPORAL_CHECK,B1,780,53,17,0.0033673049457973846,0.0009306444356074188,-0.03523725155530377,-0.03616789599091119,0.006106121998755663,-0.011390049798299903,30,12,-0.0770160087863092,0.0,11,,0.21794871794871795,0.0034048250893183108,3.7520143520926134e-05
ATRDR_SLOW_BEAR,2021,CONSUMED_HISTORY_TEMPORAL_CHECK,B2_PRICE,780,53,17,0.0037426778918549955,-0.005959539958402387,-0.04212743594931358,-0.03616789599091119,-0.019054314963514164,-0.013484755080068038,38,13,-0.09778383838383864,0.0,6,,0.026923076923076925,0.0034048250893183108,-0.0003378528025366847
ATRDR_SLOW_BEAR,2021,CONSUMED_HISTORY_TEMPORAL_CHECK,B2_EXTENDED,780,53,17,0.0037426778918549916,-0.005959539958402295,-0.04212743594931349,-0.03616789599091119,-0.019054314963513973,-0.013484755080068038,38,13,-0.09778383838383864,0.0,11,,0.21794871794871795,0.0034048250893183108,-0.0003378528025366808
ATRDR_SLOW_BEAR,2021,CONSUMED_HISTORY_TEMPORAL_CHECK,B1_NO_STRUCTURE,780,53,17,0.003409526710918292,0.0006378111684393863,-0.0355300848224718,-0.03616789599091119,0.005372396892957627,-0.011436470151336038,32,12,-0.0770160087863092,0.0,9,,0.21794871794871795,0.0034048250893183108,-4.701621599981307e-06
ATRDR_SLOW_BEAR,2021,CONSUMED_HISTORY_TEMPORAL_CHECK,B1_NO_VOLUME,780,53,17,0.0033718481662782856,0.0011126170291633711,-0.035055278961747816,-0.03616789599091119,0.007016965113142795,-0.010953136145710788,30,13,-0.0770160087863092,0.0,10,,0.21794871794871795,0.0034048250893183108,3.2976923040025155e-05
ATRDR_SLOW_BEAR,2021,CONSUMED_HISTORY_TEMPORAL_CHECK,B1_PRICE_AUGMENT_ONLY,780,53,17,0.0034129842881827363,0.0008059967094175132,-0.03536189928149368,-0.03616789599091119,0.006169807996654553,-0.011797594215133074,32,12,-0.0770160087863092,0.0,8,,0.21794871794871795,0.0034048250893183108,-8.159198864425565e-06
ATRDR_SLOW_BEAR,2022,CONSUMED_HISTORY_TEMPORAL_CHECK,B0,957,69,19,0.003420158551593953,-0.01109010893642892,-0.047480682232388965,-0.03639057329596004,-0.006603550303660468,-0.004832351452245202,32,14,-0.06744727109662947,0.014492753623188406,6,,0.0,0.003420158551593953,0.0
