route,policy,family,value,period,start,end,selection_boundary_excluded,n,mature_n,censored_n,independent_events,signal_dates,triggered,filled,unfilled_attempts,trigger_dates,mean_advantage,median_advantage,total_advantage_amount,winner_denominator,winner_interruption,winner_harm,winner_to_loss,winner_harm_amount,severe_denominator,loss_rescue,loss_rescue_amount,native_tail,policy_tail,released_calendar_days
MCB,fixed_0.05,fixed,0.05,EVALUATION,2021-01-01,2023-12-31,0,294,294,0,294,39,93,88,0,61,-0.006634748872786731,0.0,-0.05250531773644682,172,15,15,15,-0.06419208144127352,15,13,0.026546834438718327,-0.12752046071899029,-0.09399386879946488,950.0
MCB,fixed_0.075,fixed,0.075,DISCOVERY,2014-01-01,2020-12-31,2,714,714,0,714,85,133,127,6,67,-0.0076894918322275956,0.0,-0.11936658248454413,460,25,25,25,-0.10352598239170996,31,28,0.022592625589497425,-0.12133123470115399,-0.11262416397242629,1428.0
MCB,fixed_0.075,fixed,0.075,EVALUATION,2021-01-01,2023-12-31,0,294,294,0,294,39,45,44,0,37,-0.0022138573785576853,0.0,-0.015516998179638296,172,3,3,3,-0.015186726988858404,15,12,0.01589688272511115,-0.12752046071899029,-0.10520355019888895,405.0
MCB,fixed_0.1,fixed,0.1,DISCOVERY,2014-01-01,2020-12-31,2,714,714,0,714,85,61,60,0,32,-0.003013891243111394,0.0,-0.046651163059078196,460,8,8,8,-0.03582869237502247,31,24,0.009383241576343104,-0.12133123470115399,-0.1229831992103973,615.0
MCB,fixed_0.1,fixed,0.1,EVALUATION,2021-01-01,2023-12-31,0,294,294,0,294,39,22,21,0,19,-0.002404055207231264,0.0,-0.01835294032820717,172,3,3,3,-0.017415000843393785,15,7,0.006879234756953642,-0.12752046071899029,-0.11993314813476914,176.0
MCB,fixed_0.125,fixed,0.125,DISCOVERY,2014-01-01,2020-12-31,2,714,714,0,714,85,23,23,0,16,-0.0008809910820206202,0.0,-0.01406791367273781,460,1,1,1,-0.003649404436919033,31,7,0.002036451135399495,-0.12133123470115399,-0.13352104754001487,211.0
MCB,fixed_0.125,fixed,0.125,EVALUATION,2021-01-01,2023-12-31,0,294,294,0,294,39,8,8,0,6,-0.0007908842865531471,0.0,-0.005984359411446534,172,1,1,1,-0.007516165200485144,15,4,0.003934620985506192,-0.12752046071899029,-0.12664381758288698,103.0
MCB,fixed_0.15,fixed,0.15,DISCOVERY,2014-01-01,2020-12-31,2,714,714,0,714,85,11,11,0,7,-0.0003302537039488319,0.0,-0.005619394900817432,460,0,0,0,,31,1,9.785814803696967e-05,-0.12133123470115399,-0.12788126649613918,88.0
MCB,fixed_0.15,fixed,0.15,EVALUATION,2021-01-01,2023-12-31,0,294,294,0,294,39,5,4,0,4,-0.001162748246086703,0.0,-0.008967647813406202,172,1,1,1,-0.00782122998818853,15,2,0.00022284248641987387,-0.12752046071899029,-0.1339323511897447,45.0
MCB,fixed_0.2,fixed,0.2,DISCOVERY,2014-01-01,2020-12-31,2,714,714,0,714,85,2,2,0,2,-3.9268059706618505e-05,0.0,-0.0006118950830161662,460,0,0,0,,31,1,0.00024464537009242235,-0.12133123470115399,-0.12211005121866864,12.0
MCB,fixed_0.2,fixed,0.2,EVALUATION,2021-01-01,2023-12-31,0,294,294,0,294,39,0,0,0,0,0.0,0.0,0.0,172,0,0,0,,15,0,,-0.12752046071899029,-0.12752046071899029,0.0
MCB,atr_1,atr,1.0,DISCOVERY,2014-01-01,2020-12-31,2,714,714,0,714,85,381,373,7,155,-0.02330061642629463,0.0,-0.35980996118449565,460,153,153,152,-0.41700741182217954,31,29,0.04570342469032071,-0.12133123470115399,-0.1010202972085752,5597.0
MCB,atr_1,atr,1.0,EVALUATION,2021-01-01,2023-12-31,0,294,294,0,294,39,149,145,0,85,-0.01016317832047007,0.0,-0.08444797166734384,172,44,44,43,-0.14414866155630265,15,14,0.036360465126248485,-0.12752046071899029,-0.07942349347419714,2053.0
MCB,atr_1.5,atr,1.5,DISCOVERY,2014-01-01,2020-12-31,2,714,714,0,714,85,296,288,1,130,-0.016757963767749587,0.0,-0.2614010944407361,460,90,90,90,-0.26685749767467787,31,28,0.0369159511478247,-0.12133123470115399,-0.10563843207799305,3913.0
MCB,atr_1.5,atr,1.5,EVALUATION,2021-01-01,2023-12-31,0,294,294,0,294,39,106,103,0,65,-0.006114639691687764,0.0,-0.049679774151875036,172,18,18,17,-0.07103341668714416,15,13,0.02555560884647649,-0.12752046071899029,-0.095092170366178,1156.0
MCB,atr_2,atr,2.0,DISCOVERY,2014-01-01,2020-12-31,2,714,714,0,714,85,221,211,6,90,-0.012457817810477294,0.0,-0.19596771660625983,460,57,57,57,-0.1878014856859801,31,27,0.032621617859254354,-0.12133123470115399,-0.10934396457303507,2695.0
MCB,atr_2,atr,2.0,EVALUATION,2021-01-01,2023-12-31,0,294,294,0,294,39,77,73,0,52,-0.005212532771555901,0.0,-0.043176949282231425,172,11,11,11,-0.04618065810164332,15,11,0.015984478498653806,-0.12752046071899029,-0.10803998285035536,765.0
MCB,atr_2.5,atr,2.5,DISCOVERY,2014-01-01,2020-12-31,2,714,714,0,714,85,149,142,0,73,-0.007229628375384793,0.0,-0.11510452941134333,460,24,24,24,-0.09809613556796984,31,26,0.019842013975467965,-0.12133123470115399,-0.11609028508094034,1608.0
MCB,atr_2.5,atr,2.5,EVALUATION,2021-01-01,2023-12-31,0,294,294,0,294,39,57,55,0,40,-0.003879752206776539,0.0,-0.03127845628197218,172,5,5,5,-0.027562389950865664,15,10,0.01312017893335829,-0.12752046071899029,-0.1154151728473121,440.0
MCB,atr_3,atr,3.0,DISCOVERY,2014-01-01,2020-12-31,2,714,714,0,714,85,88,85,0,44,-0.0037018264971502056,0.0,-0.06209448925383171,460,10,10,10,-0.04909623970065972,31,24,0.012303120163231113,-0.12133123470115399,-0.12348405554984344,878.0
MCB,atr_3,atr,3.0,EVALUATION,2021-01-01,2023-12-31,0,294,294,0,294,39,40,34,0,29,-0.0034570513401431997,0.0,-0.02837654257428606,172,4,4,4,-0.025365958106442994,15,9,0.010091846375351841,-0.12752046071899029,-0.11688988345326075,277.0
MCB,time_3,time,3.0,DISCOVERY,2014-01-01,2020-12-31,2,714,714,0,714,85,506,504,2,148,-0.02748200938483924,0.0,-0.41372191776917555,460,252,252,239,-0.5740554753727294,31,30,0.061603760608754776,-0.12133123470115399,-0.08636737160461443,7942.0
MCB,time_3,time,3.0,EVALUATION,2021-01-01,2023-12-31,0,294,294,0,294,39,203,202,0,76,-0.012388127394723952,0.0,-0.09905643142627342,172,81,80,69,-0.2121589542675577,15,14,0.03739097302270481,-0.12752046071899029,-0.0858567857096147,2934.0
MCB,time_5,time,5.0,DISCOVERY,2014-01-01,2020-12-31,2,714,714,0,714,85,454,452,0,126,-0.020987836790319892,0.0,-0.3151654157213478,460,200,200,194,-0.42454892646626746,31,30,0.04602445094359855,-0.12133123470115399,-0.09216048448179384,6178.0
MCB,time_5,time,5.0,EVALUATION,2021-01-01,2023-12-31,0,294,294,0,294,39,195,193,0,71,-0.012151002038486354,0.0,-0.10090606925520579,172,73,73,66,-0.1874904056965142,15,14,0.032942400680402675,-0.12752046071899029,-0.09698136534828888,2307.0
MCB,time_8,time,8.0,DISCOVERY,2014-01-01,2020-12-31,2,714,714,0,714,85,379,370,0,110,-0.011761867005108126,0.0,-0.1723634514261166,460,127,126,120,-0.22685417126961746,31,26,0.02747706398615389,-0.12133123470115399,-0.11547246968717276,3738.0
MCB,time_8,time,8.0,EVALUATION,2021-01-01,2023-12-31,0,294,294,0,294,39,175,173,0,59,-0.008105117395297918,0.0,-0.06713193625718622,172,53,53,51,-0.12834058519855174,15,14,0.03253937263173205,-0.12752046071899029,-0.11105761378078756,1508.0
MCB,H1_2,H1,2.0,DISCOVERY,2014-01-01,2020-12-31,2,714,714,0,714,85,210,202,0,104,-0.008399990896805407,0.0,-0.12405078234750168,460,49,49,49,-0.13165960607290095,31,27,0.030404854189019722,-0.12133123470115399,-0.10707985765698952,2419.0
MCB,H1_2,H1,2.0,EVALUATION,2021-01-01,2023-12-31,0,294,294,0,294,39,84,80,0,57,-0.004462988206731897,0.0,-0.03326051146891647,172,11,11,11,-0.04670683502966991,15,14,0.018462707223617484,-0.12752046071899029,-0.11264532496869366,870.0
MCB,H2_0,H2,0.0,DISCOVERY,2014-01-01,2020-12-31,2,714,714,0,714,85,284,272,0,139,-0.011556537173677179,0.0,-0.17490248276163858,460,92,92,89,-0.20883546281521914,31,20,0.027667412361277444,-0.12133123470115399,-0.10969809174224056,3295.0
MCB,H2_0,H2,0.0,EVALUATION,2021-01-01,2023-12-31,0,294,294,0,294,39,124,120,0,63,-0.0062613345174101125,0.0,-0.052839133180572186,172,34,34,33,-0.08702830271568393,15,11,0.023716871626973262,-0.12752046071899029,-0.10473776455824377,1165.0
OGR,native_0,native,0.0,DISCOVERY,2018-01-01,2021-12-31,0,255,255,0,255,55,0,0,0,0,0.0,0.0,0.0,232,0,0,0,,6,0,,-0.10158149933120991,-0.10158149933120991,0.0
