opportunity_id,strategy,status,error
000839.SZ|2018-10-08,OGR,PASS,
002100.SZ|2018-09-26,OGR,PASS,
002928.SZ|2018-10-08,OGR,PASS,
300053.SZ|2018-10-08,OGR,PASS,
300353.SZ|2018-10-08,OGR,PASS,
300534.SZ|2018-10-08,OGR,PASS,
300050.SZ|2018-10-08,OGR,PASS,
300027.SZ|2018-10-08,OGR,PASS,
300017.SZ|2018-10-08,OGR,PASS,
603829.SH|2018-10-08,OGR,PASS,
002649.SZ|2018-09-28,OGR,PASS,
002837.SZ|2018-10-08,OGR,PASS,
300316.SZ|2018-10-08,OGR,PASS,
300623.SZ|2018-10-08,OGR,PASS,
002236.SZ|2018-10-08,OGR,PASS,
300007.SZ|2018-10-08,OGR,PASS,
300678.SZ|2018-10-08,OGR,PASS,
002553.SZ|2018-10-11,OGR,PASS,
000957.SZ|2018-10-11,OGR,PASS,
600604.SH|2018-10-11,OGR,PASS,
000572.SZ|2018-10-11,OGR,PASS,
600336.SH|2018-10-11,OGR,PASS,
002694.SZ|2018-10-11,OGR,PASS,
000868.SZ|2018-10-11,OGR,PASS,
000718.SZ|2018-10-11,OGR,PASS,
600831.SH|2018-10-11,OGR,PASS,
603758.SH|2018-10-11,OGR,PASS,
600388.SH|2018-10-11,OGR,PASS,
002494.SZ|2018-10-11,OGR,PASS,
002400.SZ|2018-10-11,OGR,PASS,
000850.SZ|2018-10-11,OGR,PASS,
300613.SZ|2018-10-11,OGR,PASS,
300157.SZ|2018-10-12,OGR,PASS,
000727.SZ|2018-10-11,OGR,PASS,
002285.SZ|2018-10-11,OGR,PASS,
002043.SZ|2018-10-11,OGR,PASS,
300287.SZ|2018-10-11,OGR,PASS,
000917.SZ|2018-10-11,OGR,PASS,
600410.SH|2018-10-11,OGR,PASS,
002340.SZ|2018-10-11,OGR,PASS,
300396.SZ|2018-10-12,OGR,PASS,
002093.SZ|2018-10-11,OGR,PASS,
002703.SZ|2018-10-11,OGR,PASS,
600371.SH|2018-10-11,OGR,PASS,
002920.SZ|2018-10-11,OGR,PASS,
000905.SZ|2018-10-11,OGR,PASS,
002045.SZ|2018-10-11,OGR,PASS,
601611.SH|2018-10-11,OGR,PASS,
600616.SH|2018-10-11,OGR,PASS,
300242.SZ|2018-10-11,OGR,PASS,
600303.SH|2018-10-11,OGR,PASS,
600975.SH|2018-10-11,OGR,PASS,
002685.SZ|2018-10-11,OGR,PASS,
000536.SZ|2018-10-11,OGR,PASS,
002362.SZ|2018-10-11,OGR,PASS,
300504.SZ|2018-10-11,OGR,PASS,
600558.SH|2018-10-11,OGR,PASS,
002169.SZ|2018-10-11,OGR,PASS,
600206.SH|2018-10-11,OGR,PASS,
600594.SH|2018-10-11,OGR,PASS,
600537.SH|2018-10-11,OGR,PASS,
600862.SH|2018-10-11,OGR,PASS,
600829.SH|2018-10-11,OGR,PASS,
002826.SZ|2018-10-11,OGR,PASS,
002073.SZ|2018-10-11,OGR,PASS,
002590.SZ|2018-10-11,OGR,PASS,
000700.SZ|2018-10-11,OGR,PASS,
601038.SH|2018-10-11,OGR,PASS,
300039.SZ|2018-10-11,OGR,PASS,
600770.SH|2018-10-11,OGR,PASS,
600360.SH|2018-10-11,OGR,PASS,
600552.SH|2018-10-11,OGR,PASS,
000417.SZ|2018-10-11,OGR,PASS,
601890.SH|2018-10-11,OGR,PASS,
002292.SZ|2018-10-11,OGR,PASS,
000592.SZ|2018-10-11,OGR,PASS,
600846.SH|2018-10-11,OGR,PASS,
000021.SZ|2018-10-11,OGR,PASS,
600736.SH|2018-10-11,OGR,PASS,
603022.SH|2018-10-11,OGR,PASS,
002335.SZ|2018-10-11,OGR,PASS,
002284.SZ|2018-10-11,OGR,PASS,
002091.SZ|2018-10-11,OGR,PASS,
601700.SH|2018-10-11,OGR,PASS,
002429.SZ|2018-10-11,OGR,PASS,
002454.SZ|2018-10-11,OGR,PASS,
600066.SH|2018-10-11,OGR,PASS,
601777.SH|2018-10-11,OGR,PASS,
600522.SH|2018-10-11,OGR,PASS,
600082.SH|2018-10-11,OGR,PASS,
601369.SH|2018-10-11,OGR,PASS,
600839.SH|2018-10-11,OGR,PASS,
603180.SH|2018-10-11,OGR,PASS,
601828.SH|2018-10-11,OGR,PASS,
600072.SH|2018-10-11,OGR,PASS,
300035.SZ|2018-10-11,OGR,PASS,
002329.SZ|2018-10-11,OGR,PASS,
603366.SH|2018-10-11,OGR,PASS,
300115.SZ|2018-10-11,OGR,PASS,
300579.SZ|2018-10-11,OGR,PASS,
300306.SZ|2018-10-11,OGR,PASS,
300597.SZ|2018-10-11,OGR,PASS,
300213.SZ|2018-10-11,OGR,PASS,
300051.SZ|2018-10-11,OGR,PASS,
300277.SZ|2018-10-11,OGR,PASS,
300148.SZ|2018-10-11,OGR,PASS,
300254.SZ|2018-10-11,OGR,PASS,
300560.SZ|2018-10-08,OGR,PASS,
300147.SZ|2018-10-11,OGR,PASS,
