year,dimension,label,score,n,fraction
2021,spike_distribution,WINNER,-1.0,12,0.26666666666666666
2021,spike_distribution,WINNER,-2.0,2,0.044444444444444446
2021,volume_alignment,LOSER,1.0,30,0.6666666666666666
2021,volume_alignment,LOSER,0.0,10,0.2222222222222222
2021,volume_alignment,LOSER,-1.0,4,0.08888888888888889
2021,volume_alignment,LOSER,2.0,1,0.022222222222222223
2021,volume_alignment,NEUTRAL,1.0,32,0.7111111111111111
2021,volume_alignment,NEUTRAL,0.0,7,0.15555555555555556
2021,volume_alignment,NEUTRAL,-1.0,4,0.08888888888888889
2021,volume_alignment,NEUTRAL,2.0,2,0.044444444444444446
2021,volume_alignment,WINNER,1.0,35,0.7777777777777778
2021,volume_alignment,WINNER,-1.0,4,0.08888888888888889
2021,volume_alignment,WINNER,0.0,3,0.06666666666666667
2021,volume_alignment,WINNER,2.0,2,0.044444444444444446
2021,volume_alignment,WINNER,,1,0.022222222222222223
2021,rejection,LOSER,0.0,44,0.9777777777777777
2021,rejection,LOSER,-1.0,1,0.022222222222222223
2021,rejection,NEUTRAL,0.0,43,0.9555555555555556
2021,rejection,NEUTRAL,1.0,1,0.022222222222222223
2021,rejection,NEUTRAL,-1.0,1,0.022222222222222223
2021,rejection,WINNER,0.0,44,0.9777777777777777
2021,rejection,WINNER,-1.0,1,0.022222222222222223
2021,context,LOSER,-1.0,16,0.35555555555555557
2021,context,LOSER,0.0,10,0.2222222222222222
2021,context,LOSER,-2.0,10,0.2222222222222222
2021,context,LOSER,1.0,6,0.13333333333333333
2021,context,LOSER,2.0,3,0.06666666666666667
2021,context,NEUTRAL,-1.0,15,0.3333333333333333
2021,context,NEUTRAL,-2.0,14,0.3111111111111111
2021,context,NEUTRAL,1.0,6,0.13333333333333333
2021,context,NEUTRAL,2.0,5,0.1111111111111111
2021,context,NEUTRAL,0.0,5,0.1111111111111111
2021,context,WINNER,-2.0,13,0.28888888888888886
2021,context,WINNER,-1.0,13,0.28888888888888886
2021,context,WINNER,0.0,7,0.15555555555555556
2021,context,WINNER,2.0,7,0.15555555555555556
2021,context,WINNER,1.0,5,0.1111111111111111
