decision_at,total_distinct_legal_requested_notional,number_of_distinct_competing_opportunities,legal_opportunity_count,trade_date,cash_available_before_funding,gross_headroom_before_funding,nav,fundable_notional,constrained_notional,funded_count,unfunded_for_capital_reason_count,conflict_status
2023-11-13 15:00:00,778917.0209391209,2,18,2023-11-13,7490736.156413437,113953.25335949105,7604689.409772928,778917.0209391209,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2023-11-14 15:00:00,1106589.9349232973,2,25,2023-11-14,6711819.135474314,889719.1595624504,7601538.295036765,1106589.9349232973,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2023-11-15 15:00:00,1148343.065935655,2,26,2023-11-15,5688755.695737857,1903319.5871500075,7592075.282887865,1148343.065935655,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2023-11-16 00:00:00,254942.72875007996,1,1,2023-11-16,4285469.9010521155,3274196.5216257605,7559666.422677876,254942.72875007996,0.0,,,NO_CONFLICT
2023-11-17 15:00:00,1345702.4515211622,2,31,2023-11-17,4288127.241477716,3284816.3823391283,7572943.623816844,1345702.4515211622,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2023-11-20 15:00:00,259421.3771157593,2,7,2023-11-20,3031889.335209278,4601799.886853942,7633689.222063219,259421.3771157593,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2023-11-21 15:00:00,59987.35709855566,1,1,2023-11-21,2944096.9385593235,4641101.240211253,7585198.178770577,59987.35709855566,0.0,,,NO_CONFLICT
2023-11-22 15:00:00,43959.78389327804,1,1,2023-11-22,2982373.2351986873,4558526.385481364,7540899.620680051,43959.78389327804,0.0,,,NO_CONFLICT
2024-01-03 00:00:00,682491.6,1,2,2024-01-03,7053019.358963515,506202.60000000003,7559221.958963514,682491.6,0.0,,,NO_CONFLICT
2024-01-25 15:00:00,6757.482057881675,1,1,2024-01-25,7554878.17824129,0.0,7554878.17824129,6757.482057881675,0.0,,,NO_CONFLICT
2024-02-06 15:00:00,7345.7298401685475,1,1,2024-02-06,7548140.113029941,4516.3973336472645,7552656.510363588,7345.7298401685475,0.0,,,NO_CONFLICT
2024-02-08 15:00:00,6728.681859672058,1,1,2024-02-08,7540838.510363357,11859.485276875494,7552697.995640232,6728.681859672058,0.0,,,NO_CONFLICT
2024-02-20 15:00:00,14093.30103746584,1,2,2024-02-20,7534129.162596165,19956.659307196587,7554085.821903362,14093.30103746584,0.0,,,NO_CONFLICT
2024-02-21 15:00:00,84627.372371869,1,12,2024-02-21,7528137.782774924,26873.388894547017,7555011.171669471,84627.372371869,0.0,,,NO_CONFLICT
2024-02-22 15:00:00,1129002.8267041817,2,33,2024-02-22,7451453.54111726,108635.63065561769,7560089.171772878,1129002.8267041817,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2024-02-23 15:00:00,1155769.7521329683,2,33,2024-02-23,6361114.3028547475,1253189.863560179,7614304.166414927,1155769.7521329683,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2024-02-26 15:00:00,1068324.6541509843,1,20,2024-02-26,5945239.136251141,1725369.958585168,7670609.09483631,1068324.6541509843,0.0,,,NO_CONFLICT
2024-03-01 00:00:00,684604.2,1,2,2024-03-01,5449396.18487417,2229510.0129061276,7678906.197780298,684604.2,0.0,,,NO_CONFLICT
2024-03-04 00:00:00,1369266.653700028,1,3,2024-03-04,4514462.460473606,3159479.265709611,7673941.726183217,1369266.653700028,0.0,,,NO_CONFLICT
2024-03-07 15:00:00,45911.5754163257,1,1,2024-03-07,4762789.655462921,2922023.105196965,7684812.760659886,45911.5754163257,0.0,,,NO_CONFLICT
2024-03-08 15:00:00,61219.63740320857,1,1,2024-03-08,4716878.080046594,2978582.350201942,7695460.430248536,61219.63740320857,0.0,,,NO_CONFLICT
2024-03-11 15:00:00,752606.1519344407,2,14,2024-03-11,4722316.507239598,3026360.2113821837,7748676.718621781,752606.1519344407,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2024-03-12 00:00:00,1388323.8185164528,1,4,2024-03-12,4086274.824459275,3711933.3115833006,7798208.136042576,1388323.8185164528,0.0,,,NO_CONFLICT
2024-03-12 15:00:00,645730.9484693949,2,13,2024-03-12,4086274.824459275,3711933.3115833006,7798208.136042576,645730.9484693949,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
2024-03-13 15:00:00,94464.77880473137,1,2,2024-03-13,3490246.233515431,4308158.401768458,7798404.635283889,94464.77880473137,0.0,,,NO_CONFLICT
2024-03-21 15:00:00,383251.1151494912,2,8,2024-03-21,4267354.314316738,3632386.07467436,7899740.388991099,383251.1151494912,0.0,,,TRUE_COMPETING_DECISION_DATE_DIAGNOSTIC
