strategy,year,pre_capital_opportunity_count,native_entry_intent_count,native_fill_count,native_exit_count,opportunity_source,native_source,opportunity_first_date,opportunity_last_date,coverage_status
OGR,2024,53,0,0,0,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2024-01-25 15:00:00,2024-07-31 15:00:00,PASS
OGR,2025,31,0,0,0,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2025-01-08 15:00:00,2025-11-07 15:00:00,PASS
OGR,2026 YTD,29,0,0,0,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2026-04-08 15:00:00,2026-08-03 15:00:00,PASS
IFCGR,2018,194,194,194,194,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2018-02-22 15:00:00,2018-11-02 15:00:00,PASS
IFCGR,2019,21,21,21,21,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2019-01-11 15:00:00,2019-11-19 15:00:00,PASS
IFCGR,2020,10,10,10,10,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2020-02-17 15:00:00,2020-11-09 15:00:00,PASS
IFCGR,2021,23,23,23,23,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2021-01-15 15:00:00,2021-11-15 15:00:00,PASS
IFCGR,2022,35,35,35,35,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2022-03-30 15:00:00,2022-11-15 15:00:00,PASS
IFCGR,2023,9,9,9,9,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2023-03-22 15:00:00,2023-11-03 15:00:00,PASS
IFCGR,2024,51,51,51,51,canonical Native ifcgr_intents.parquet,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2024-01-25 15:00:00,2024-07-31 15:00:00,PASS
IFCGR,2025,28,28,28,28,canonical Native ifcgr_intents.parquet,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2025-01-08 15:00:00,2025-11-07 15:00:00,PASS
IFCGR,2026 YTD,26,26,26,26,canonical Native ifcgr_intents.parquet,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2026-04-08 15:00:00,2026-08-03 15:00:00,PASS
SMV6,2018,1,0,1,1,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2018-01-15 00:00:00,2018-01-15 00:00:00,PASS
SMV6,2019,22,0,22,43,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2019-02-12 00:00:00,2019-12-18 00:00:00,PASS
SMV6,2020,37,0,37,85,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2020-06-09 00:00:00,2020-12-22 00:00:00,PASS
SMV6,2021,17,0,17,31,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2021-01-04 00:00:00,2021-12-17 00:00:00,PASS
SMV6,2022,14,0,13,18,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2022-01-04 00:00:00,2022-08-18 00:00:00,PASS
SMV6,2023,18,0,19,42,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2023-01-04 00:00:00,2023-11-16 00:00:00,PASS
SMV6,2024,0,0,21,55,MISSING: registered SMV6 callback producer ends 2023,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,,,FAIL_MISSING_PRECAPITAL
SMV6,2025,0,0,67,125,MISSING: registered SMV6 callback producer ends 2023,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,,,FAIL_MISSING_PRECAPITAL
SMV6,2026 YTD,0,0,18,37,MISSING: registered SMV6 callback producer ends 2023,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,,,FAIL_MISSING_PRECAPITAL
