trade_date,cash,gross_exposure,nav,fees,max_security_exposure,virtual_nav,ATRDR_exposure,ATRDR_nav,MCB_exposure,MCB_nav,OGR_exposure,OGR_nav,SMV6_exposure,SMV6_nav,shared_exposure,previous_nav,gap,mcb_mode,target,mechanic,IFCGR_exposure,IFCGR_nav
2024-01-03,6607525.905787123,506202.60000000003,7113728.505787123,261256.73831731794,506202.60000000003,7113728.505787144,0.0,3111702.3451940464,0.0,1505272.0026641716,,,506202.60000000003,1373580.7276942707,0,7105206.5687364675,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2024-01-04,6607525.905787123,507330.0,7114855.905787123,261256.73831731794,507330.0,7114855.905787144,0.0,3111702.3451940464,0.0,1505272.0026641716,,,507330.0,1374708.1276942706,0,7113728.505787123,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2024-01-05,6757121.184746323,354202.8,7111323.984746323,261286.66335811795,354202.8,7111323.984746344,0.0,3111702.3451940464,0.0,1505272.0026641716,,,354202.8,1371176.2066534706,0,7114855.905787123,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2024-01-08,7109384.725064899,0.0,7109384.725064899,261357.13015954196,0.0,7109384.72506492,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7111323.984746323,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2024-01-09,7109384.725064899,0.0,7109384.725064899,261357.13015954196,0.0,7109384.72506492,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7109384.725064899,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2024-01-10,7109384.725064899,0.0,7109384.725064899,261357.13015954196,0.0,7109384.72506492,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7109384.725064899,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2024-01-11,7109384.725064899,0.0,7109384.725064899,261357.13015954196,0.0,7109384.72506492,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7109384.725064899,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2024-01-12,7109384.725064899,0.0,7109384.725064899,261357.13015954196,0.0,7109384.72506492,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7109384.725064899,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2024-01-15,7109384.725064899,0.0,7109384.725064899,261357.13015954196,0.0,7109384.72506492,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7109384.725064899,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2024-01-16,7109384.725064899,0.0,7109384.725064899,261357.13015954196,0.0,7109384.72506492,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7109384.725064899,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2024-01-17,7109384.725064899,0.0,7109384.725064899,261357.13015954196,0.0,7109384.72506492,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7109384.725064899,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2024-01-18,7109384.725064899,0.0,7109384.725064899,261357.13015954196,0.0,7109384.72506492,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7109384.725064899,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2024-01-19,7109384.725064899,0.0,7109384.725064899,261357.13015954196,0.0,7109384.72506492,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7109384.725064899,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2024-01-22,7109384.725064899,0.0,7109384.725064899,261357.13015954196,0.0,7109384.72506492,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7109384.725064899,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2024-01-23,7109384.725064899,0.0,7109384.725064899,261357.13015954196,0.0,7109384.72506492,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7109384.725064899,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2024-01-24,7109384.725064899,0.0,7109384.725064899,261357.13015954196,0.0,7109384.72506492,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7109384.725064899,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2024-01-25,7109384.725064899,0.0,7109384.725064899,261357.13015954196,0.0,7109384.72506492,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7109384.725064899,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,0.0,1123173.4302346539
2024-01-26,7102646.65985355,6636.771668692925,7109283.431522243,261370.57939150074,6636.771668692925,7109283.431522264,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7109384.725064899,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,6636.771668692925,1123072.1366919978
2024-01-29,7102646.65985355,6379.297642294523,7109025.957495844,261370.57939150074,6379.297642294523,7109025.957495865,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7109283.431522243,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,6379.297642294523,1122814.6626655995
2024-01-30,7102646.65985355,6133.940040667811,7108780.599894217,261370.57939150074,6133.940040667811,7108780.59989424,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7109025.957495844,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,6133.940040667811,1122569.3050639727
2024-01-31,7102646.65985355,5731.0689170091355,7108377.728770559,261370.57939150074,5731.0689170091355,7108377.72877058,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7108780.599894217,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,5731.0689170091355,1122166.433940314
2024-02-01,7102646.65985355,5612.933775485163,7108259.593629035,261370.57939150074,5612.933775485163,7108259.593629057,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7108377.728770559,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,5612.933775485163,1122048.2987987902
2024-02-02,7102646.65985355,5346.372430507993,7107993.032284058,261370.57939150074,5346.372430507993,7107993.032284079,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7108259.593629035,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,5346.372430507993,1121781.737453813
2024-02-05,7102646.65985355,4549.717501769408,7107196.377355319,261370.57939150074,4549.717501769408,7107196.377355341,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7107993.032284058,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,4549.717501769408,1120985.0825250742
2024-02-06,7102646.65985355,4516.397333647263,7107163.057187197,261370.57939150074,4516.397333647263,7107163.057187218,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7107196.377355319,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,4516.397333647263,1120951.7623569523
2024-02-07,7095345.057186966,11383.845039389538,7106728.902226355,261385.15344871947,7252.144192243418,7106728.902226376,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7107163.057187197,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,11383.845039389538,1120517.6073961102
2024-02-08,7095345.057186966,11859.48527687546,7107204.542463841,261385.15344871947,7418.8155980512565,7107204.542463862,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7106728.902226355,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,11859.48527687546,1120993.2476335962
2024-02-19,7088635.709419774,19458.465457164726,7108094.174876939,261398.54536043043,7751.189389865725,7108094.174876959,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7107204.542463841,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,19458.465457164726,1121882.880046693
2024-02-20,7088635.709419774,19956.659307196547,7108592.368726971,261398.54536043043,7861.657647203479,7108592.368726991,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7108094.174876939,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,19956.659307196547,1122381.0738967247
2024-02-21,7082644.329598533,26873.388894546966,7109517.71849308,261442.65786541352,7685.889871932015,7109517.7184931,0.0,3111702.3451940464,0.0,1505272.0026641716,,,0.0,1369236.9469720465,0,7108592.368726971,IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,26873.388894546966,1123306.423662835
