gap,mcb_mode,target,mechanic,year,capital_days_root,capital_days_account
OGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2020,1128651868.3688674,1128651868.3688674
OGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2021,1318210978.3084295,1318210978.3084292
OGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2022,2052670247.5145857,2052670247.514586
OGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2023,2074457969.8218498,2074457969.8218496
OGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2024,2201899141.855938,2201899141.855938
OGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2025,2657490885.480256,2657490885.480257
OGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2026,2026577864.132894,2026577864.1328928
OGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2018,1146579232.3921115,1146579232.3921118
OGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2019,1385971545.3091018,1385971545.3091016
OGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2020,2040792367.3341825,2040792367.3341832
OGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2021,2666976962.3656745,2666976962.365674
OGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2022,4761355997.724874,4761355997.724874
OGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2023,5089031952.4019575,5089031952.401958
OGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2024,5394964174.310369,5394964174.310366
OGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2025,6892498957.770536,6892498957.770538
OGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2026,4935038854.417183,4935038854.417183
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2018,206966589.68506712,206966589.68506712
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2019,212020620.38041922,212020620.3804192
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2020,327345498.19390005,327345498.1939001
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2021,237586983.83846608,237586983.83846605
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2022,300550490.18179005,300550490.1817901
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2023,316697221.9572592,316697221.9572592
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2024,466323587.9979934,466323587.9979932
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2025,685156334.2340118,685156334.2340119
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2026,377570862.12478054,377570862.12478065
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2018,1541415772.6403978,1541415772.640398
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2019,1940833871.0041728,1940833871.0041723
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2020,3213907602.7337623,3213907602.733762
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2021,4661179867.148627,4661179867.148628
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2022,9428533941.2247,9428533941.2247
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2023,10923241765.73128,10923241765.73128
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2024,11316730449.919504,11316730449.91951
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2025,16185696057.291452,16185696057.291445
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2026,13827599113.1022,13827599113.102203
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2018,377910454.1160935,377910454.11609346
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2019,412631435.58483535,412631435.58483535
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2020,466576037.5651854,466576037.5651854
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2021,497288470.8192861,497288470.8192861
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2022,661963764.6686368,661963764.6686366
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2023,641129462.5217768,641129462.5217772
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2024,662360989.8892815,662360989.8892813
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2025,759641861.103428,759641861.1034288
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2026,538611663.9491067,538611663.9491062
OGR,independent,G50,FULL_BOOK_NORMALIZATION,2018,760891598.1729141,760891598.1729143
OGR,independent,G50,FULL_BOOK_NORMALIZATION,2019,887043277.797311,887043277.7973108
OGR,independent,G50,FULL_BOOK_NORMALIZATION,2020,1144452301.6001916,1144452301.6001914
OGR,independent,G50,FULL_BOOK_NORMALIZATION,2021,1343803106.8768003,1343803106.8768003
OGR,independent,G50,FULL_BOOK_NORMALIZATION,2022,2102093265.123786,2102093265.123786
OGR,independent,G50,FULL_BOOK_NORMALIZATION,2023,2150229529.96319,2150229529.96319
OGR,independent,G50,FULL_BOOK_NORMALIZATION,2024,2276549436.8671093,2276549436.8671093
OGR,independent,G50,FULL_BOOK_NORMALIZATION,2025,2755644441.7867446,2755644441.786745
OGR,independent,G50,FULL_BOOK_NORMALIZATION,2026,2115593954.5857494,2115593954.585749
OGR,independent,G75,FULL_BOOK_NORMALIZATION,2018,1149277092.7279303,1149277092.7279303
OGR,independent,G75,FULL_BOOK_NORMALIZATION,2019,1396792693.9488602,1396792693.9488602
OGR,independent,G75,FULL_BOOK_NORMALIZATION,2020,2072926054.9709246,2072926054.9709249
OGR,independent,G75,FULL_BOOK_NORMALIZATION,2021,2735763528.369217,2735763528.369217
OGR,independent,G75,FULL_BOOK_NORMALIZATION,2022,4944557448.414096,4944557448.414096
OGR,independent,G75,FULL_BOOK_NORMALIZATION,2023,5405689840.342233,5405689840.342234
OGR,independent,G75,FULL_BOOK_NORMALIZATION,2024,5745889626.497746,5745889626.4977455
OGR,independent,G75,FULL_BOOK_NORMALIZATION,2025,7457828707.599799,7457828707.5998
OGR,independent,G75,FULL_BOOK_NORMALIZATION,2026,5958203359.291155,5958203359.291157
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2018,221042622.81844944,221042622.81844944
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2019,265351686.646745,265351686.64674497
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2020,366938770.511565,366938770.51156515
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2021,283092173.08365965,283092173.0836595
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2022,345784698.5053553,345784698.50535536
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2023,373509840.45822734,373509840.4582272
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,505580732.170101,505580732.1701012
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2025,774206651.9891175,774206651.9891176
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2026,420313317.3850778,420313317.3850779
