gap,mcb_mode,target,mechanic,year,scope,peak,trough,recovery,recovery_status,MaxDD,peak_nav,trough_nav,actual_pnl,native_same_window_pnl,incremental_scaling_pnl,average_gross,average_Demand_exposure,max_single_name,cash_at_peak,cash_at_trough,turnover,fees,full_book_normalizations,existing_position_increases,existing_position_reductions
OGR,independent,G75,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-02-26,2025-04-07,2025-05-06,RECOVERED,0.08350765599621346,31447450.81008368,28821347.905877367,-2626102.904206313,-220308.34139579535,-2405794.562810518,0.6508611904127982,0.5841547715804972,0.14816143157911973,12519103.450162645,7701050.3872960685,5.7689109651948565,302723.416188436,31,391,528
OGR,independent,G75,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,2025-02-17,RECOVERED,0.11960010206337202,30943379.953887016,27242548.553216428,-3700831.400670588,1017927.3616334535,-4718758.762304042,0.6005864705385647,0.49024026149223987,0.7508034279592918,16312528.075217659,7103842.519030826,61.10491576197681,3145529.4051828487,285,4348,4565
OGR,independent,G75,FULL_BOOK_NORMALIZATION,2026,ANNUAL_LOCAL,2026-05-13,2026-07-24,,NOT_RECOVERED_AT_DATA_END,0.3112158681592725,47808658.97010088,32929845.663190342,-14878813.306910537,-197626.9677670598,-14681186.339143477,0.692218354880024,0.5503255238486175,0.6474756422629888,14655592.941888921,9832562.697660973,11.825592782333771,885509.9838536561,64,482,237
OGR,independent,G75,FULL_BOOK_NORMALIZATION,2026,FULL_PATH_TROUGH_IN_YEAR,2026-05-13,2026-07-24,,NOT_RECOVERED_AT_DATA_END,0.3112158681592725,47808658.97010088,32929845.663190342,-14878813.306910537,-197626.9677670598,-14681186.339143477,0.692218354880024,0.5503255238486175,0.6474756422629888,14655592.941888921,9832562.697660973,11.825592782333771,885509.9838536561,64,482,237
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,2025-02-10,RECOVERED,0.3533069238890224,47452464.18962314,30687180.035833396,-16765284.153789744,-8134.813131542876,-16757149.3406582,0.3753110386112892,0.0,0.999999999999999,46945134.18962314,7.078051567077637e-08,1.9784049024378703,173626.27333639323,2,0,1
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,2025-05-08,RECOVERED,0.38195961625692476,49652386.54791581,30687180.035833396,-18965206.512082413,-55377.28243089747,-18909829.229651514,0.6975151605712074,0.5957476449910798,0.999999999999999,18697858.43725705,7.078051567077637e-08,24.166202099933916,2224742.881561959,49,836,837
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-03-06,2025-04-07,2025-05-08,RECOVERED,0.11908447670089817,49442982.43378721,43555090.74412796,-5887891.689659253,-122929.31469073147,-5764962.374968521,0.9960898364234193,0.9801310662820024,0.22649210626226107,3485022.9855818916,1.1390761756047141e-07,3.812829219499488,356313.7030493621,20,106,181
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,2025-05-08,RECOVERED,0.17692800970067313,49652386.54791581,40867488.61910459,-8784897.928811222,1017927.3616334535,-9802825.290444676,0.7987491808333125,0.6573613506281559,0.999999999999999,18697858.43725705,5.529727786779404e-09,80.86559476893795,6383211.633839107,285,4369,4691
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2026,ANNUAL_LOCAL,2026-05-25,2026-07-24,,NOT_RECOVERED_AT_DATA_END,0.38970435213114973,87729696.14097956,53541051.743696496,-34188644.39728306,-171251.46813046746,-34017392.92915259,0.936496794377843,0.784216968887725,0.8632725904196556,10605541.39632133,3128167.2809355897,14.482926607513166,1847430.4777058829,61,222,238
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2026,FULL_PATH_TROUGH_IN_YEAR,2026-05-25,2026-07-24,,NOT_RECOVERED_AT_DATA_END,0.38970435213114973,87729696.14097956,53541051.743696496,-34188644.39728306,-171251.46813046746,-34017392.92915259,0.936496794377843,0.784216968887725,0.8632725904196556,10605541.39632133,3128167.2809355897,14.482926607513166,1847430.4777058829,61,222,238
