gap,mcb_mode,target,mechanic,year,scope,peak,trough,market_state_after_peak,breadth_after_peak,volatility_after_peak,state_source,market_transition_count,breadth_transition_count,incremental_scaling_pnl
IFCGR,independent,G100,ENTRY_ONLY,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,BEAR,MINORITY_POSITIVE_20D,0.1593073295212198,2024-01-04 15:00:00,0,0,-9088849.579719678
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,BEAR,MINORITY_POSITIVE_20D,0.1593073295212198,2024-01-04 15:00:00,2,0,-846265.870512696
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,BEAR,MINORITY_POSITIVE_20D,0.1593073295212198,2024-01-04 15:00:00,2,0,-878362.0753308507
IFCGR,confirmation_tag,G100,ENTRY_ONLY,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,BEAR,MINORITY_POSITIVE_20D,0.1593073295212198,2024-01-04 15:00:00,0,0,-8991726.155119905
OGR,independent,G50,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,BEAR,MINORITY_POSITIVE_20D,0.1593073295212198,2024-01-04 15:00:00,2,0,-3034364.9421856534
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,BEAR,MINORITY_POSITIVE_20D,0.1593073295212198,2024-01-04 15:00:00,2,0,-3004005.178304014
OGR,confirmation_tag,G100,ENTRY_ONLY,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,BEAR,MINORITY_POSITIVE_20D,0.1593073295212198,2024-01-04 15:00:00,0,0,-8689261.888246786
IFCGR,independent,G25,ENTRY_ONLY,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,BEAR,MINORITY_POSITIVE_20D,0.1593073295212198,2024-01-04 15:00:00,0,0,-775888.9551533507
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,BEAR,MINORITY_POSITIVE_20D,0.1593073295212198,2024-01-04 15:00:00,2,0,-16757149.3406582
IFCGR,confirmation_tag,G25,ENTRY_ONLY,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,BEAR,MINORITY_POSITIVE_20D,0.1593073295212198,2024-01-04 15:00:00,0,0,-772201.0005321577
OGR,independent,G25,ENTRY_ONLY,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,BEAR,MINORITY_POSITIVE_20D,0.1593073295212198,2024-01-04 15:00:00,0,0,-782051.1258993521
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,BEAR,MINORITY_POSITIVE_20D,0.1593073295212198,2024-01-04 15:00:00,2,0,-16497992.67548826
OGR,independent,G100,ENTRY_ONLY,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,BEAR,MINORITY_POSITIVE_20D,0.1593073295212198,2024-01-04 15:00:00,0,0,-8878377.26010168
OGR,independent,G75,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,BEAR,MINORITY_POSITIVE_20D,0.1593073295212198,2024-01-04 15:00:00,2,0,-8019123.778437173
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,TRANSITION,MINORITY_POSITIVE_20D,0.2917021237352566,2024-05-07 15:00:00,0,0,0.0
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,TRANSITION,MINORITY_POSITIVE_20D,0.2917021237352566,2024-05-07 15:00:00,0,0,0.0
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2024-05-07,2024-09-25,TRANSITION,MINORITY_POSITIVE_20D,0.2917021237352566,2024-05-07 15:00:00,0,0,0.0
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2024-05-07,2024-09-25,TRANSITION,MINORITY_POSITIVE_20D,0.2917021237352566,2024-05-07 15:00:00,0,0,0.0
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2024-05-07,2024-09-25,TRANSITION,MINORITY_POSITIVE_20D,0.2917021237352566,2024-05-07 15:00:00,0,0,0.0
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,TRANSITION,MINORITY_POSITIVE_20D,0.2917021237352566,2024-05-07 15:00:00,0,0,0.0
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,TRANSITION,MINORITY_POSITIVE_20D,0.2917021237352566,2024-05-07 15:00:00,0,0,0.0
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2024-05-07,2024-09-25,TRANSITION,MINORITY_POSITIVE_20D,0.2917021237352566,2024-05-07 15:00:00,0,0,0.0
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2025-02-26,2025-05-15,BULL,MAJORITY_POSITIVE_20D,0.2136574863803537,2025-02-26 15:00:00,0,0,0.0
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-02-26,2025-05-15,BULL,MAJORITY_POSITIVE_20D,0.2136574863803537,2025-02-26 15:00:00,0,0,0.0
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2025-02-26,2025-05-15,BULL,MAJORITY_POSITIVE_20D,0.2136574863803537,2025-02-26 15:00:00,0,0,0.0
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2025-02-26,2025-05-15,BULL,MAJORITY_POSITIVE_20D,0.2136574863803537,2025-02-26 15:00:00,0,0,0.0
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-02-26,2025-04-07,BULL,MAJORITY_POSITIVE_20D,0.2136574863803537,2025-02-26 15:00:00,9,3,-87922.79441643879
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-02-26,2025-05-15,BULL,MAJORITY_POSITIVE_20D,0.2136574863803537,2025-02-26 15:00:00,0,0,0.0
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-02-26,2025-04-07,BULL,MAJORITY_POSITIVE_20D,0.2136574863803537,2025-02-26 15:00:00,9,3,-100261.74958378822
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2025-02-26,2025-05-15,BULL,MAJORITY_POSITIVE_20D,0.2136574863803537,2025-02-26 15:00:00,0,0,0.0
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-02-26,2025-04-07,BULL,MAJORITY_POSITIVE_20D,0.2136574863803537,2025-02-26 15:00:00,9,3,-2370041.827713944
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-02-26,2025-05-15,BULL,MAJORITY_POSITIVE_20D,0.2136574863803537,2025-02-26 15:00:00,0,0,0.0
OGR,independent,G75,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-02-26,2025-04-07,BULL,MAJORITY_POSITIVE_20D,0.2136574863803537,2025-02-26 15:00:00,9,3,-2405794.562810518
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-02-26,2025-05-15,BULL,MAJORITY_POSITIVE_20D,0.2136574863803537,2025-02-26 15:00:00,0,0,0.0
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-03-06,2025-04-07,TRANSITION,MAJORITY_POSITIVE_20D,0.2329762882153735,2025-03-06 15:00:00,7,3,-947443.7067524196
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-03-06,2025-04-07,TRANSITION,MAJORITY_POSITIVE_20D,0.2329762882153735,2025-03-06 15:00:00,7,3,-5672804.894787354
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-03-06,2025-04-07,TRANSITION,MAJORITY_POSITIVE_20D,0.2329762882153735,2025-03-06 15:00:00,7,3,-221428.47350134145
OGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-03-06,2025-04-07,TRANSITION,MAJORITY_POSITIVE_20D,0.2329762882153735,2025-03-06 15:00:00,7,3,-2857031.502114593
OGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-03-06,2025-04-07,TRANSITION,MAJORITY_POSITIVE_20D,0.2329762882153735,2025-03-06 15:00:00,7,3,-974388.144630012
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-03-06,2025-04-07,TRANSITION,MAJORITY_POSITIVE_20D,0.2329762882153735,2025-03-06 15:00:00,7,3,-5764962.374968521
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-03-06,2025-04-07,TRANSITION,MAJORITY_POSITIVE_20D,0.2329762882153735,2025-03-06 15:00:00,7,3,-963379.8188442662
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-03-06,2025-04-07,TRANSITION,MAJORITY_POSITIVE_20D,0.2329762882153735,2025-03-06 15:00:00,7,3,-6083743.218358392
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-03-06,2025-04-07,TRANSITION,MAJORITY_POSITIVE_20D,0.2329762882153735,2025-03-06 15:00:00,7,3,-222896.6805445151
