gap,mcb_mode,target,mechanic,state_family,decision_at,state_as_of,year,from_state,to_state,forward_1d_incremental_pnl,forward_3d_incremental_pnl,forward_5d_incremental_pnl,forward_10d_incremental_pnl,forward_20d_incremental_pnl,interpretation
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-09-22 09:30:00,2021-09-17 15:00:00,2021,BULL,TRANSITION,198049.8540852666,251408.41330039874,251408.41330039874,17369.807879770175,2199663.1175127523,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-09-23 09:30:00,2021-09-22 15:00:00,2021,TRANSITION,BEAR,53358.55921513215,53358.55921513215,53358.55921513215,1832985.4477269745,3052432.2566988003,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-09-24 09:30:00,2021-09-23 15:00:00,2021,BEAR,BULL,0.0,0.0,0.0,1948254.7042123538,2583580.9251621542,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-09-27 09:30:00,2021-09-24 15:00:00,2021,BULL,BEAR,0.0,0.0,0.0,1948254.7042123538,2281404.363473784,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-11-01 09:30:00,2021-10-29 15:00:00,2021,BEAR,TRANSITION,1170934.1765424395,1900517.4069300322,2070715.2513049366,1934114.8731687646,2157900.6238007154,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-11-02 09:30:00,2021-11-01 15:00:00,2021,TRANSITION,BEAR,479665.19310781267,1301657.052155272,119533.54046349227,945699.0434407685,1031394.0411287444,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-11-15 09:30:00,2021-11-12 15:00:00,2021,BEAR,TRANSITION,182518.34681444336,312037.7391970679,317140.1857631523,223785.7506319508,974153.7900697254,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-11-19 09:30:00,2021-11-18 15:00:00,2021,TRANSITION,BULL,120671.23376572132,121758.58599182591,94293.91019548476,356611.1203015642,1083506.672016587,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-11-29 09:30:00,2021-11-26 15:00:00,2021,BULL,TRANSITION,44427.59387046844,478330.65280580614,443889.15190472826,750368.0394377746,1317090.0565472657,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-12-01 09:30:00,2021-11-30 15:00:00,2021,TRANSITION,BULL,282622.3387886854,248180.83788760751,-162524.19301313435,921898.5738009587,1059129.2328121327,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-12-07 09:30:00,2021-12-06 15:00:00,2021,BULL,TRANSITION,13898.798694257624,602480.9802005775,909285.1269771457,880784.4759102911,2715933.3508766443,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2021-12-17 09:30:00,2021-12-16 15:00:00,2021,TRANSITION,BULL,-251045.14225861055,48485.79707621416,221873.06407380855,748540.7753796373,1315237.469212938,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-01-17 09:30:00,2022-01-14 15:00:00,2022,BULL,TRANSITION,538221.7509430889,602553.6837163251,-300701.4705443708,-1475410.3850936769,-2270207.9117201287,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-01-18 09:30:00,2022-01-17 15:00:00,2022,TRANSITION,BULL,-345588.4134523487,-560899.9100438049,-806150.6063565286,-1836592.3670139117,-2287975.3772978103,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-01-20 09:30:00,2022-01-19 15:00:00,2022,BULL,TRANSITION,-625231.8428170411,-870482.5391297648,-1671448.9232287183,-1900924.299787148,-1611209.293314129,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-01-28 09:30:00,2022-01-27 15:00:00,2022,TRANSITION,BEAR,88931.63182234112,265971.40084519517,265971.40084519517,-643235.351607929,1194224.3513384014,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-02-07 09:30:00,2022-01-28 15:00:00,2022,BEAR,TRANSITION,177039.76902285405,177039.76902285405,177039.76902285405,-794797.5266264519,890949.6559003349,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-02-14 09:30:00,2022-02-11 15:00:00,2022,TRANSITION,BEAR,0.0,-831741.5041563017,-971837.2956493059,703240.5649504876,151683.5566060926,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-03-02 09:30:00,2022-03-01 15:00:00,2022,BEAR,TRANSITION,-41034.958002519794,-244884.245337354,-1666059.222663384,-2803176.281363708,-1402451.4067038158,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-03-08 09:30:00,2022-03-07 15:00:00,2022,TRANSITION,BEAR,-993020.3287832736,-505674.6098048324,-842762.3256325014,-384364.22086031456,1675474.9074311322,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-04-15 09:30:00,2022-04-14 15:00:00,2022,BEAR,TRANSITION,-502223.00052297954,-857736.0750909243,-2338716.166042762,-3990626.630351831,-2082677.459976215,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-04-18 09:30:00,2022-04-15 15:00:00,2022,TRANSITION,BEAR,-508962.8614968248,-755434.9705721624,-1772678.2842094125,-2779493.9031321947,-1251878.5194581728,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G100,FULL_BOOK_NORMALIZATION,market_regime,2022-05-26 09:30:00,2022-05-25 15:00:00,2022,BEAR,TRANSITION,199870.26400334577,427685.11134370975,751361.9840042591,583988.4818030726,1135462.7755202157,Overlapping forward diagnostics from observable morning state; not additive annual P&L
