gap,mcb_mode,target,mechanic,year,strategy,pnl
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2020,MCB,172919.74703721216
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2020,OGR,4223.60403694237
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2020,SMV6,169138.00508529018
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2021,ATRDR,378630.20596696227
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2021,MCB,114352.34227158024
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2021,OGR,7340.817622320043
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2021,SMV6,41175.11735871985
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2022,ATRDR,208594.89161439397
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2022,MCB,36334.36110543984
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2022,OGR,16994.387923698403
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2022,SMV6,34415.49890170461
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2023,ATRDR,206957.2975615729
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2023,MCB,97008.81661617124
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2023,OGR,1093.0961552067815
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2023,SMV6,70387.31365555695
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ATRDR,417954.43348014593
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,MCB,183022.7710015215
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,OGR,30516.401494885467
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,SMV6,466833.41609049734
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2025,ATRDR,351654.21160100104
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2025,MCB,80154.80266060524
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2025,OGR,7543.91637635018
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2025,SMV6,384178.6856417313
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2026,ATRDR,266554.97171333537
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2026,MCB,129032.17440600583
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2026,OGR,5445.998317898158
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2026,SMV6,622044.8254142485
