gap,mcb_mode,strategy,account_size_multiple,base_initial_nav_cny,diagnostic_initial_nav_cny,orders,independent_dates,missing_denominator,max_participation,p50_participation,p75_participation,p90_participation,p95_participation,p99_participation,orders_gt_1pct,orders_gt_2pct,orders_gt_5pct,orders_gt_10pct,orders_gt_20pct
OGR,confirmation_tag,OGR,5,4904782.129191859,24523910.645959295,7152,611,0,0.2547635687004123,5.851687135538103e-06,7.78895866594467e-05,0.000577899935560731,0.002017400981177901,0.020938626412787407,128,77,27,13,3
OGR,confirmation_tag,OGR,10,4904782.129191859,49047821.29191859,7152,611,0,0.5095271374008246,1.1703374271076206e-05,0.0001557791733188934,0.001155799871121462,0.004034801962355802,0.041877252825574814,203,128,61,27,13
OGR,independent,ATRDR,1,4904782.129191859,4904782.129191859,37552,1192,0,0.17842995639394343,2.1056744837435608e-05,0.00011786712915060879,0.0005105948241147053,0.0012155465593500093,0.0056256899540676674,186,61,12,3,0
OGR,independent,ATRDR,2,4904782.129191859,9809564.258383717,37552,1192,0,0.35685991278788687,4.2113489674871216e-05,0.00023573425830121758,0.0010211896482294105,0.0024310931187000186,0.011251379908135335,423,186,45,12,3
OGR,independent,ATRDR,5,4904782.129191859,24523910.645959295,37552,1192,0,0.8921497819697172,0.00010528372418717804,0.0005893356457530439,0.0025529741205735264,0.006077732796750047,0.028128449770338338,1172,561,186,61,16
OGR,independent,ATRDR,10,4904782.129191859,49047821.29191859,37552,1192,0,1.7842995639394343,0.00021056744837435608,0.0011786712915060878,0.005105948241147053,0.012155465593500094,0.056256899540676676,2219,1172,423,186,61
OGR,independent,MCB,1,4904782.129191859,4904782.129191859,13484,624,0,0.07434548788843896,1.0521864346718297e-05,5.5110818483729624e-05,0.0002458812483457851,0.0005799991248429373,0.0020959804403874066,13,2,2,0,0
OGR,independent,MCB,2,4904782.129191859,9809564.258383717,13484,624,0,0.14869097577687793,2.1043728693436593e-05,0.00011022163696745925,0.0004917624966915702,0.0011599982496858746,0.004191960880774813,47,13,2,2,0
OGR,independent,MCB,5,4904782.129191859,24523910.645959295,13484,624,0,0.37172743944219483,5.2609321733591494e-05,0.00027555409241864816,0.0012294062417289254,0.0028999956242146863,0.010479902201937032,149,64,13,2,2
OGR,independent,MCB,10,4904782.129191859,49047821.29191859,13484,624,0,0.7434548788843897,0.00010521864346718299,0.0005511081848372963,0.002458812483457851,0.0057999912484293726,0.020959804403874065,376,149,47,13,2
OGR,independent,OGR,1,4904782.129191859,4904782.129191859,7127,614,0,0.048965991951346766,1.1591390715628022e-06,1.5021888898241876e-05,0.00011284823321172101,0.0003876595469487105,0.004084185026035008,27,11,0,0,0
OGR,independent,OGR,2,4904782.129191859,9809564.258383717,7127,614,0,0.09793198390269353,2.3182781431256043e-06,3.004377779648375e-05,0.00022569646642344203,0.000775319093897421,0.008168370052070016,61,27,7,0,0
OGR,independent,OGR,5,4904782.129191859,24523910.645959295,7127,614,0,0.24482995975673383,5.795695357814011e-06,7.510944449120938e-05,0.0005642411660586051,0.0019382977347435525,0.02042092513017504,127,73,27,11,3
OGR,independent,OGR,10,4904782.129191859,49047821.29191859,7127,614,0,0.48965991951346766,1.1591390715628022e-05,0.00015021888898241877,0.0011284823321172101,0.003876595469487105,0.04084185026035008,203,127,61,27,11
