year,state,capital_days,state_family,gap,mcb_mode,target,mechanic
2023,TRANSITION,1821117164.1061368,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2024,BEAR,2733792244.6223097,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2024,BULL,1703302839.8086362,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2024,TRANSITION,1308794542.0668008,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2025,BEAR,1799372969.9781709,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2025,BULL,2446834108.3962774,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2025,TRANSITION,3211621629.2253513,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2026,BEAR,2624832590.758809,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2026,BULL,904320529.8895915,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2026,TRANSITION,2429050238.6427546,market_regime,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2018,MAJORITY_POSITIVE_20D,390269543.9149753,breadth_bucket,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2018,MINORITY_POSITIVE_20D,759007548.8129551,breadth_bucket,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2019,MAJORITY_POSITIVE_20D,705812515.5211368,breadth_bucket,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2019,MINORITY_POSITIVE_20D,690980178.4277234,breadth_bucket,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2020,MAJORITY_POSITIVE_20D,1113441105.2622802,breadth_bucket,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2020,MINORITY_POSITIVE_20D,959484949.7086444,breadth_bucket,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2021,MAJORITY_POSITIVE_20D,1605083224.646508,breadth_bucket,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2021,MINORITY_POSITIVE_20D,1130680303.7227092,breadth_bucket,OGR,independent,G75,FULL_BOOK_NORMALIZATION
2022,MAJORITY_POSITIVE_20D,2153554734.9379153,breadth_bucket,OGR,independent,G75,FULL_BOOK_NORMALIZATION
