gap,mcb_mode,target,mechanic,year,state_family,state,family,pnl_scaled,pnl_native,incremental_pnl
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2020,market_regime,BULL,IFCGR,25775.87234727352,1252.1177956503798,24523.75455162314
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2020,market_regime,TRANSITION,IFCGR,152700.6234264206,2612.1171617098544,150088.50626471074
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2021,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,2972.8936825030937,-120.69190868176884,3093.5855911848626
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2021,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,769938.6960838204,5903.303694511254,764035.3923893091
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2021,market_regime,BEAR,IFCGR,572658.9610906524,4222.7368891067845,568436.2242015456
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2021,market_regime,BULL,IFCGR,-15155.348437796252,-1366.5178444203793,-13788.830593375871
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2021,market_regime,TRANSITION,IFCGR,215407.9771134674,2926.3927411430805,212481.58437232432
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2022,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,22165.620640919304,6360.290145444125,15805.33049547518
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2022,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,-105485.22531750778,10547.583122413609,-116032.80843992138
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2022,market_regime,BEAR,IFCGR,-128111.75425344778,10523.581056509265,-138635.33530995707
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2022,market_regime,BULL,IFCGR,3076.6919936607155,489.0114173531738,2587.6805763075417
