gap,mcb_mode,target,mechanic,year,state,strategy,route,pnl_scaled,pnl_native,incremental_pnl,state_family,mean_route_gross,max_route_gross,mean_Demand_gross,max_Demand_gross,max_Demand_single_name,max_overlap_names,capital_days,native_capital_days,incremental_capital_days,capital_trace_scope
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2020,TRANSITION,SMV6,NATIVE_CALLBACK,-234191.25940872324,-23014.76604246972,-211176.49336625353,market_regime,0.1181920904075271,0.4499078258697078,0.3524971153179401,0.9778389225067384,0.9777514181421042,11.0,84996909.34874703,10496482.09183458,74500427.25691245,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2021,BEAR,ATRDR,BULL,-181149.8990372065,-3188.4646260789305,-177961.43441112753,market_regime,0.5233990922561843,0.5233990922561843,0.9999999999999986,0.9999999999999986,0.0935519988320608,10.0,25152160.851684537,645428.4448727922,24506732.406811744,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2021,BEAR,ATRDR,FAST_BEAR,2988457.336586996,11800.287364034191,2976657.0492229625,market_regime,0.7574481172558712,0.9999999999999988,0.8905233245670864,0.9999999999999988,0.9999999999999988,0.0,352525286.19208705,1054031.376024015,351471254.81606305,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2021,BEAR,ATRDR,SLOW_BEAR,1071655.6687384686,33418.250303404035,1038237.4184350644,market_regime,0.7519247848483618,0.9999999999999986,0.7864445004841177,0.9999999999999986,0.5547156749162269,10.0,670136343.293164,12970595.824500663,657165747.4686633,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2021,BEAR,MCB,MCB,-6921.765145546375,-1194.0198583458114,-5727.745287200563,market_regime,0.3431281576270727,0.3431281576270727,0.9999999999999986,0.9999999999999986,0.0935519988320608,10.0,11463875.482510349,410064.55616410257,11053810.926346246,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2021,BEAR,OGR,FIXED_BELOW_L_REPAIR,1961310.915404556,5774.22055592634,1955536.6948486296,market_regime,0.1784941014738426,1.0,0.7779268668513546,0.9930091490225532,0.9817734495806651,0.0,224582671.98382753,764227.677210994,223818444.30661654,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2021,BEAR,SMV6,NATIVE_CALLBACK,6826.038251746155,30037.21828825074,-23211.180036504586,market_regime,0.0300981068113238,0.0411872847458572,0.9494342226030296,0.95813804504177,0.5317565693887217,0.0,3359669.4388624923,36735356.40852501,-33375686.96966252,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2021,BULL,ATRDR,BULL,1401956.1709153303,95897.70568154412,1306058.465233786,market_regime,0.4890057840013224,0.8823471938928804,0.7913714664560861,1.0000000000000002,0.6648908634900978,26.0,699787987.8182718,52981354.94507732,646806632.8731945,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2021,BULL,ATRDR,FAST_BEAR,238251.3914093657,3206.768057411042,235044.62335195465,market_regime,0.1708856716952825,0.9020688164998868,0.6879626553678839,0.9956813157525948,0.5162421855724876,26.0,35670722.54343164,972768.6018858354,34697953.94154581,ACTUAL_ROOT_CALENDAR_TRACE
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2021,BULL,ATRDR,SLOW_BEAR,975217.8597637272,29402.814274747685,945815.0454889796,market_regime,0.207312004852816,0.7002494706522021,0.8676226891696288,1.0000000000000002,0.5162421855724876,26.0,182178354.4632351,11552935.100948935,170625419.36228618,ACTUAL_ROOT_CALENDAR_TRACE
