gap,mcb_mode,target,mechanic,year,state_family,state,family,pnl_scaled,pnl_native,incremental_pnl,average_Demand_gross,max_Demand_gross,mean_overlap_names,max_overlap_names,max_Demand_single_name
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,breadth_bucket,MAJORITY_POSITIVE_20D,DEMAND,285385.1697439802,202970.00228582337,82415.16745815685,0.20951935166791846,0.2605794891345787,0.0,0,0.2605794891345787
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,breadth_bucket,MINORITY_POSITIVE_20D,DEMAND,312055.55931953987,64501.353096520805,247554.20622301905,0.15349563995316926,0.2581755593803786,0.0,0,0.2581755593803786
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,market_regime,BEAR,DEMAND,411777.5392987557,80161.3826981629,331616.1566005927,0.209988350974629,0.2581755593803786,0.0,0,0.2581755593803786
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,market_regime,BULL,DEMAND,91273.83268884264,137313.11935790203,-46039.28666905941,0.18683634581710876,0.25628954809673954,0.0,0,0.12561416791885044
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,market_regime,TRANSITION,DEMAND,94389.3570759218,49996.85332627921,44392.5037496426,0.14901194538796947,0.2605794891345787,0.0,0,0.2605794891345787
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,breadth_bucket,MAJORITY_POSITIVE_20D,DEMAND,-94658.5271119866,327456.79024697613,-422115.31735896267,0.17062348530769186,0.25356687928833616,0.0,0,0.11784002214894095
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,breadth_bucket,MINORITY_POSITIVE_20D,DEMAND,141159.2527037055,177969.3217512995,-36810.06904759393,0.16951837480551266,0.25887882115875754,0.0,0,0.14781142567663366
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,market_regime,BEAR,DEMAND,153516.68945139248,296972.4094907091,-143455.72003931663,0.1619476813200359,0.25677437080913806,0.0,0,0.14781142567663366
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,market_regime,BULL,DEMAND,131561.29302991394,287856.30186454253,-156295.00883462856,0.16830836285054604,0.25356687928833616,0.0,0,0.0856827535280989
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,market_regime,TRANSITION,DEMAND,-238577.25688958753,-79402.59935697605,-159174.65753261148,0.18825569049665386,0.25887882115875754,0.0,0,0.11784002214894095
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,breadth_bucket,MAJORITY_POSITIVE_20D,DEMAND,11159.94941397248,283830.51010524953,-272670.56069127703,0.13755258089819616,0.2517129536840464,0.0,0,0.0437468465207695
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,breadth_bucket,MINORITY_POSITIVE_20D,DEMAND,123841.54132695452,91291.21512978528,32550.326197169237,0.09706515801788188,0.25649342995814656,0.0,0,0.14114181260728556
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,market_regime,BEAR,DEMAND,377236.6902771165,129573.01915306105,247663.6711240554,0.13420842769276842,0.25649342995814656,0.0,0,0.13362129058887193
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,market_regime,BULL,DEMAND,-107035.98717058115,3522.3683690040925,-110558.35553958526,0.11079062937098531,0.24693530799328856,0.0,0,0.03703248488511484
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,market_regime,TRANSITION,DEMAND,-135199.2123656083,242026.3377129697,-377225.55007857794,0.12070963140925077,0.25290960454435063,0.0,0,0.14114181260728556
