gap,mcb_mode,target,mechanic,year,state,strategy,route,pnl_scaled,pnl_native,incremental_pnl,state_family
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,MINORITY_POSITIVE_20D,ATRDR,FAST_BEAR,457155.7188564732,20668.206647449588,436487.51220902364,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,MINORITY_POSITIVE_20D,ATRDR,SLOW_BEAR,143657.99452056116,25623.957220368717,118034.03730019243,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,MINORITY_POSITIVE_20D,IFCGR,FIXED_BELOW_L_REPAIR,299608.9518542869,5903.303694511254,293705.64815977565,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,MINORITY_POSITIVE_20D,MCB,MCB,181.81538182726763,0.0,181.81538182726763,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,MINORITY_POSITIVE_20D,SMV6,NATIVE_CALLBACK,73920.51952424973,45361.337387160405,28559.182137089323,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,MAJORITY_POSITIVE_20D,ATRDR,BULL,143721.01660398286,56119.75753594893,87601.25906803395,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,MAJORITY_POSITIVE_20D,ATRDR,FAST_BEAR,97016.29570633249,17784.520869921133,79231.77483641135,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,MAJORITY_POSITIVE_20D,ATRDR,SLOW_BEAR,39846.564451623286,61056.14410758477,-21209.579655961476,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,MAJORITY_POSITIVE_20D,IFCGR,FIXED_BELOW_L_REPAIR,7288.537255845135,6360.290145444125,928.2471104010103,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,MAJORITY_POSITIVE_20D,MCB,MCB,8260.572293675683,6108.372014837125,2152.200278838558,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,MAJORITY_POSITIVE_20D,SMV6,NATIVE_CALLBACK,13945.182822841198,34912.746934584604,-20967.564111743406,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,MINORITY_POSITIVE_20D,ATRDR,BULL,302031.3488610534,-36797.71177969899,338829.06064075243,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,MINORITY_POSITIVE_20D,ATRDR,FAST_BEAR,29746.542518433365,49489.483732001856,-19742.941213568505,breadth_bucket
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,MINORITY_POSITIVE_20D,ATRDR,SLOW_BEAR,38198.57862062023,60942.69714863621,-22744.118528015984,breadth_bucket
