route,capital,state_definition,state,board,signals,signal_dates,state_episodes,legal_fill_rate,matured,equal_date_return,equal_event_return,standardized_pnl,win_rate,profit_factor,tail_p05,mfe,mae,mean_held,actual_orders,actual_fills,cash_pnl_contribution,actual_cash_rejections,state_rejected_by_simple_gate
D00,C_MAX,S1,LOW_IMPROVING,CHINEXT_10,156,23,4,0.5705128205128205,89,0.04805531387111066,0.0245815955312607,205658.7371959997,0.5168539325842697,1.6587198312436675,-0.13755685283255145,0.10722129832988668,-0.07990896054137205,10.0,156,10,42406.39559999996,0,0
D00,C_MAX,S1,LOW_IMPROVING,CHINEXT_20,657,169,37,0.5509893455098934,361,-0.017780685305689933,-0.011039807657234092,-390960.7824480004,0.43490304709141275,0.7748705275929422,-0.20528912037268446,0.105211357879648,-0.08931959093630384,10.0,657,42,-79383.01551000003,0,0
D00,C_MAX,S1,LOW_IMPROVING,MAIN,3277,252,46,0.5401281660054928,1764,-0.00744037005740077,-0.006356901636940131,-1046267.2795250015,0.4603174603174603,0.8726074209958767,-0.19130384853863294,0.09456173300180212,-0.08653181444977948,10.014739229024944,3277,169,-442347.45721200004,0,0
D00,C_MAX,S1,LOW_IMPROVING,STAR,146,96,26,0.5205479452054794,76,-0.03273040692472242,-0.033223117070345365,-244951.88827499995,0.39473684210526316,0.40202321701795124,-0.1841396311178406,0.08915174498142085,-0.09406225190417726,10.0,146,12,9797.59662769995,1,0
D00,C_MAX,S1,LOW_NONIMPROVING,CHINEXT_10,145,34,5,0.4827586206896552,70,0.03390342042910073,0.04936651253483112,319597.25252,0.6142857142857143,2.5533133913448394,-0.16039587292413626,0.15119419842163986,-0.07042183924746669,10.0,145,10,53501.463880000025,0,145
D00,C_MAX,S1,LOW_NONIMPROVING,CHINEXT_20,542,167,45,0.544280442804428,290,0.0015521035098046744,0.009536179312005072,233133.45162999953,0.4827586206896552,1.1892745467344108,-0.1833404099361474,0.12840435775094605,-0.09213965910445539,10.027586206896551,542,34,19372.070459999988,0,542
D00,C_MAX,S1,LOW_NONIMPROVING,MAIN,2797,288,55,0.5076868072935288,1403,-0.001994406829009882,0.0033203847976277143,431664.4959119987,0.47540983606557374,1.072902067763409,-0.18190315822191935,0.10504318366305956,-0.0808701633423876,10.008553100498931,2797,179,-5838.674849999938,0,2797
D00,C_MAX,S1,LOW_NONIMPROVING,STAR,105,75,32,0.580952380952381,60,0.0018533219117929794,3.575694005802261e-05,-814.5833287000132,0.4666666666666667,0.9967361828983127,-0.1507308287845016,0.09951291931043292,-0.076720908887879,10.0,105,10,-1353.8977324999832,1,105
D01,C_MAX,S0,BEAR,CHINEXT_10,25,10,2,0.68,17,0.03555538973218322,0.027316626552450582,43836.40813999993,0.5294117647058824,1.7473709408976108,-0.13022431240520926,0.09238488748802508,-0.0870926909715983,10.0,25,0,0.0,1,0
D01,C_MAX,S0,BEAR,CHINEXT_20,150,79,8,0.6,90,-0.011967791890422763,-0.002155198245152936,-21760.463475000186,0.4222222222222222,0.9504452509191195,-0.21419576100823426,0.13227337541413994,-0.09613149056777716,10.0,150,32,-160047.01600700006,13,0
D01,C_MAX,S0,BEAR,MAIN,686,158,14,0.5524781341107872,379,-0.010379049934230108,0.00627495851511741,232817.92190299946,0.48812664907651715,1.162654625624134,-0.15392376955889497,0.09679848708628598,-0.07534048196257513,10.010554089709762,686,115,-282818.94038800005,24,0
D01,C_MAX,S0,BEAR,STAR,27,21,9,0.6296296296296297,17,-0.010272316644012442,-0.015299332188182106,-26221.622761799998,0.4117647058823529,0.5733113896160723,-0.0981624552145418,0.08367804472933081,-0.07801801602595795,10.0,27,5,15803.823319199972,3,0
D01,C_MAX,S0,BULL,CHINEXT_10,212,67,6,0.5,106,0.007832694475046503,0.007187089257083459,72719.2284399998,0.46226415094339623,1.139207501259836,-0.16875235553001808,0.119994109781406,-0.10302038396608282,10.0,212,21,117928.34419999998,0,0
