route,capital,state_definition,state,signals,signal_dates,state_episodes,legal_fill_rate,matured,equal_date_return,equal_event_return,standardized_pnl,win_rate,profit_factor,tail_p05,mfe,mae,mean_held,actual_orders,actual_fills,cash_pnl_contribution,actual_cash_rejections,state_rejected_by_simple_gate
D04,C_MAX,S0_CURRENT,BEAR,1072,181,14,0.625,669,-0.0085582126107714,-0.00991462905977763,-643070.6123446003,0.4170403587443946,0.7814508890320999,-0.18486025800743297,0.08585830630298495,-0.07366167198655897,10.046337817638266,1072,156,-178607.76562899988,41,0
D04,C_MAX,S0_CURRENT,BULL,2645,403,22,0.5724007561436673,1509,-0.010503393099620527,-0.009301145356711003,-1335456.679941601,0.4049039098740888,0.7886834129756782,-0.1587716553467647,0.0836308710071378,-0.07569807125222787,10.009940357852882,2645,350,-416464.31034299976,38,0
D04,C_MAX,S0_CURRENT,TRANSITION,1866,281,35,0.6146838156484459,1122,-0.0066781164452706845,-0.0054717371123936655,-610651.8009429006,0.44563279857397503,0.8466513444976446,-0.14155669304590318,0.07680099894782598,-0.06734808479468887,10.008021390374331,1866,260,-118698.96131669998,13,0
D04,C_MAX,S1,HIGH_IMPROVING,1404,189,51,0.5847578347578347,818,-0.017733534937178726,-0.00611131664226651,-466262.28802540054,0.4290953545232274,0.854086446985563,-0.16491890655850233,0.08434572608548287,-0.07103321380433471,10.008557457212714,1404,159,-261783.8921883999,26,0
D04,C_MAX,S1,HIGH_NONIMPROVING,1419,190,49,0.6081747709654687,862,-0.008725073285745906,-0.00989787429498038,-820486.4867958005,0.3990719257540603,0.749912431934612,-0.13802848995907546,0.07310397616961606,-0.06932241104283368,10.005800464037122,1419,180,-199597.20954199997,4,0
D04,C_MAX,S1,LOW_IMPROVING,1422,231,45,0.580168776371308,823,-0.00862747628839227,-0.009921133620585252,-790395.0462215,0.41190765492102066,0.7712193867966353,-0.16276195720110584,0.08100864705431046,-0.07663999460110256,10.046172539489673,1422,199,17401.826393000127,42,0
D04,C_MAX,S1,LOW_NONIMPROVING,1338,255,54,0.6143497757847534,797,-0.002093368755256072,-0.006413408530721554,-512035.27218640025,0.4466750313676286,0.8454550930784646,-0.16923242486750803,0.08924512442170277,-0.07294453757927838,10.006273525721456,1338,228,-269791.76195129997,20,1338
D05,C_MAX,S0,BEAR,831,189,14,0.5980746089049338,497,-0.001977582351637506,-0.007898184805940877,-394669.8096968004,0.41448692152917505,0.8148516447140038,-0.17947972088036765,0.08615232960094703,-0.07347433799868378,10.012072434607646,831,160,90039.99462919992,14,0
D05,C_MAX,S0,BULL,2163,402,20,0.5723532131299122,1234,-0.002807868090718584,-0.0018137178400512044,-220403.0775886007,0.4165316045380875,0.9535067702962009,-0.14517710197052283,0.0865099179162672,-0.07086339750589517,10.009724473257698,2163,354,265124.04822859983,22,0
D05,C_MAX,S0,TRANSITION,1592,283,35,0.5954773869346733,920,-0.009397887817372502,-0.00721958990344111,-637570.3835916006,0.43043478260869567,0.794545516297234,-0.1342325750466688,0.0740772468277092,-0.06432510525896261,10.007608695652173,1592,253,-269672.8414397002,15,0
