id,mean_cash,no_signal_cash_days,slots_full_cash_days,state_forbidden_cash_days,status
R1_LEVEL_D08_C_MAX_CA,566832.8097379458,383475207.27242917,3722550.956734581,446613297.81859577,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R1_LEVEL_D08_C_ONE,648517.9597761955,391936438.9093098,145695230.15956983,445421920.5393397,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R1_LEVEL_D08_DELAY1_C_10,923551.3359693674,577562363.8677375,10795246.356859118,654969359.0435601,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R1_LEVEL_D08_DELAY1_C_MAX,632822.6772509232,422826050.6234318,5047625.033453088,488094006.8894012,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R1_S1_D08_C3_C_10,748316.4210140877,491694108.37467575,8836829.699687814,209223315.8119581,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R1_S1_D08_C3_C_MAX,378475.9637097382,280381484.3892007,2095187.92413418,123605892.48143038,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R1_S1_D08_COST2_C_10,743326.1972759181,486742891.6445597,7339302.102359197,285948611.69739306,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R1_S1_D08_COST2_C_MAX,464047.0630795377,334861578.8340556,3515265.4200991075,204640266.96699983,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R1_S1_D08_C_10,776653.3323912157,507095511.9750775,8974385.8084926,298191175.9255576,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R1_S1_D08_C_MAX,440241.0126633245,319583602.1501388,2578688.3647330916,195297352.91670156,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R1_S1_D08_C_ONE,634431.0015476918,384053732.47461474,218574822.49294606,241414927.8892899,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R1_S1_D08_DELAY1_C_10,871285.9498251507,556310216.458854,11365206.341769896,330506342.28150976,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R1_S1_D08_DELAY1_C_MAX,435541.5439290942,308804148.2374811,2703999.0499845007,188750899.64762032,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R1_S1_H01_C_10,762357.4696155138,462790109.61731994,1388634.066537202,259183178.8634169,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R1_S1_H01_C_MAX,584641.2498477127,373248819.580117,1081083.6513983994,244463164.09607258,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R1_S1_H02_C_10_CA,365462.06976866873,49568027.16448637,18581145.467806395,177075933.03095144,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R1_S1_H02_C_MAX_CA,233420.87960996936,33802597.9822128,12333762.754358899,131250563.66696829,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R1_S1_POOL_C_10,358698.30403633806,30932629.32779137,21491534.92922663,178520753.15251285,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R1_S1_POOL_C_MAX,301558.0560983713,28698844.919131264,18107976.277124316,170410711.24203002,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R2_PRIORITY_GATE_C_10,365773.0465322437,30608413.81099977,22491880.707616314,181218061.68920058,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R2_PRIORITY_GATE_C_MAX,300400.73921222857,28042528.707677253,17763086.880739685,168740923.98087695,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R2_PRIORITY_OPEN_C_10,325526.509525296,23352398.352065675,45603476.53043532,0.0,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R2_PRIORITY_OPEN_C_MAX,277919.3932520423,18208311.87744338,43062328.30446851,0.0,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R3_HALF_D08_C_10,836938.655818292,505379522.3021356,2595030.511055206,565527382.9249005,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R3_HALF_D08_C_MAX,730412.8165198761,459093259.61550456,8599296.940663991,523321575.71132374,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R4_LEVEL_D08_C_10_CA,806582.0119626839,512134684.0638319,11077881.891660787,581594305.292759,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R4_LEVEL_D08_C_MAX_CA,536017.5713846425,368704997.72281647,4129194.0711280117,420464457.8567857,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R4_S1_H02_C_10_CA,431847.6355966728,54024830.49451541,25659963.156338308,254788402.4327434,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R4_S1_H02_C_MAX_CA,297422.7809223443,39478286.34575972,14642425.679246139,202611560.99067938,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R4_S1_POOL_C_10,395649.86831720994,30457933.379099406,28950809.956446294,244377376.67333797,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
R4_S1_POOL_C_MAX,364155.406527122,30171572.858052295,20316828.513388768,250866109.13562426,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
