id,baseline,net_return_difference,cagr_difference,maxdd_difference,mean_exposure_difference,mean_exposure_ratio,bootstrap_cagr_diff_p025,bootstrap_cagr_diff_p975,bootstrap_positive_fraction,mean_daily_difference,exposure_scaled_base_annual_mean_difference,market_and_exposure_regression_intercept_ann,inference_grade
E_P2_PHASE_C_MAX_EST,E_P0_POOL_C_MAX_EST,0.09049418576419957,0.06931531635578536,0.06831475312266355,-0.0019344352174412993,0.9976703515127576,-0.09939993331103135,0.2317456021548936,0.801,0.0003915048228378786,0.09772760845311304,0.10011409208327715,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
E_P2_PHASE_C_10_E10,E_P0_POOL_C_10_E10,0.1010408356346007,0.0502452886122009,0.061619238189930314,-0.010095946162597791,0.9878251418484294,-0.09961931438088041,0.20803722258561433,0.762,0.00026182521383389545,0.0631646056749433,0.07585221235757773,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
E_P2_PHASE_C_10_EST,E_P0_POOL_C_10_EST,0.03857970363700014,0.02573030778334995,0.034556908395457775,-0.006986636604344176,0.9914273715260542,-0.14933850129258813,0.18869046323418714,0.629,0.00013587864085660254,0.03150308794057202,0.030785665223273636,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
E_P2_PHASE_C_ONE_E10,E_P0_POOL_C_ONE_E10,0.13322826174489966,0.07946647733884493,0.1688665440208652,-0.04165969512142198,0.9364260342301706,-0.2823717657197437,0.388086905717272,0.665,0.0003902712884352101,0.08221442371799552,0.15499902229688636,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
E_P2_PHASE_C_ONE_EST,E_P0_POOL_C_ONE_EST,0.00814741606979949,0.00857632473100256,0.0072027405160781655,-0.05392843881954901,0.9227691628905567,-0.35555506692694044,0.30380430238029166,0.512,-4.084317535095235e-05,-0.04039255704889453,0.024160010946342104,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
E_P3_CORROBORATE_C_MAX_E10,E_P0_POOL_C_MAX_E10,0.15960964738749867,0.0732343121826301,0.0624659612206524,-0.050048439199604,0.9417535819111127,-0.11307929549611068,0.2629788568404156,0.757,0.00042787724982121,0.09535858386925126,0.13015429411458107,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
E_P3_CORROBORATE_C_MAX_EST,E_P0_POOL_C_MAX_EST,0.23171577074660085,0.1497461270827425,0.02579680834522946,-0.056205680586670304,0.9323112619266923,-0.0643057433302794,0.45242810954631907,0.9,0.000901590526687702,0.20013265376300254,0.2366578333916432,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
E_P3_CORROBORATE_C_10_E10,E_P0_POOL_C_10_E10,0.2195527989971009,0.09980951831079365,0.17379546583316663,-0.12461086992439507,0.8497298181824943,-0.05177873187228911,0.26046531942691403,0.903,0.00046601731951929567,0.08268746787387042,0.16246160890046143,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
E_P3_CORROBORATE_C_10_EST,E_P0_POOL_C_10_EST,0.13404570088689954,0.08022067736246508,0.11975897961080129,-0.16991625085075046,0.7915121434362927,-0.10417677384563474,0.24918815348191287,0.823,0.00039814988579192184,0.033737107047897105,0.15016563728603166,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
E_P3_CORROBORATE_C_ONE_E10,E_P0_POOL_C_ONE_E10,0.10699509259669832,0.06559012188360913,0.14358784243985356,-0.011331495817360482,0.9827077916649609,-0.30541808373061485,0.43116272856157817,0.64,0.00036244101372355085,0.0869466807646574,0.24694838014919054,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
E_P3_CORROBORATE_C_ONE_EST,E_P0_POOL_C_ONE_EST,3.7792317403064,0.8189577977494854,0.4981531850225067,-0.3074691517929026,0.559673884538849,0.24459731293946574,1.6590592701119973,0.999,0.0032612144474556287,0.650212597021777,0.8526474027468676,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
Q3_ENHANCED_C_MAX_E10,Q3_BASE_C_MAX_E10,0.20786327666700014,0.12721482222223068,0.1865229737907087,-0.4242514449793496,0.49221376476656753,-0.11975581038107543,0.3492665193735486,0.828,0.0005336850753001618,-0.031482037530861755,0.2239773489003114,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
Q3_ENHANCED_C_MAX_EST,Q3_BASE_C_MAX_EST,0.0920333168595997,0.047702393634105555,0.09617892236655079,-0.4222578179772496,0.46687480100933193,-0.20701039356719886,0.2674575193314136,0.627,0.00010983086475481002,-0.08863782637731622,0.09092961025995644,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
Q3_ENHANCED_C_10_E10,Q3_BASE_C_10_E10,0.11822981897369877,0.058751480734757555,0.06267996620241656,-0.2624050117389497,0.6315442716598131,-0.05492179966582442,0.1758842444218984,0.842,0.00025630762022811393,-0.023517254641451702,0.094176023482931,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
Q3_ENHANCED_C_10_EST,Q3_BASE_C_10_EST,0.2338228418454001,0.10903738865144108,0.19179605982452497,-0.24162776505307731,0.6345486444657779,-0.02642603436275403,0.23642600687957038,0.948,0.0005037216411076554,0.035070122928872884,0.11118054859372119,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
Q3_ENHANCED_C_ONE_E10,Q3_BASE_C_ONE_E10,-0.09721536989579893,-0.029322182660614482,-0.028182261619744686,-0.5114940516934945,0.10599393661814599,-0.5338228815307585,0.3564981129198742,0.442,-0.0004539849975180293,-0.06191574735400654,-0.009042000406947621,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
Q3_ENHANCED_C_ONE_EST,Q3_BASE_C_ONE_EST,0.6862160493523988,0.19636688503980548,0.3546076113257921,-0.5480732211367827,0.07047691353211884,-0.35219200798268885,0.5965199300146596,0.789,0.00045570840987131905,0.07589556387610022,0.056079634077680046,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
Q4_ENHANCED_C_MAX_E1,Q4_BASE_C_MAX_E1,0.9042500038883005,0.5102938418346492,0.8636522240993134,-0.18502660862800963,0.09403922514021479,0.4444864652149828,0.5708666549292661,1.0,0.002855074761260657,0.059263823592010614,0.7248401132215361,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
Q4_ENHANCED_C_MAX_E3,Q4_BASE_C_MAX_E3,0.6075684818878011,0.3631311499033002,0.6052467536485405,-0.3284962123031141,0.15962576214796345,0.22012826899313306,0.4822695903103256,1.0,0.0019573989933338812,0.006247192558200318,0.42194496647838936,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
Q4_ENHANCED_C_10_E1,Q4_BASE_C_10_E1,0.8880243384236979,0.49983544194153934,0.8727928021025128,-0.17858233164711504,0.10746347157536919,0.44472300958322053,0.5518884500784366,1.0,0.0027848302216075898,0.06385440040818523,0.7112734499526799,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
Q4_ENHANCED_C_10_E3,Q4_BASE_C_10_E3,0.7910110466983016,0.4039542607073663,0.7705289576575582,-0.3102367915214938,0.1743550498489041,0.28405232741960407,0.5006462143958338,1.0,0.0020700441264248667,0.07071964107736889,0.46963342270302183,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
Q4_ENHANCED_C_ONE_E1,Q4_BASE_C_ONE_E1,0.030021272911800345,0.008133043648422156,0.044038441083205204,0.004013176266090818,1.6441786642193277,-0.05084928647866448,0.06438353615665865,0.606,2.898623674648007e-05,0.018694686484328867,0.009191582377024771,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
Q4_ENHANCED_C_ONE_E3,Q4_BASE_C_ONE_E3,-0.11393768436799956,-0.03194689225061098,-0.06339849730549385,0.01345551251062575,1.7680092762117652,-0.17468630489769776,0.07897358691237127,0.309,-0.00012862554523232993,-0.027529063296911824,-0.05185492764296713,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
