trade_id,baseline_block,symbol,entry_year,entry_industry,outcome_class,return_5d,residual_return_after_5d,return_10d,residual_return_after_10d,return_20d,residual_return_after_20d,round_trip_return,realized_pnl,holding_trading_days,canonical_exit_reason,extreme_winner,severe_loss
DEVELOPMENT_2024_2025:300357.SZ-002,DEVELOPMENT_2024_2025,300357.SZ,2025,生物制品,ordinary_winner,0.0085504885993483992,0.180428349738742,0.039902280130293101,0.14483986777715896,0.1229641693811073,0.06015990656376502,0.1905215888855307,28256.096999999991,47,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,False,False
DEVELOPMENT_2024_2025:300377.SZ-001,DEVELOPMENT_2024_2025,300377.SZ,2024,软件开发,extreme_winner,0.85338865836791133,0.76269676727614311,0.67634854771784214,0.94885616183996024,0.90179806362378956,0.71782812229093218,2.2669621966113853,216566.15400000001,34,MARKET_MA20_X2,True,False
DEVELOPMENT_2024_2025:300404.SZ-001,DEVELOPMENT_2024_2025,300404.SZ,2024,医疗服务,severe_loser,-0.068117313150425698,-0.043115208318292408,,,,,-0.1082956293221551,-18096.084000000003,7,MARKET_MA20_X2,False,True
DEVELOPMENT_2024_2025:300433.SZ-001,DEVELOPMENT_2024_2025,300433.SZ,2024,消费电子,ordinary_loser,-0.0027192386131883002,0.0016145666279665516,-0.0040788579197824004,0.0029819585277996996,,,-0.0011090623771402,-115.91300000000912,14,MARKET_MA20_X2,False,False
DEVELOPMENT_2024_2025:300437.SZ-001,DEVELOPMENT_2024_2025,300437.SZ,2025,环境治理,extreme_winner,0.51567656765676584,0.088186174195972633,,,,,0.64933828547689931,109502.11500000001,7,MARKET_MA20_X2,True,False
DEVELOPMENT_2024_2025:300442.SZ-001,DEVELOPMENT_2024_2025,300442.SZ,2024,通信服务,strong_winner,0.54148296593186385,-0.2175700912291042,0.25689378757515041,-0.040410265108542731,0.33625250501002002,-0.09739935237995001,0.2061023764059581,24940.632000000001,34,MARKET_MA20_X2,False,False
DEVELOPMENT_2024_2025:300452.SZ-001,DEVELOPMENT_2024_2025,300452.SZ,2025,化学制药,ordinary_loser,-0.0091743119266053004,-0.030421923189017486,,,,,-0.039317134902879601,-6274.9139999999898,9,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,False,False
DEVELOPMENT_2024_2025:300457.SZ-001,DEVELOPMENT_2024_2025,300457.SZ,2025,电池,strong_winner,0.1548709408825979,0.071097132785256534,0.15861781848459611,0.067633290099282206,0.45295587010824301,-0.14864657697813688,0.2369789535163622,42546.338000000018,27,MARKET_MA20_X2,False,False
DEVELOPMENT_2024_2025:300459.SZ-001,DEVELOPMENT_2024_2025,300459.SZ,2024,游戏Ⅱ,strong_winner,0.27397260273972612,-0.017605306988437874,0.31232876712328772,-0.046318304278963551,0.34794520547945201,-0.071517210873218606,0.25154392397363412,30001.429999999975,33,MARKET_MA20_X2,False,False
DEVELOPMENT_2024_2025:300479.SZ-001,DEVELOPMENT_2024_2025,300479.SZ,2024,计算机设备,severe_loser,-0.17225253312548711,0.00082121268561952121,,,,,-0.17157277640520041,-27323.151999999998,6,MARKET_MA20_X2,False,True
