block,window_sessions,start_date,end_date,control_return,candidate_return,active_return
DEVELOPMENT_2024_2025,126,2024-07-31,2025-02-12,0.5540439652983016,0.5540439652983016,0.0
DEVELOPMENT_2024_2025,126,2024-08-01,2025-02-13,0.5473397821232315,0.5473397821232315,0.0
DEVELOPMENT_2024_2025,126,2024-08-02,2025-02-14,0.5825312303685737,0.5825312303685737,0.0
DEVELOPMENT_2024_2025,126,2024-08-05,2025-02-17,0.5731471209872017,0.5731471209872017,0.0
DEVELOPMENT_2024_2025,126,2024-08-06,2025-02-18,0.5540575930182088,0.5540575930182088,0.0
DEVELOPMENT_2024_2025,126,2024-08-07,2025-02-19,0.5943417891202998,0.5943417891202998,0.0
DEVELOPMENT_2024_2025,126,2024-08-08,2025-02-20,0.5771867236737787,0.5771867236737787,0.0
DEVELOPMENT_2024_2025,126,2024-08-09,2025-02-21,0.6175300894921019,0.6175300894921019,0.0
DEVELOPMENT_2024_2025,126,2024-08-12,2025-02-24,0.6107857799068392,0.6107857799068392,0.0
DEVELOPMENT_2024_2025,126,2024-08-13,2025-02-25,0.5929052252270091,0.5929052252270091,0.0
DEVELOPMENT_2024_2025,126,2024-08-14,2025-02-26,0.5921121434164593,0.5921121434164593,0.0
DEVELOPMENT_2024_2025,126,2024-08-15,2025-02-27,0.590383222993331,0.590383222993331,0.0
DEVELOPMENT_2024_2025,126,2024-08-16,2025-02-28,0.5287565320456897,0.5287565320456897,0.0
DEVELOPMENT_2024_2025,126,2024-08-19,2025-03-03,0.5660230726199436,0.5660230726199436,0.0
DEVELOPMENT_2024_2025,126,2024-08-20,2025-03-04,0.5760820396046378,0.5760820396046378,0.0
DEVELOPMENT_2024_2025,126,2024-08-21,2025-03-05,0.5896620085125037,0.5896620085125037,0.0
DEVELOPMENT_2024_2025,126,2024-08-22,2025-03-06,0.635002620189447,0.635002620189447,0.0
DEVELOPMENT_2024_2025,126,2024-08-23,2025-03-07,0.6107170849043588,0.6107170849043588,0.0
DEVELOPMENT_2024_2025,126,2024-08-26,2025-03-10,0.6137866436920487,0.6137866436920487,0.0
DEVELOPMENT_2024_2025,126,2024-08-27,2025-03-11,0.6145207218767978,0.6145207218767978,0.0
