feature,quintile,realized_bin_count,n,feature_min,feature_median,feature_max,round_trip_return_n,round_trip_return_mean,round_trip_return_median,mfe_n,mfe_mean,mfe_median,mae_n,mae_mean,mae_median,return_5d_n,return_5d_mean,return_5d_median,return_10d_n,return_10d_mean,return_10d_median,return_20d_n,return_20d_mean,return_20d_median,winner_ge20_n,winner_ge20_rate,winner_ge50_n,winner_ge50_rate,severe_loss_le_neg10_n,severe_loss_le_neg10_rate,extreme_loss_le_neg20_n,extreme_loss_le_neg20_rate
breadth_above_ma20_change20,1,5,77,-0.5279396078633447,-0.22720341530584542,-0.12510442773600672,77,-0.023390242645801963,-0.0393171349028797,77,0.0843249444956369,0.0345710627400768,77,-0.06651317042819316,-0.0519576459000246,46,0.004852463800688948,-0.01030144167758835,14,0.04975956729461486,0.0055598224347199,2,0.09112903225806444,0.09112903225806444,77,0.03896103896103896,77,0.012987012987012988,77,0.14285714285714285,77,0.0
breadth_above_ma20_change20,2,5,76,-0.1241396676179285,0.01643528432337349,0.06779661016949157,76,0.0009301193879265895,-0.0271221795300763,76,0.12894552002974885,0.0577071723239487,76,-0.05807724061690558,-0.054200708413051454,49,0.038312306260092355,0.01824,36,0.03475739696830446,0.0027450192084338,21,0.1245471040002706,0.0696798493408663,76,0.06578947368421052,76,0.0,76,0.07894736842105263,76,0.0
breadth_above_ma20_change20,3,5,77,0.06847176717844983,0.12272044625616818,0.1735112936344969,77,0.04040852940471773,-0.0137545700372925,77,0.1799575065994165,0.0654761904761904,77,-0.06087664458049549,-0.0484949832775919,60,0.03177495108945702,0.00881553941885695,32,0.061153181624297566,0.0418484396313981,15,0.1672434290306056,0.1340422554918148,77,0.09090909090909091,77,0.05194805194805195,77,0.15584415584415584,77,0.012987012987012988
breadth_above_ma20_change20,4,5,76,0.1777800680201999,0.24573717775631435,0.3142068810180753,76,0.01936061180499317,-0.006275661042773301,76,0.12568313341323675,0.06675095654506774,76,-0.05642031454836706,-0.050722495034739454,54,0.015801554163411096,0.00626184196603095,42,0.04610150012324365,0.029792058642602752,18,0.127018992233357,0.05700708646643665,76,0.09210526315789473,76,0.02631578947368421,76,0.07894736842105263,76,0.013157894736842105
breadth_above_ma20_change20,5,5,77,0.31786049054835186,0.4572615991757906,0.9241461257875538,77,0.10617858601738404,0.0082837150817298,77,0.2951033038272876,0.1106237816764132,77,-0.053853650274550594,-0.0398230088495575,75,0.08983046952802086,0.0146017699115044,59,0.10599344052963547,0.0479381443298969,30,0.3119071056830867,0.19984598641496565,77,0.18181818181818182,77,0.07792207792207792,77,0.1038961038961039,77,0.0
breadth_above_ma20_change5,1,5,78,-0.4793752200110367,-0.11326739907097705,-0.04282536151279204,78,0.00015536871258819813,-0.02356050469222725,78,0.10858818264310854,0.05374914086534495,78,-0.0536011307435523,-0.044097934856970555,50,0.01681942745194426,0.00572626308266235,25,0.04972459925172763,0.0337972166998012,15,0.10627423246710441,0.0696798493408663,78,0.038461538461538464,78,0.01282051282051282,78,0.10256410256410256,78,0.0
breadth_above_ma20_change5,2,5,78,-0.042356867836843726,0.0164631333748472,0.0526431718061674,78,-0.020676343051264763,-0.04964954234782215,78,0.09542048781982354,0.06095913154181905,78,-0.07004439865290499,-0.06661032690718624,66,0.005499383950588189,-0.0054086428138711,33,0.002560754713417544,-0.0196347031963469,15,0.09680107644086923,0.069672131147541,78,0.038461538461538464,78,0.0,78,0.11538461538461539,78,0.0
breadth_above_ma20_change5,3,5,77,0.05427170868347342,0.09987315475120351,0.14077197209255643,77,0.04246668783578276,-0.0159762961018697,77,0.17735866318449403,0.0592901878914404,77,-0.056423860988508004,-0.0392209178228388,54,0.050399867672680336,0.013991929849817251,36,0.0704274486062575,0.02115935085636825,14,0.19018283457845517,0.0984473968836995,77,0.12987012987012986,77,0.03896103896103896,77,0.14285714285714285,77,0.025974025974025976
breadth_above_ma20_change5,4,5,81,0.1410699062233589,0.19001502081744162,0.26328345701039424,81,0.027784068791515577,-0.0097291944261228,81,0.14606245791548073,0.0651505838967423,81,-0.054971768716030225,-0.0418592008698015,51,0.01992545167500242,0.0037977688108234,35,0.0671668564255364,0.06875,20,0.1512176728680797,0.11967744628743174,81,0.07407407407407407,81,0.037037037037037035,81,0.08641975308641975,81,0.0
breadth_above_ma20_change5,5,5,72,0.26543954475557313,0.3377751896323001,0.5968743933216851,72,0.10852159847247209,-0.0114867431315311,72,0.3085793649047866,0.0925242015477272,72,-0.06086440491690549,-0.054713855725915556,65,0.10122544020227672,0.0132538104705102,56,0.10635649023570866,0.04963278897910765,24,0.3694530895502676,0.3383643477431052,72,0.20833333333333334,72,0.09722222222222222,72,0.1111111111111111,72,0.0
breadth_above_ma20_state_flips20,1,5,118,0.0,1.0,1.0,118,-0.001866299658354052,-0.022418376787835502,118,0.10179062745654939,0.054290469803060695,118,-0.0560637047162782,-0.04166495742506745,83,0.009046831354232562,-0.0057832537088258,53,0.03475053369713567,0.0032771535580524,22,0.12608772681040475,0.0871394013070505,118,0.0423728813559322,118,0.00847457627118644,118,0.11016949152542373,118,0.0
breadth_above_ma20_state_flips20,2,5,81,2.0,2.0,2.0,81,0.0399728168190926,-0.0107499507361743,81,0.17845097870142645,0.0639147802929427,81,-0.05756767187432509,-0.0486015589179275,50,0.025070056461876492,0.010444118542068,40,0.061573273398135564,0.030119253773503697,24,0.16198905538215996,0.07696060769831256,81,0.09876543209876543,81,0.04938271604938271,81,0.07407407407407407,81,0.012345679012345678
breadth_above_ma20_state_flips20,3,5,56,3.0,3.0,3.0,56,0.019711662220763794,-0.0043557116238962,56,0.13028942394302592,0.0726382588869578,56,-0.05267684160656515,-0.049476849436961096,45,0.031487144888674594,0.0146017699115044,30,0.051953899118381136,0.017214956366730802,11,0.15151788425388843,0.1441471571906356,56,0.08928571428571429,56,0.0,56,0.07142857142857142,56,0.0
breadth_above_ma20_state_flips20,4,5,48,4.0,4.0,4.0,48,-0.04479914854514455,-0.054739266785648555,48,0.07282885077485779,0.049884826299966545,48,-0.08289727595661107,-0.07101099902656316,40,-0.016817531877726097,-0.0283098873812224,13,0.032056406155027944,0.0042959427207636,0,,,48,0.041666666666666664,48,0.0,48,0.22916666666666666,48,0.0
breadth_above_ma20_state_flips20,5,5,76,5.0,6.0,7.0,76,0.11391826703965749,-0.0149378154054761,76,0.31943337158012286,0.0927821550317509,76,-0.05766055902271579,-0.044097934856970555,62,0.1374706267859723,0.03415844077356965,43,0.12287547449030393,0.0558213716108453,25,0.32824011393742636,0.2755980861244018,76,0.21052631578947367,76,0.10526315789473684,76,0.11842105263157894,76,0.013157894736842105
breadth_above_ma20_volatility10,1,5,76,0.021986462423076183,0.05192383622390963,0.06608252325204277,76,0.031587220464102596,-0.0162367862052333,76,0.13845814323176606,0.058447745238563054,76,-0.049577766213784506,-0.039225698443671395,52,0.0325019930289739,0.00766737455747615,29,0.04649849519682804,0.0431187241582988,16,0.1573933046211455,0.10946618463376784,76,0.09210526315789473,76,0.039473684210526314,76,0.06578947368421052,76,0.013157894736842105
breadth_above_ma20_volatility10,2,5,78,0.06649477717836892,0.077374063399986,0.09277965155741276,78,0.003970697165701121,-0.02452664939659375,78,0.11663058900046178,0.048943815331010346,78,-0.05987714150577091,-0.052766285171851696,48,0.02707688620543021,-0.0058045451347359,25,0.06630883846292307,0.0356683804627246,9,0.23861029356689134,0.2100558659217877,78,0.0641025641025641,78,0.01282051282051282,78,0.11538461538461539,78,0.0
breadth_above_ma20_volatility10,3,5,74,0.09283007759632562,0.1020899083310221,0.11370043379606183,74,0.03541875106933732,-0.02554068948272495,74,0.1771976109110235,0.06737314870160044,74,-0.05817852443822146,-0.05238214018458465,57,0.02323787550626648,0.0088648116227529,38,0.041356091911332354,0.018188873836202747,17,0.10461475277644372,0.0553901131625966,74,0.0945945945945946,74,0.04054054054054054,74,0.12162162162162163,74,0.0
breadth_above_ma20_volatility10,4,5,76,0.11372524757030285,0.1287438853518708,0.15043554464729125,76,0.0605852664816114,-0.03899318231953835,76,0.23878815352658034,0.06426303293139604,76,-0.06726767174769215,-0.0605238282788499,57,0.10615031746453059,0.004946996466431,38,0.12260041129241007,0.02576205403791615,20,0.31690628039783775,0.19139176041349953,76,0.13157894736842105,76,0.06578947368421052,76,0.13157894736842105,76,0.013157894736842105
breadth_above_ma20_volatility10,5,5,76,0.150749359980017,0.16992369725568604,0.270325629954909,76,0.008658272197140715,-0.0081271784185998,76,0.14032412304772804,0.07051282051282046,76,-0.06308893225990429,-0.0508509922801793,66,0.013740420551575714,-0.0030488084957833,49,0.047493478255105664,0.0265035677879714,20,0.1876002486516264,0.16079875747306935,76,0.09210526315789473,76,0.013157894736842105,76,0.13157894736842105,76,0.0
breadth_above_ma5,1,5,78,0.14285714285714285,0.3507900185245723,0.41904761904761906,78,-0.011818823602514066,-0.02619978100922345,78,0.0985258332228768,0.05765793774039435,78,-0.055279009131605786,-0.0425244186881426,54,0.018795242978394473,0.0033173099525175003,36,0.021673996207141017,0.0119880036096521,17,0.07972429252626947,0.0451977401129943,78,0.02564102564102564,78,0.0,78,0.10256410256410256,78,0.0
breadth_above_ma5,2,5,77,0.42115768463073855,0.48247978436657685,0.5347593582887701,77,0.008932698310055245,-0.0271048260322548,77,0.11159268184143054,0.0561330561330561,77,-0.05861482846540725,-0.0567765567765566,51,0.0291286922307453,-0.0101626016260162,14,0.06961494199015243,0.0122510819659171,8,0.18944374553339424,0.10549859088037489,77,0.06493506493506493,77,0.025974025974025976,77,0.09090909090909091,77,0.0
breadth_above_ma5,3,5,78,0.5423728813559322,0.6057097016484225,0.6746987951807228,78,0.01870530184376409,-0.0345425047184863,78,0.14467184149737744,0.0527823742109456,78,-0.06378558204932144,-0.055008657166930444,53,0.01968197823889653,0.0065420560747664,34,0.03913001935266719,0.001294498381877,15,0.14962269049001256,0.1232876712328767,78,0.08974358974358974,78,0.038461538461538464,78,0.14102564102564102,78,0.01282051282051282
breadth_above_ma5,4,5,77,0.6809421841541756,0.735202492211838,0.8066528066528067,77,0.005750625240577637,-0.0232627033331936,77,0.12724801009045594,0.0695970695970695,77,-0.058773289992247756,-0.0532818532818532,55,0.008021482159699991,-0.002906976744186,36,0.06055678536612083,0.048648559344435655,14,0.1686632643730396,0.12624245173725374,77,0.06493506493506493,77,0.025974025974025976,77,0.09090909090909091,77,0.0
breadth_above_ma5,5,5,77,0.8080808080808081,0.9147609147609148,0.9874213836477987,77,0.13052941061127088,0.0082837150817298,77,0.341816923672361,0.1765799256505575,77,-0.058901852938798224,-0.0435078178110129,73,0.1032403072080487,0.017329255861366,65,0.10622266895791467,0.0513274336283184,34,0.2977478802499858,0.18902079677453185,77,0.23376623376623376,77,0.09090909090909091,77,0.12987012987012986,77,0.012987012987012988
