baseline_block,trade_id,symbol,entry_signal_date,entry_execution_date,exit_signal_date,exit_execution_date,canonical_exit_reason,round_trip_return,realized_pnl,capital,holding_trading_days,mfe,mae,days_to_mfe,days_to_mae,giveback_from_peak,return_5d,return_10d,return_20d,entry_rs_score,entry_mom20,entry_mom60,entry_mom120,entry_box_width,entry_vol_ratio,entry_minvol_location,entry_minimum_volume_ratio,entry_breakout_volume_ratio,pnl_bucket
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300910.SZ-001,300910.SZ,2025-01-23,2025-01-24,2025-03-24,2025-03-25,MARKET_MA20_X2,0.13387577570596276,20133.073999999982,150386.236,36,0.1612038754895897,-0.04122861265718414,35,4,0.0063015073284631296,-0.013605442176870652,0.08472479901051333,0.02432488146773859,0.6644338118022328,0.08999553372041103,0.13511627906976753,0.26812159002338265,0.12072999532054274,0.7176461212547158,0.2693208430913348,0.45659614164569096,1.1664154979463162,ORDINARY_WINNER_0_TO_20
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300947.SZ-001,300947.SZ,2025-03-17,2025-03-18,2025-03-24,2025-03-25,MARKET_MA20_X2,-0.10031861968734271,-15538.223999999987,154888.734,5,0.004304160688665792,-0.1233859397417505,0,4,0.08644965746830882,-0.09373505499760881,,,0.6175785797438883,0.10377358490566047,0.0657894736842104,0.5810810810810809,0.18320610687022887,0.6676843880099965,0.02272727272727227,0.6111454161998324,2.1870696675493955,SEVERE_LOSS_NEG10_TO_NEG20
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301217.SZ-001,301217.SZ,2025-03-14,2025-03-17,2025-03-24,2025-03-25,MARKET_MA20_X2,-0.10265029133025055,-16295.178000000014,158744.586,6,0.01614205004035507,-0.11541565778853913,0,5,0.0970005738161262,-0.07586763518966921,,,0.5702227432590856,0.12545454545454549,0.09946714031971582,0.40681818181818175,0.1539196940726577,0.8286616534750624,0.1366459627329186,0.5486832382675352,3.1191555083663336,SEVERE_LOSS_NEG10_TO_NEG20
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301361.SZ-001,301361.SZ,2025-02-12,2025-02-13,2025-03-24,2025-03-25,MARKET_MA20_X2,0.10453232519810397,17681.01299999997,169143.975,28,0.36810207336523115,-0.05103668261562999,19,1,0.21508489968227862,0.01594896331738438,0.05582137161084533,0.27559808612440184,0.4702325581395349,0.03453893776474426,0.0933195592286502,0.33909742724588776,0.14662212323682255,0.7241860392590305,0.2962025316455692,0.4614047227912216,2.3873750757566756,ORDINARY_WINNER_0_TO_20
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300346.SZ-001,300346.SZ,2025-05-06,2025-05-07,2025-05-16,2025-05-19,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,-0.08558814479867119,-14064.200000000012,164324.16,8,0.004390243902439028,-0.09024390243902447,0,7,0.0672954618718419,-0.07092682926829275,,,0.5994301994301994,0.09447128287708018,0.09594195108841719,0.00319803198031976,0.12721049629207082,0.7947138556098844,0.15022421524663554,0.31614152150350955,1.2533948266743107,SMALL_LOSS_0_TO_NEG10
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300702.SZ-001,300702.SZ,2025-04-25,2025-04-28,2025-05-28,2025-05-29,MARKET_MA20_X2,0.018718028292328055,2841.5400000000045,151807.656,20,0.05243445692883908,-0.0407303370786517,2,0,0.02341680316834615,0.0014044943820226141,0.0032771535580524702,0.014044943820224809,0.847457627118644,0.04845814977973584,0.26970954356846466,0.2667060910703727,0.1997663551401867,0.45904704964197773,0.3888888888888886,0.26102122569005154,1.810137415430432,ORDINARY_WINNER_0_TO_20
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301188.SZ-001,301188.SZ,2025-05-19,2025-05-20,2025-05-28,2025-05-29,MARKET_MA20_X2,-0.0336062572904678,-5039.116999999998,149945.796,7,0.11062378167641329,-0.03557504873294348,2,4,0.06576999998052631,-0.023391812865497075,,,0.855886524822695,0.25133057362507394,0.3572803078896729,0.33924050632911396,0.15574783683559956,0.6484024393734181,0.3134920634920632,0.28682884622631977,6.248252580431259,SMALL_LOSS_0_TO_NEG10
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301301.SZ-002,301301.SZ,2025-05-15,2025-05-16,2025-05-28,2025-05-29,MARKET_MA20_X2,-0.13616940418387138,-22046.744999999995,161906.745,9,0.016551724137931156,-0.13793103448275867,0,8,0.08099699039076794,-0.11310344827586216,,,0.5730935251798561,0.15106732348111662,0.009359251259899226,-0.04625850340136051,0.15968586387434547,0.4375579472043753,0.08743169398907023,0.4694089494052435,8.56309841940382,SEVERE_LOSS_NEG10_TO_NEG20
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300522.SZ-001,300522.SZ,2025-05-29,2025-05-30,2025-06-12,2025-06-13,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,-0.06106117333993417,-10056.31899999996,164692.52799999996,9,0.02123142250530785,-0.07430997876857759,0,8,0.03629118041707486,-0.04246284501061581,,,0.6049586776859505,0.14068745003996774,0.0325615050651229,0.13343923749007125,0.18381112984822923,0.7686463037615437,0.0,0.38482441075425106,1.796793328917037,SMALL_LOSS_0_TO_NEG10
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300452.SZ-001,300452.SZ,2025-06-03,2025-06-04,2025-06-16,2025-06-17,INDIVIDUAL_MA30_X2_AND_SET_REMOVAL,-0.03931713490287977,-6274.91399999999,159597.438,9,0.006116207951070374,-0.050458715596330306,4,8,0.03396545294569316,-0.00917431192660545,,,0.6506738544474394,0.09639564124056998,0.1285591026747197,0.020280811232449292,0.19908256880733943,0.5249068278336214,0.0,0.4782396271378291,1.2243912483945572,SMALL_LOSS_0_TO_NEG10
