decision_at,ATRDR Bull,ATRDR Fast Bear,ATRDR Slow Bear,IFCGR,MCB,OGR,SMV6
2021-04-01 15:00:00,0,0,2,0,0,0,0
2021-04-02 15:00:00,0,0,1,0,0,0,0
2021-04-07 15:00:00,3,0,0,0,2,0,0
2021-04-08 15:00:00,3,0,0,0,0,0,0
2021-04-19 15:00:00,10,0,0,0,10,0,0
2021-04-30 00:00:00,0,0,0,0,0,0,1
2021-05-17 15:00:00,0,0,0,1,0,1,0
2021-05-20 15:00:00,0,0,0,2,0,2,0
2021-05-25 00:00:00,0,0,0,0,0,0,1
2021-05-26 00:00:00,0,0,0,0,0,0,2
2021-05-28 00:00:00,0,0,0,0,0,0,2
2021-06-01 15:00:00,15,0,0,0,15,0,0
2021-06-02 15:00:00,3,0,0,0,0,0,0
2021-06-03 15:00:00,1,0,0,0,0,0,0
2021-06-04 15:00:00,1,0,0,0,0,0,0
2021-06-07 15:00:00,3,0,0,0,3,0,0
2021-06-08 15:00:00,1,0,0,0,0,0,0
2021-06-11 00:00:00,0,0,0,0,0,0,1
2021-07-22 00:00:00,0,0,0,0,0,0,1
2021-07-29 15:00:00,0,0,0,1,0,1,0
2021-07-30 15:00:00,0,0,0,1,0,1,0
2021-08-02 15:00:00,0,0,0,2,0,2,0
2021-08-09 15:00:00,0,3,0,0,0,0,0
2021-08-20 15:00:00,0,0,1,0,0,0,0
2021-08-24 15:00:00,4,0,0,0,0,0,0
2021-08-25 15:00:00,12,0,0,0,12,0,0
2021-08-26 15:00:00,10,0,0,0,0,0,0
2021-08-27 15:00:00,9,0,0,0,8,0,0
2021-10-11 15:00:00,0,1,0,0,0,0,0
2021-10-26 15:00:00,0,1,0,0,0,0,0
2021-11-01 15:00:00,0,0,0,2,0,2,0
2021-11-02 15:00:00,0,1,0,0,0,0,0
2021-11-05 15:00:00,0,0,0,1,0,1,0
2021-11-08 15:00:00,0,1,0,0,0,0,0
2021-11-09 15:00:00,0,1,0,0,0,0,0
2021-11-10 15:00:00,0,0,8,0,0,0,0
2021-11-11 15:00:00,0,0,12,0,0,0,0
2021-11-15 00:00:00,0,0,0,0,0,0,1
2021-11-15 15:00:00,0,0,0,1,0,1,0
2021-11-19 15:00:00,3,0,0,0,0,0,0
2021-11-22 15:00:00,1,0,0,0,0,0,0
2021-11-23 00:00:00,0,0,0,0,0,0,2
2021-11-23 15:00:00,9,0,0,0,8,0,0
2021-11-24 15:00:00,7,0,0,0,7,0,0
2021-11-25 15:00:00,10,0,0,0,11,0,0
2021-11-29 15:00:00,2,0,0,0,5,0,0
2021-11-30 00:00:00,0,0,0,0,0,0,1
2021-11-30 15:00:00,2,0,0,0,2,0,0
2021-12-08 15:00:00,3,0,0,0,0,0,0
2021-12-09 15:00:00,1,0,0,0,0,0,0
2021-12-10 15:00:00,1,0,0,0,0,0,0
2021-12-14 00:00:00,0,0,0,0,0,0,2
2021-12-14 15:00:00,2,0,0,0,0,0,0
2021-12-16 15:00:00,8,0,0,0,8,0,0
2021-12-17 00:00:00,0,0,0,0,0,0,1
2022-01-04 00:00:00,0,0,0,0,0,0,1
2022-01-04 15:00:00,12,0,0,0,12,0,0
2022-01-05 15:00:00,1,0,0,0,0,0,0
2022-01-06 15:00:00,5,0,0,0,3,0,0
2022-02-14 15:00:00,0,3,0,0,0,0,0
2022-02-15 15:00:00,0,6,0,0,0,0,0
2022-02-18 15:00:00,0,1,0,0,0,0,0
2022-02-21 15:00:00,0,2,0,0,0,0,0
2022-02-23 15:00:00,0,3,0,0,0,0,0
2022-02-25 15:00:00,0,0,1,0,0,0,0
2022-02-28 15:00:00,0,0,2,0,0,0,0
2022-03-01 15:00:00,4,0,0,0,4,0,0
2022-03-03 15:00:00,10,0,0,0,0,0,0
2022-03-04 15:00:00,3,0,0,0,0,0,0
2022-03-24 15:00:00,0,0,1,0,0,0,0
2022-03-30 15:00:00,0,0,0,1,0,1,0
2022-03-31 15:00:00,0,0,1,0,0,0,0
2022-04-06 15:00:00,0,0,1,0,0,0,0
2022-04-19 15:00:00,0,0,1,1,0,1,0
2022-04-28 15:00:00,0,0,0,2,0,2,0
2022-04-29 15:00:00,0,0,0,6,0,6,0
2022-05-05 15:00:00,0,18,0,2,0,2,0
2022-05-06 15:00:00,0,0,1,0,0,0,0
2022-05-09 15:00:00,0,0,2,1,0,1,0
2022-05-10 15:00:00,0,0,21,3,0,3,0
2022-05-11 15:00:00,0,0,3,4,0,4,0
2022-05-12 15:00:00,0,0,6,0,0,0,0
2022-05-13 15:00:00,0,0,10,4,0,4,0
2022-05-16 15:00:00,0,0,3,2,0,2,0
2022-05-18 15:00:00,0,0,2,3,0,3,0
2022-05-19 15:00:00,0,0,3,0,0,0,0
2022-05-20 15:00:00,0,0,4,1,0,1,0
2022-05-23 15:00:00,0,0,5,0,0,0,0
2022-05-26 15:00:00,5,0,0,0,4,0,0
2022-05-27 15:00:00,3,0,0,0,0,0,0
2022-05-30 15:00:00,4,0,0,0,0,0,0
2022-05-31 15:00:00,2,0,0,0,3,0,0
2022-06-01 15:00:00,4,0,0,0,5,0,0
2022-06-06 15:00:00,1,0,0,0,0,0,0
2022-06-08 00:00:00,0,0,0,0,0,0,1
2022-06-09 00:00:00,0,0,0,0,0,0,4
2022-06-10 00:00:00,0,0,0,0,0,0,4
2022-06-14 15:00:00,2,0,0,0,0,0,0
2022-06-15 00:00:00,0,0,0,0,0,0,3
2022-06-15 15:00:00,1,0,0,0,0,0,0
2022-06-16 15:00:00,4,0,0,0,3,0,0
2022-06-20 15:00:00,5,0,0,0,0,0,0
2022-06-22 15:00:00,1,0,0,0,0,0,0
2022-06-24 15:00:00,1,0,0,0,0,0,0
2022-06-28 15:00:00,2,0,0,0,2,0,0
2022-06-29 15:00:00,1,0,0,0,0,0,0
2022-07-07 15:00:00,1,0,0,0,0,0,0
2022-07-11 15:00:00,1,0,0,0,0,0,0
2022-07-20 15:00:00,11,0,0,0,11,0,0
2022-08-12 15:00:00,1,0,0,0,0,0,0
2022-08-18 00:00:00,0,0,0,0,0,0,1
2022-09-13 15:00:00,0,0,0,1,0,1,0
2022-10-14 15:00:00,0,1,0,0,0,0,0
2022-10-17 15:00:00,0,1,0,0,0,0,0
2022-10-18 15:00:00,0,3,0,0,0,0,0
2022-10-19 15:00:00,0,0,1,0,0,0,0
2022-10-20 15:00:00,0,0,1,0,0,0,0
2022-11-01 15:00:00,0,0,0,1,0,1,0
2022-11-02 15:00:00,2,0,0,0,2,0,0
2022-11-03 15:00:00,10,0,0,1,8,1,0
2022-11-04 15:00:00,13,0,0,0,7,0,0
2022-11-07 15:00:00,11,0,0,0,8,0,0
2022-11-08 15:00:00,2,0,0,0,0,0,0
2022-11-10 15:00:00,2,0,0,1,0,1,0
2022-11-15 15:00:00,1,0,0,1,0,1,0
2022-11-17 15:00:00,2,0,0,0,0,0,0
2022-11-18 15:00:00,1,0,0,0,0,0,0
2022-11-21 15:00:00,2,0,0,0,0,0,0
2022-11-22 15:00:00,1,0,0,0,0,0,0
2022-11-25 15:00:00,4,0,0,0,0,0,0
2022-11-28 15:00:00,2,0,0,0,0,0,0
2022-11-29 15:00:00,6,0,0,0,0,0,0
2022-12-01 15:00:00,1,0,0,0,0,0,0
2023-01-04 00:00:00,0,0,0,0,0,0,1
2023-01-06 00:00:00,0,0,0,0,0,0,2
2023-01-09 00:00:00,0,0,0,0,0,0,2
2023-01-10 00:00:00,0,0,0,0,0,0,2
2023-01-18 15:00:00,12,0,0,0,12,0,0
2023-01-19 15:00:00,20,0,0,0,20,0,0
2023-01-20 15:00:00,16,0,0,0,16,0,0
2023-01-30 15:00:00,40,0,0,0,75,0,0
2023-01-31 15:00:00,6,0,0,0,20,0,0
2023-02-01 15:00:00,26,0,0,0,59,0,0
2023-02-02 15:00:00,3,0,0,0,0,0,0
2023-02-08 15:00:00,1,0,0,0,0,0,0
2023-02-13 15:00:00,1,0,0,0,0,0,0
2023-02-17 15:00:00,1,0,0,0,0,0,0
2023-02-28 15:00:00,2,0,0,0,0,0,0
2023-03-01 15:00:00,1,0,0,0,0,0,0
2023-03-07 00:00:00,0,0,0,0,0,0,1
2023-03-22 15:00:00,0,0,0,1,0,1,0
2023-03-23 00:00:00,0,0,0,0,0,0,2
2023-03-24 00:00:00,0,0,0,0,0,0,4
2023-04-14 15:00:00,0,0,0,1,0,1,0
2023-05-15 15:00:00,0,0,2,2,0,2,0
2023-05-17 15:00:00,0,0,10,0,0,0,0
2023-05-18 15:00:00,0,0,9,1,0,1,0
2023-05-19 15:00:00,0,0,3,0,0,0,0
2023-05-22 15:00:00,0,0,2,0,0,0,0
2023-05-26 15:00:00,10,0,0,0,6,0,0
2023-06-01 15:00:00,0,0,1,0,0,0,0
2023-06-27 15:00:00,0,0,1,0,0,0,0
