route,policy,segment,scope,period,start,end,native_closed_n,native_open_n,native_mean_sessions,native_median_sessions,native_mean_calendar_days,native_outlay_weighted_sessions,policy_closed_n,policy_open_n,policy_mean_sessions,policy_median_sessions,policy_mean_calendar_days,policy_outlay_weighted_sessions,sessions_shortened,shortened_pct,common_n,common_native_mean,common_policy_mean,common_shortened
OGR,fixed_0.05,2022_2023,ROUTE,CONSUMED_TEMPORAL,2022-01-01,2023-12-31,44,0,11.704545454545455,10.5,17.772727272727273,11.701473930042436,44,0,10.159090909090908,8.5,15.136363636363637,10.154356497531344,1.5454545454545467,13.203883495145641,44,11.704545454545455,10.159090909090908,1.5454545454545454
OGR,fixed_0.03,2018_2021,ROUTE,DISCOVERY,2018-01-01,2021-12-31,255,0,9.007843137254902,7.0,12.580392156862745,9.033416065062898,269,0,5.9182156133829,4.0,8.144981412639405,5.907880316638846,3.089627523872002,34.2993042484702,255,9.007843137254902,5.976470588235294,3.0313725490196077
OGR,fixed_0.03,2022_2023,ROUTE,CONSUMED_TEMPORAL,2022-01-01,2023-12-31,44,0,11.704545454545455,10.5,17.772727272727273,11.701473930042436,44,0,8.681818181818182,6.5,12.818181818181818,8.674160035446597,3.0227272727272734,25.825242718446606,44,11.704545454545455,8.681818181818182,3.022727272727273
OGR,atr_1,2018_2021,ROUTE,DISCOVERY,2018-01-01,2021-12-31,255,0,9.007843137254902,7.0,12.580392156862745,9.033416065062898,258,0,7.375968992248062,6.0,10.224806201550388,7.373065758479403,1.6318741450068401,18.11614745218738,255,9.007843137254902,7.403921568627451,1.603921568627451
OGR,atr_1,2022_2023,ROUTE,CONSUMED_TEMPORAL,2022-01-01,2023-12-31,44,0,11.704545454545455,10.5,17.772727272727273,11.701473930042436,44,0,9.909090909090908,8.5,14.659090909090908,9.903439128825104,1.7954545454545467,15.339805825242724,44,11.704545454545455,9.909090909090908,1.7954545454545454
IFCGR,fixed_0.05,2018_2021,ROUTE,DISCOVERY,2018-01-01,2021-12-31,248,0,9.116935483870968,7.0,12.733870967741936,9.144210089698039,251,0,7.290836653386454,5.0,10.099601593625499,7.282246373359119,1.826098830484514,20.029743916858,248,9.116935483870968,7.310483870967742,1.8064516129032258
IFCGR,fixed_0.05,2022_2023,ROUTE,CONSUMED_TEMPORAL,2022-01-01,2023-12-31,44,0,11.704545454545455,10.5,17.772727272727273,11.701473930042436,44,0,10.159090909090908,8.5,15.136363636363637,10.154356497531344,1.5454545454545467,13.203883495145641,44,11.704545454545455,10.159090909090908,1.5454545454545454
IFCGR,fixed_0.03,2018_2021,ROUTE,DISCOVERY,2018-01-01,2021-12-31,248,0,9.116935483870968,7.0,12.733870967741936,9.144210089698039,262,0,5.931297709923665,4.0,8.164122137404581,5.920855406028104,3.1856377739473034,34.94198000614468,248,9.116935483870968,6.0,3.1169354838709675
IFCGR,fixed_0.03,2022_2023,ROUTE,CONSUMED_TEMPORAL,2022-01-01,2023-12-31,44,0,11.704545454545455,10.5,17.772727272727273,11.701473930042436,44,0,8.681818181818182,6.5,12.818181818181818,8.674160035446597,3.0227272727272734,25.825242718446606,44,11.704545454545455,8.681818181818182,3.022727272727273
IFCGR,atr_1,2018_2021,ROUTE,DISCOVERY,2018-01-01,2021-12-31,248,0,9.116935483870968,7.0,12.733870967741936,9.144210089698039,251,0,7.446215139442231,6.0,10.318725099601593,7.443626377630762,1.6707203444287373,18.325459770823826,248,9.116935483870968,7.467741935483871,1.6491935483870968
IFCGR,atr_1,2022_2023,ROUTE,CONSUMED_TEMPORAL,2022-01-01,2023-12-31,44,0,11.704545454545455,10.5,17.772727272727273,11.701473930042436,44,0,9.909090909090908,8.5,14.659090909090908,9.903439128825104,1.7954545454545467,15.339805825242724,44,11.704545454545455,9.909090909090908,1.7954545454545454
