scope,strategy,gap,mcb_mode,period,from_target,to_target,delta_CAGR,delta_MaxDD,delta_CVaR5,delta_average_gross_exposure,delta_capital_days,delta_net_pnl,incremental_pnl_per_added_capital_day,capital_day_denominator_status,incremental_CAGR_per_incremental_MaxDD,drawdown_denominator_status
SINGLE,MCB,OGR,independent,2022_2023,NATIVE,G25,0.008880390704422501,0.012956850876568303,0.00036247977383029994,-0.0028026869696631956,-2136787.2647630274,33561.34401148278,,NEGATIVE_DENOMINATOR,0.6853818716461545,DEFINED
SINGLE,MCB,OGR,independent,2022_2023,G25,G50,0.0444494275604286,0.0337576090606655,-0.0055794702625244,0.09991130803520391,149202205.39756995,172285.13291364373,0.001154709023600329,DEFINED,1.3167232158103652,DEFINED
SINGLE,MCB,OGR,independent,2022_2023,G50,G75,0.0452550140929915,0.0330350858683712,-0.005584191946517101,0.0999362225157327,160829073.5672775,182769.5275091278,0.0011364209433978507,DEFINED,1.3699075665585005,DEFINED
SINGLE,MCB,OGR,independent,2022_2023,G75,G100,0.0461136743851627,0.032320352351482395,-0.0055893157336659,0.09997409799059848,173490822.1227708,193877.75258022355,0.0011175101380465299,DEFINED,1.4267689251552254,DEFINED
SINGLE,OGR,OGR,independent,2018_2021,NATIVE,G25,0.05822361127785031,0.0321920272656222,-0.0066841114665813,0.0756318115242384,128053945.52220616,274137.281926668,0.0021407952781832026,DEFINED,1.8086345043583874,DEFINED
SINGLE,OGR,OGR,independent,2018_2021,G25,G50,0.08895178416544279,0.04482321244739299,-0.007660231453112699,0.09050442287886419,209779531.2203802,513060.0667232964,0.002445710807620741,DEFINED,1.9845026562931325,DEFINED
SINGLE,OGR,OGR,independent,2018_2021,G50,G75,0.09315795951328881,0.04311974421273722,-0.007663057210184301,0.09071347409582703,292528995.85474676,678006.8518123901,0.0023177423825330797,DEFINED,2.1604478693955405,DEFINED
SINGLE,OGR,OGR,independent,2018_2021,G75,G100,0.0978477825343213,0.041461115579324276,-0.007668259900699598,0.09096167375082898,404797012.47744024,892711.479078176,0.002205331194552548,DEFINED,2.3599891408400935,DEFINED
SINGLE,OGR,OGR,independent,2022_2023,NATIVE,G25,0.0219031567450274,0.0645456117593776,-0.007862430087187799,0.0901261240846708,76428410.06333086,49524.67338397191,0.0006479877488349461,DEFINED,0.33934385542244344,DEFINED
SINGLE,OGR,OGR,independent,2022_2023,G25,G50,0.0285775739452434,0.0665669913630485,-0.0084242762855688,0.0974943153928377,84870113.60194719,66214.22190831392,0.000780183024366716,DEFINED,0.4293054764843538,DEFINED
