scale,period,start,end,return_,CAGR,MaxDD,CVaR5,Sharpe,average_gross,P95_gross,cash_ratio,fees,turnover,worst_month,max_security,max_family,top5_day_concentration,top5_event_concentration,top5_symbol_concentration,net_pnl,max_gross,days_gross_gt25,days_gross_gt50,days_gross_gt75,days_gross_gt90,days_gross_ge99,trading_days
X5,2023,2023-01-01,2023-12-31,0.11402497959268909,0.11410737437396046,0.042342739611518354,0.012009325329595413,1.3806495869496958,0.29662349521276565,0.9214816414042297,0.7033765047872342,311614.65991127305,10.396837899197049,-0.009987417456546188,0.08968579738770571,0.8621498798458386,0.19202256472774457,0.13173222287339284,0.1348194898186626,1709499.002257891,1.0,99,50,36,13,6,242
X5,2024,2024-01-01,2024-12-31,0.31574359509414474,0.31500396157725996,0.13180713770885177,0.02031203074594575,1.604287409604848,0.3669876606182625,0.9151836481189097,0.6330123393817375,548968.6311527246,15.264614165022527,-0.05636448556351237,0.1029292201913387,0.7834564168392059,0.27678978106998664,0.22130443710834274,0.22130443710834274,5273492.432349879,1.0,126,73,39,15,6,242
X5,2025,2025-01-01,2025-12-31,0.15192413642745173,0.15203573149014127,0.06414910903134008,0.018443460200648857,1.195525096414474,0.5013138521819807,1.0,0.49868614781801934,737444.0855543325,17.5450452490265,-0.020605566060597935,0.08658122239291426,1.0,0.16224560765552057,0.10583907480960075,0.1159063635808483,3338580.2393555082,1.0,173,112,68,43,25,243
X5,2026,2026-01-01,2026-09-04,0.26150316913888205,0.4098994168624015,0.11682340401237401,0.019098791925821288,2.344969219591846,0.44888635420537176,0.9020048637748037,0.5511136457946283,701788.4551278129,18.7137863584382,-0.063956083192652,0.09439727331233357,0.7949197168306825,0.22339199103363847,0.16257012244798305,0.1729212472093695,6619662.942330964,1.0,119,70,27,9,4,164
X8,2018,2018-01-01,2018-12-31,0.2680902209034921,0.268296529911326,0.08997842682474866,0.02644267724900364,1.4753285121239759,0.47563420452031246,1.0,0.5243657954796875,189775.4828883261,17.082908951517624,-0.03321552816863271,0.11032734603230207,0.9311557306280546,0.20072305859145545,0.1563914824511718,0.15648174390063735,1314924.1244985461,1.0,150,115,82,47,20,243
X8,2019,2019-01-01,2019-12-31,0.30302312683520394,0.3032593765671634,0.07323544364639256,0.019523695124108068,1.9770761043306084,0.34991477681597066,1.0,0.6500852231840294,193245.50754090643,13.359147833596099,-0.027772305259071373,0.11336056216490008,0.9797241964848068,0.2567761789886769,0.147304464487542,0.14730446448754198,1884714.836989738,1.0,104,80,58,40,20,244
X8,2020,2020-01-01,2020-12-31,0.20877408595563796,0.20830452214614792,0.11639109426735283,0.025387355751944833,1.2851632587024555,0.4808828842718606,0.9711218407584774,0.5191171157281395,281261.30025022506,16.979871797814837,-0.07753036167121874,0.1105640751884404,0.9258607602380681,0.1859241751594288,0.09153478715802872,0.09579058372408866,1691993.105406342,1.0,167,117,65,29,5,243
X8,2021,2021-01-01,2021-12-31,0.43014767948787846,0.4304981847361815,0.02567819187716691,0.008915511306669463,3.946779731882896,0.38117313087418003,0.9574556336098426,0.61882686912582,347054.0867583455,16.28828617240112,-0.008148848318935809,0.10660551354329743,0.8438200783289161,0.17514886711050018,0.12267288494060634,0.12267288494060634,4213904.833748711,1.0,152,69,35,22,5,243
X8,2022,2022-01-01,2022-12-31,0.1409676226892389,0.14107068695915426,0.13448535500557368,0.026040189492344972,0.9044636518579655,0.505986031148113,0.9997537737375477,0.4940139688518871,497464.0330270181,17.39288423021262,-0.07773434617707442,0.10721773544903047,0.8897327346649053,0.16356881057122893,0.18593146143083028,0.1859314614308303,1975001.3667536713,1.0,168,121,75,43,20,242
X8,2023,2023-01-01,2023-12-31,0.12279751379787585,0.12288659005080138,0.047238207780114116,0.013288341087519324,1.3009804857863478,0.3346565534166634,0.9491940885395256,0.6653434465833366,377343.7530649067,11.742806976239775,-0.014673453041744389,0.10851090527359246,0.8520458173662572,0.19139394293954895,0.17883911546468365,0.17883911546468365,1962957.601963589,1.0,112,61,39,21,8,242
X8,2024,2024-01-01,2024-12-31,0.2869965580214291,0.2863313125624063,0.1435030770898078,0.022649425978606523,1.4011828338680887,0.4094168883283948,0.964651861143351,0.5905831116716053,636873.7479977182,16.67266784889046,-0.053105381452534406,0.11581445517970365,0.8768247614467418,0.2723901573912499,0.23510393370988103,0.23510393370988103,5151094.007996298,1.0,147,81,61,36,6,242
X8,2025,2025-01-01,2025-12-31,0.1542851451947047,0.15439858792843397,0.07333074232378745,0.019787925589190906,1.1164300236730156,0.5408261801941207,1.0,0.4591738198058793,881086.2454982973,19.303832582440336,-0.026069796280582702,0.11333729562716038,1.0,0.16805115205389667,0.1380845481512655,0.1380845481512655,3563889.963936873,1.0,187,124,83,52,29,243
X8,2026,2026-01-01,2026-09-04,0.24228538232761654,0.3782543805092504,0.1540637439025726,0.023213708354869887,1.9022577170112798,0.5061924751534875,0.8984689871515227,0.49380752484651247,838739.8541565565,21.17364370457598,-0.08748581053528659,0.11590666726227508,0.8410325986511452,0.2298414400851365,0.15257890034106703,0.1763536338469675,6460118.620620508,1.0,124,95,31,8,6,164
X10,2018,2018-01-01,2018-12-31,0.25051943511401875,0.25071093257683286,0.09353722070236015,0.027435562437617935,1.3626241183648786,0.4959834247181246,1.0,0.5040165752818754,196796.32666491374,17.68410771707192,-0.032697417340435964,0.11100495181159103,0.9310906088557399,0.19376926529475527,0.15383649528053894,0.15391810422361893,1228743.2483624788,1.0,148,120,87,61,21,243
X10,2019,2019-01-01,2019-12-31,0.31818032185816403,0.31842976344851204,0.06866590392756178,0.020141091895891458,2.0150645479604146,0.35616785008450286,1.0,0.6438321499154971,194643.88861003896,13.546092643144979,-0.029767286547102145,0.11329365249506589,0.9795068703301821,0.2494048704898312,0.15074167666382404,0.15074167666382404,1951567.078755456,1.0,104,83,58,43,24,244
X10,2020,2020-01-01,2020-12-31,0.19947060087215518,0.19902363485726693,0.13080759019666288,0.026184615462335064,1.1961740762688917,0.5074882823010338,0.9708840802530633,0.4925117176989661,294667.36549795186,18.039782414573853,-0.08016136557932707,0.11236300451378195,0.9250684598022644,0.180640178619245,0.10672264771204873,0.10693073193261546,1612738.2503670435,1.0,178,125,69,28,5,243
