X,Y,period,strategy,requests,funded_requests,positive_R1_requests,p50_registered_limit_use,p95_registered_limit_use,max_registered_limit_use,grade
X1.5,0.15,2025,MCB,205,4,205,0.10167845191241212,0.170212665874887,0.17421920051413203,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.15,2025,OGR,31,31,31,0.22761351710949773,0.6865903210366693,0.9887865334003827,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.15,2025,SMV6,82,64,82,0.8742780243131687,1.0,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.15,2026 YTD,ATRDR,237,178,182,0.11448430263688844,0.4519663390127285,0.9952733201590485,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.15,2026 YTD,MCB,130,0,130,,,,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.15,2026 YTD,OGR,30,30,30,0.10207090461010332,0.2915212800934314,0.5077831874375264,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.15,2026 YTD,SMV6,27,21,27,1.0,1.0,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.15,full,ATRDR,4957,2089,3186,0.14225871166916487,0.663749385073923,1.0000000000000002,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.15,full,MCB,2591,65,2591,0.14837119831727996,0.6154236607366651,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.15,full,OGR,507,375,507,0.17251872144128935,0.7239469475335297,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.15,full,SMV6,275,225,275,0.8757316524088249,1.0,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.2,2018–2021,ATRDR,2054,887,1389,0.13971521171712342,0.6941031368111404,1.0000000000000002,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.2,2018–2021,MCB,1064,39,1064,0.1370541703688756,0.6563861306643762,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.2,2018–2021,OGR,349,217,349,0.14452281087279623,0.7685679272605853,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.2,2018–2021,SMV6,104,84,104,0.8825631938449423,1.0,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.2,2022–2023,ATRDR,731,435,540,0.16801109167213124,0.7201272705912456,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.2,2022–2023,MCB,423,12,423,0.1259904018936183,0.5702610949586135,0.9999999999999999,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.2,2022–2023,OGR,44,44,44,0.15077719232382653,0.6256417828719705,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.2,2022–2023,SMV6,38,33,38,0.9990757855822552,1.0,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
X1.5,0.2,2024,ATRDR,1526,306,756,0.18370522013360985,0.6869049863259343,1.0,REGISTERED_LIMIT_UTILIZATION; NO_ESTIMATED_IMPACT_MODEL
