baseline_block,trade_id,symbol,entry_signal_date,feature_available_at,candidate_count,vacancies_before_selection,selection_pressure,selected_rank,selected_rank_percentile,selected_rs_score,cutoff_rs_score,selected_margin_to_cutoff,selection_lineage_id,entry_year
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300827.SZ-001,300827.SZ,2025-09-03,2025-09-03T15:30:00+08:00,3,2,1.5,1,1,0.879218303146,0.524404194471,0.354814108675,L_CONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300863.SZ-001,300863.SZ,2025-06-23,2025-06-23T15:30:00+08:00,7,10,0.7,6,0.166666666667,0.569170984456,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300910.SZ-001,300910.SZ,2025-01-23,2025-01-23T15:30:00+08:00,1,10,0.1,1,1,0.664433811802,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300919.SZ-001,300919.SZ,2024-03-11,2024-03-11T15:30:00+08:00,2,10,0.2,1,1,0.773394495413,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300938.SZ-001,300938.SZ,2025-10-29,2025-10-29T15:30:00+08:00,2,9,0.222222222222,2,0,0.623609394314,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300945.SZ-001,300945.SZ,2024-12-02,2024-12-02T15:30:00+08:00,2,10,0.2,1,1,0.710295728368,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300947.SZ-001,300947.SZ,2025-03-17,2025-03-17T15:30:00+08:00,2,2,1,1,1,0.617578579744,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300971.SZ-001,300971.SZ,2024-12-05,2024-12-05T15:30:00+08:00,1,8,0.125,1,1,0.367640449438,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:300987.SZ-001,300987.SZ,2025-06-12,2025-06-12T15:30:00+08:00,2,1,2,1,1,0.839973262032,0.717914438503,0.122058823529,L_CONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301048.SZ-001,301048.SZ,2025-06-10,2025-06-10T15:30:00+08:00,2,3,0.666666666667,2,0,0.724331550802,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301048.SZ-002,301048.SZ,2025-08-08,2025-08-08T15:30:00+08:00,12,1,12,1,1,0.844491525424,0.759004237288,0.0854872881356,L_CONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301052.SZ-001,301052.SZ,2025-06-10,2025-06-10T15:30:00+08:00,2,3,0.666666666667,1,1,0.877673796791,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301083.SZ-001,301083.SZ,2025-11-05,2025-11-05T15:30:00+08:00,1,3,0.333333333333,1,1,0.545018007203,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301093.SZ-001,301093.SZ,2025-06-23,2025-06-23T15:30:00+08:00,7,10,0.7,2,0.833333333333,0.846113989637,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301096.SZ-001,301096.SZ,2025-07-30,2025-07-30T15:30:00+08:00,13,1,13,1,1,0.901653803749,0.813009922822,0.0886438809261,L_CONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301096.SZ-002,301096.SZ,2025-11-03,2025-11-03T15:30:00+08:00,2,7,0.285714285714,1,1,0.76564792176,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301141.SZ-001,301141.SZ,2025-06-04,2025-06-04T15:30:00+08:00,2,6,0.333333333333,2,0,0.564257028112,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301165.SZ-001,301165.SZ,2025-06-24,2025-06-24T15:30:00+08:00,15,3,5,3,0.857142857143,0.75019206146,0.713316261204,0.0368758002561,L_CONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301182.SZ-001,301182.SZ,2025-09-03,2025-09-03T15:30:00+08:00,3,2,1.5,2,0.5,0.591229742612,0.524404194471,0.0668255481411,L_CONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301188.SZ-001,301188.SZ,2025-05-19,2025-05-19T15:30:00+08:00,1,8,0.125,1,1,0.855886524823,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301213.SZ-001,301213.SZ,2024-12-20,2024-12-20T15:30:00+08:00,4,10,0.4,1,1,0.678861788618,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301213.SZ-002,301213.SZ,2025-02-17,2025-02-17T15:30:00+08:00,3,2,1.5,1,1,0.603074670571,0.396046852123,0.207027818448,L_CONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301217.SZ-001,301217.SZ,2025-03-14,2025-03-14T15:30:00+08:00,1,3,0.333333333333,1,1,0.570222743259,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301230.SZ-001,301230.SZ,2024-12-06,2024-12-06T15:30:00+08:00,2,7,0.285714285714,2,0,0.423847019123,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301238.SZ-001,301238.SZ,2025-06-23,2025-06-23T15:30:00+08:00,7,10,0.7,3,0.666666666667,0.663730569948,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301285.SZ-001,301285.SZ,2025-10-29,2025-10-29T15:30:00+08:00,2,9,0.222222222222,1,1,0.750556242274,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301301.SZ-001,301301.SZ,2024-04-29,2024-04-29T15:30:00+08:00,1,7,0.142857142857,1,1,0.88814968815,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301301.SZ-002,301301.SZ,2025-05-15,2025-05-15T15:30:00+08:00,1,8,0.125,1,1,0.57309352518,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301361.SZ-001,301361.SZ,2025-02-12,2025-02-12T15:30:00+08:00,2,4,0.5,2,0,0.47023255814,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301498.SZ-001,301498.SZ,2024-12-02,2024-12-02T15:30:00+08:00,2,10,0.2,2,0,0.373165388828,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301498.SZ-002,301498.SZ,2024-12-20,2024-12-20T15:30:00+08:00,4,10,0.4,3,0.333333333333,0.521951219512,,,L_UNCONTESTED,2024
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301577.SZ-001,301577.SZ,2025-11-04,2025-11-04T15:30:00+08:00,2,5,0.4,2,0,0.632725060827,,,L_UNCONTESTED,2025
DEVELOPMENT_2024_2025,DEVELOPMENT_2024_2025:301611.SZ-001,301611.SZ,2025-09-24,2025-09-24T15:30:00+08:00,4,1,4,1,1,0.481699346405,0.460021786492,0.0216775599129,L_CONTESTED,2025
EXTENDED_2018_2021,EXTENDED_2018_2021:300001.SZ-001,300001.SZ,2020-06-12,2020-06-12T15:30:00+08:00,1,9,0.111111111111,1,1,0.466323024055,,,L_UNCONTESTED,2020
EXTENDED_2018_2021,EXTENDED_2018_2021:300002.SZ-001,300002.SZ,2021-11-17,2021-11-17T15:30:00+08:00,2,7,0.285714285714,2,0,0.604921700224,,,L_UNCONTESTED,2021
EXTENDED_2018_2021,EXTENDED_2018_2021:300002.SZ-002,300002.SZ,2021-12-14,2021-12-14T15:30:00+08:00,6,10,0.6,5,0.2,0.572710622711,,,L_UNCONTESTED,2021
EXTENDED_2018_2021,EXTENDED_2018_2021:300007.SZ-001,300007.SZ,2020-06-16,2020-06-16T15:30:00+08:00,5,7,0.714285714286,5,0,0.413468013468,,,L_UNCONTESTED,2020
EXTENDED_2018_2021,EXTENDED_2018_2021:300009.SZ-001,300009.SZ,2021-04-08,2021-04-08T15:30:00+08:00,1,8,0.125,1,1,0.78125,,,L_UNCONTESTED,2021
EXTENDED_2018_2021,EXTENDED_2018_2021:300010.SZ-001,300010.SZ,2019-10-28,2019-10-28T15:30:00+08:00,3,9,0.333333333333,3,0,0.458515283843,,,L_UNCONTESTED,2019
EXTENDED_2018_2021,EXTENDED_2018_2021:300012.SZ-001,300012.SZ,2019-02-11,2019-02-11T15:30:00+08:00,3,10,0.3,1,1,0.851041666667,,,L_UNCONTESTED,2019
EXTENDED_2018_2021,EXTENDED_2018_2021:300012.SZ-002,300012.SZ,2021-01-07,2021-01-07T15:30:00+08:00,2,9,0.222222222222,1,1,0.771732522796,,,L_UNCONTESTED,2021
EXTENDED_2018_2021,EXTENDED_2018_2021:300014.SZ-001,300014.SZ,2018-05-11,2018-05-11T15:30:00+08:00,1,10,0.1,1,1,0.524,,,L_UNCONTESTED,2018
EXTENDED_2018_2021,EXTENDED_2018_2021:300015.SZ-001,300015.SZ,2019-08-28,2019-08-28T15:30:00+08:00,2,5,0.4,1,1,0.660606060606,,,L_UNCONTESTED,2019
EXTENDED_2018_2021,EXTENDED_2018_2021:300015.SZ-002,300015.SZ,2020-12-25,2020-12-25T15:30:00+08:00,2,6,0.333333333333,1,1,0.894428152493,,,L_UNCONTESTED,2020
EXTENDED_2018_2021,EXTENDED_2018_2021:300015.SZ-003,300015.SZ,2020-12-30,2020-12-30T15:30:00+08:00,1,10,0.1,1,1,0.900920245399,,,L_UNCONTESTED,2020
