split,stage_order,predicate_or_cumulative_stage,wave_n,wave_pass,wave_pass_rate,wave_wilson_low,wave_wilson_high,wave_symbol_cluster_low,wave_symbol_cluster_high,control_n,control_pass,control_acceptance,control_wilson_low,control_wilson_high,control_symbol_cluster_low,control_symbol_cluster_high,wave_minus_control,enrichment_rate_ratio,wave_incremental_pass_rate,control_incremental_acceptance,incremental_enrichment,precision_in_balanced_matched_sample,wave_recall
validation,2,current_strict_temporal_valid,541,157,0.2902033271719039,0.2535445040093285,0.3298205348932909,0.2446867579628265,0.3317895670813128,541,211,0.3900184842883549,0.3498309176979717,0.43175692207917227,0.3325921094244149,0.44567354665363945,-0.099815157116451,0.7440758293838863,,,,0.4266304347826087,0.2902033271719039
validation,3,not_ensemble_peak_ambiguous,541,180,0.33271719038817005,0.29431456525168376,0.3734787036530479,0.29075791421286584,0.3753599637201919,541,252,0.4658040665434381,0.4241588548658255,0.5079314818716058,0.40851448731984585,0.5100395444479595,-0.13308687615526804,0.7142857142857143,,,,0.4166666666666667,0.33271719038817005
validation,4,actual:authoritative_observation,541,541,1.0,0.9929494006770172,1.0,1.0,1.0,541,541,1.0,0.9929494006770172,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0
validation,5,actual:corporate_action_clear,541,541,1.0,0.9929494006770172,1.0,1.0,1.0,541,539,0.9963031423290203,0.9866222132898449,0.9989856021695972,0.9906501891974047,1.0,0.003696857670979714,1.0037105751391466,1.0,0.9963031423290203,1.0037105751391466,0.5009259259259259,1.0
validation,6,actual:lifecycle_hard_valid,541,136,0.2513863216266174,0.21667094245257382,0.2896074516655081,0.21060685721282135,0.2873283918788269,541,165,0.3049907578558225,0.267682155720871,0.34504922405204824,0.2556792057014771,0.3540008267096954,-0.05360443622920513,0.8242424242424243,0.2513863216266174,0.30612244897959184,0.8211953173136168,0.45182724252491696,0.2513863216266174
validation,7,actual:peak_identity_valid,541,136,0.2513863216266174,0.21667094245257382,0.2896074516655081,0.2100800273436579,0.28639978071320416,541,165,0.3049907578558225,0.267682155720871,0.34504922405204824,0.2543093226619238,0.3634152836422548,-0.05360443622920513,0.8242424242424243,1.0,1.0,1.0,0.45182724252491696,0.2513863216266174
validation,8,actual:tradable,541,135,0.24953789279112754,0.2149242016364431,0.2876833998728513,0.20979396583588553,0.29209537062036595,541,160,0.2957486136783734,0.25884053543048063,0.3355368812985012,0.2488471983177182,0.34858543117494856,-0.04621072088724587,0.8437499999999999,0.9926470588235294,0.9696969696969697,1.0236672794117647,0.4576271186440678,0.24953789279112754
validation,9,actual:neutral_or_broken_and_no_cooldown_setup_score_evaluated,541,135,0.24953789279112754,0.2149242016364431,0.2876833998728513,0.21098429058210116,0.2877041742286751,541,160,0.2957486136783734,0.25884053543048063,0.3355368812985012,0.2454022988505747,0.34558829506197924,-0.04621072088724587,0.8437499999999999,1.0,1.0,1.0,0.4576271186440678,0.24953789279112754
validation,10,actual:setup_score_ge_1_00,541,0,0.0,0.0,0.00705059932298276,0.0,0.0,541,0,0.0,0.0,0.00705059932298276,0.0,0.0,0.0,,0.0,0.0,,,0.0
validation,11,actual:setup_created,541,0,0.0,0.0,0.00705059932298276,0.0,0.0,541,0,0.0,0.0,0.00705059932298276,0.0,0.0,0.0,,,,,,0.0
