scenario,year,net_return,mean_exposure,fees
N_COST_N1_CAP10,2021,-0.03930948381690336,0.7957747243686755,76997.04515040012
N_COST_N1_CAP10,2022,-0.5097699686730257,0.7912933172558562,46589.80038320026
N_COST_N1_CAP10,2023,-0.3439217171358021,0.8024910895941557,26887.97693860007
N_COST_N4_MAX_DEPLOYABLE,2020,0.23767806716239903,0.7998248451719969,70083.21283759995
N_COST_N4_MAX_DEPLOYABLE,2021,-0.22708138993556426,0.832365559157386,63595.089624000015
N_COST_N4_MAX_DEPLOYABLE,2022,-0.5313400397627327,0.7474454786998548,38740.273979800055
N_COST_N4_MAX_DEPLOYABLE,2023,-0.3248720520676166,0.8318201939821677,22104.123448600003
N_COST_N4_CAP10,2020,0.03812356791760041,0.7386726019865444,56647.34208239998
N_COST_N4_CAP10,2021,-0.017648259825512325,0.7597225552674927,55483.87829760012
N_COST_N4_CAP10,2022,-0.38788933448839036,0.5784207591566563,36031.96449779994
N_COST_N4_CAP10,2023,-0.20658611928893922,0.7343532266321675,29304.963136200007
N_COST_N9_MAX_DEPLOYABLE,2020,0.026481293178398868,0.7413481385398111,60071.986821599945
N_COST_N9_MAX_DEPLOYABLE,2021,-0.008836340960404199,0.7027709974455388,50064.45869599997
N_COST_N9_MAX_DEPLOYABLE,2022,-0.398634114092405,0.5105229530842595,32407.604108000043
N_COST_N9_MAX_DEPLOYABLE,2023,0.023857985964366613,0.6597147995396915,27808.42957420001
N_COST_N9_CAP10,2020,0.031869787578398645,0.6815276209932505,55172.752421600046
N_COST_N9_CAP10,2021,0.23364286190895234,0.6355522760748874,53883.827392799954
N_COST_N9_CAP10,2022,-0.3357573738820454,0.39183535269820075,32469.907431399944
N_COST_N9_CAP10,2023,0.0038586361846217887,0.5925594547479774,36479.29307279986
N_DELAY_N1_MAX_DEPLOYABLE,2020,0.11143587688480205,0.7940081649205435,31344.770141199995
N_DELAY_N1_MAX_DEPLOYABLE,2021,-0.08780419278125806,0.8165274310355417,33513.21999800012
N_DELAY_N1_MAX_DEPLOYABLE,2022,-0.4838553565791833,0.8366104490816476,21853.182773699933
N_DELAY_N1_MAX_DEPLOYABLE,2023,-0.19547467444804845,0.8461918356900362,13786.459186099964
N_DELAY_N1_CAP10,2020,0.10266695067679787,0.7520520065139895,29429.367347199994
N_DELAY_N1_CAP10,2021,-0.05453466703784926,0.7765902204257663,32861.915008799995
N_DELAY_N1_CAP10,2022,-0.46792248897358124,0.7747121503491261,21437.241980599974
N_DELAY_N1_CAP10,2023,-0.21638707162513382,0.793383286754998,13549.321701700057
N_DELAY_N4_MAX_DEPLOYABLE,2020,-0.08363587275440054,0.8054760570161242,28958.962754399992
N_DELAY_N4_MAX_DEPLOYABLE,2021,0.04058488421342732,0.8317437625106501,30371.68799840006
N_DELAY_N4_MAX_DEPLOYABLE,2022,-0.5500932458657487,0.7691295979241476,18835.207615700012
N_DELAY_N4_MAX_DEPLOYABLE,2023,-0.10817635486023436,0.8186369156152753,10555.84095100002
N_DELAY_N4_CAP10,2020,0.0187657416003999,0.7416983816326707,27864.268399600012
