source_row,audit_type,channel,scope,scope_value,market_view,denominator,coordinate,horizon,closing_arm,n,independent_value,authoritative_value,absolute_error,pass
75,partial_rank,,leave_one_year_out,2021,CHINEXT_BOARD,NON_ST,pit,3,,586,-0.12431519889220478,-0.1243151988922047,8.3266726846886741e-17,True
76,partial_rank,,leave_one_year_out,2021,SH_A,ALL_STATUS,pit,3,,586,-0.13250592742915937,-0.13250592742915929,8.3266726846886741e-17,True
77,partial_rank,,leave_one_year_out,2021,SH_A,NON_ST,pit,3,,586,-0.13325844590792843,-0.13325844590792829,1.3877787807814457e-16,True
78,partial_rank,,leave_one_year_out,2021,SZ_A,ALL_STATUS,pit,3,,586,-0.13832837620279431,-0.13832837620279431,0,True
79,partial_rank,,leave_one_year_out,2021,SZ_A,NON_ST,pit,3,,586,-0.13917275110430105,-0.13917275110430111,5.5511151231257827e-17,True
80,partial_rank,,leave_one_year_out,2022,ALL_A,ALL_STATUS,pit,3,,587,-0.18129022943522433,-0.18129022943522419,1.3877787807814457e-16,True
81,partial_rank,,leave_one_year_out,2022,ALL_A,NON_ST,pit,3,,587,-0.18229345931532759,-0.18229345931532759,0,True
82,partial_rank,,leave_one_year_out,2022,CHINEXT_BOARD,ALL_STATUS,pit,3,,586,-0.12557374282843239,-0.12557374282843239,0,True
83,partial_rank,,leave_one_year_out,2022,CHINEXT_BOARD,NON_ST,pit,3,,587,-0.12692926021187875,-0.1269292602118787,5.5511151231257827e-17,True
84,partial_rank,,leave_one_year_out,2022,SH_A,ALL_STATUS,pit,3,,587,-0.17581997652384901,-0.17581997652384901,0,True
85,partial_rank,,leave_one_year_out,2022,SH_A,NON_ST,pit,3,,587,-0.17633326847926559,-0.17633326847926559,0,True
86,partial_rank,,leave_one_year_out,2022,SZ_A,ALL_STATUS,pit,3,,587,-0.13491950782956724,-0.13491950782956719,5.5511151231257827e-17,True
87,partial_rank,,leave_one_year_out,2022,SZ_A,NON_ST,pit,3,,587,-0.13963033556822255,-0.1396303355682226,5.5511151231257827e-17,True
88,partial_rank,,leave_one_year_out,2023,ALL_A,ALL_STATUS,pit,3,,592,-0.03916580003630564,-0.039165800036305598,4.163336342344337e-17,True
89,partial_rank,,leave_one_year_out,2023,ALL_A,NON_ST,pit,3,,592,-0.040977384733689955,-0.040977384733689899,5.5511151231257827e-17,True
90,partial_rank,,leave_one_year_out,2023,CHINEXT_BOARD,ALL_STATUS,pit,3,,591,-0.090133302555680944,-0.090133302555681,5.5511151231257827e-17,True
91,partial_rank,,leave_one_year_out,2023,CHINEXT_BOARD,NON_ST,pit,3,,592,-0.088316766521424575,-0.088316766521424506,6.9388939039072284e-17,True
92,partial_rank,,leave_one_year_out,2023,SH_A,ALL_STATUS,pit,3,,592,-0.032112224771393104,-0.032112224771393,1.0408340855860843e-16,True
93,partial_rank,,leave_one_year_out,2023,SH_A,NON_ST,pit,3,,592,-0.029325861595537153,-0.0293258615955371,5.2041704279304213e-17,True
94,partial_rank,,leave_one_year_out,2023,SZ_A,ALL_STATUS,pit,3,,592,-0.030426030629409937,-0.030426030629409899,3.8163916471489756e-17,True
95,partial_rank,,leave_one_year_out,2023,SZ_A,NON_ST,pit,3,,592,-0.034369616325332461,-0.034369616325332399,6.2450045135165055e-17,True
96,partial_rank,,phase,0,ALL_A,ALL_STATUS,pit,3,,276,-0.13296179259658611,-0.13296179259658589,2.2204460492503131e-16,True
97,partial_rank,,phase,0,ALL_A,ALL_STATUS,pit,5,,166,-0.1086892482868994,-0.1086892482868994,0,True
98,partial_rank,,phase,0,ALL_A,NON_ST,pit,3,,276,-0.13271707099708654,-0.1327170709970866,5.5511151231257827e-17,True
99,partial_rank,,phase,0,ALL_A,NON_ST,pit,5,,166,-0.11717298705864664,-0.11717298705864659,4.163336342344337e-17,True
100,partial_rank,,phase,0,CHINEXT_BOARD,ALL_STATUS,pit,3,,276,-0.16930805625735595,-0.16930805625735609,1.3877787807814457e-16,True
101,partial_rank,,phase,0,CHINEXT_BOARD,ALL_STATUS,pit,5,,166,-0.15229374597120307,-0.15229374597120299,8.3266726846886741e-17,True
102,partial_rank,,phase,0,CHINEXT_BOARD,NON_ST,pit,3,,276,-0.17286017150044897,-0.17286017150044891,5.5511151231257827e-17,True
103,partial_rank,,phase,0,CHINEXT_BOARD,NON_ST,pit,5,,166,-0.15437575633943429,-0.15437575633943421,8.3266726846886741e-17,True
104,partial_rank,,phase,0,SH_A,ALL_STATUS,pit,3,,276,-0.082219257327237047,-0.082219257327237102,5.5511151231257827e-17,True
105,partial_rank,,phase,0,SH_A,ALL_STATUS,pit,5,,166,-0.11756599580583726,-0.1175659958058372,6.9388939039072284e-17,True
106,partial_rank,,phase,0,SH_A,NON_ST,pit,3,,276,-0.079904087635651558,-0.079904087635651599,4.163336342344337e-17,True
107,partial_rank,,phase,0,SH_A,NON_ST,pit,5,,166,-0.12001043932316635,-0.1200104393231663,5.5511151231257827e-17,True
108,partial_rank,,phase,0,SZ_A,ALL_STATUS,pit,3,,276,-0.12688072976299922,-0.12688072976299919,2.7755575615628914e-17,True
109,partial_rank,,phase,0,SZ_A,ALL_STATUS,pit,5,,166,-0.11625872379479489,-0.11625872379479479,9.7144514654701197e-17,True
110,partial_rank,,phase,0,SZ_A,NON_ST,pit,3,,276,-0.13337501452062858,-0.13337501452062861,2.7755575615628914e-17,True
111,partial_rank,,phase,0,SZ_A,NON_ST,pit,5,,166,-0.12996582319919836,-0.1299658231991983,5.5511151231257827e-17,True
112,partial_rank,,phase,1,ALL_A,ALL_STATUS,pit,3,,277,-0.15650829101940916,-0.15650829101940919,2.7755575615628914e-17,True
113,partial_rank,,phase,1,ALL_A,ALL_STATUS,pit,5,,166,-0.23788824847994519,-0.237888248479945,1.9428902930940239e-16,True
114,partial_rank,,phase,1,ALL_A,NON_ST,pit,3,,277,-0.16116928292630986,-0.1611692829263098,5.5511151231257827e-17,True
115,partial_rank,,phase,1,ALL_A,NON_ST,pit,5,,166,-0.24558037783098829,-0.2455803778309881,1.9428902930940239e-16,True
116,partial_rank,,phase,1,CHINEXT_BOARD,ALL_STATUS,pit,3,,277,-0.033623861070814914,-0.0336238610708149,1.3877787807814457e-17,True
117,partial_rank,,phase,1,CHINEXT_BOARD,ALL_STATUS,pit,5,,165,-0.22686861127541821,-0.2268686112754183,8.3266726846886741e-17,True
118,partial_rank,,phase,1,CHINEXT_BOARD,NON_ST,pit,3,,277,-0.029729233934693993,-0.029729233934693899,9.3675067702747583e-17,True
119,partial_rank,,phase,1,CHINEXT_BOARD,NON_ST,pit,5,,166,-0.22017805362538728,-0.2201780536253872,8.3266726846886741e-17,True
120,partial_rank,,phase,1,SH_A,ALL_STATUS,pit,3,,277,-0.13675889373410488,-0.1367588937341048,8.3266726846886741e-17,True
121,partial_rank,,phase,1,SH_A,ALL_STATUS,pit,5,,166,-0.21302998649246602,-0.21302998649246591,1.1102230246251565e-16,True
122,partial_rank,,phase,1,SH_A,NON_ST,pit,3,,277,-0.13892987494127676,-0.1389298749412767,5.5511151231257827e-17,True
123,partial_rank,,phase,1,SH_A,NON_ST,pit,5,,166,-0.21187968715342104,-0.2118796871534209,1.3877787807814457e-16,True
124,partial_rank,,phase,1,SZ_A,ALL_STATUS,pit,3,,277,-0.10642934545949893,-0.10642934545949891,2.7755575615628914e-17,True
125,partial_rank,,phase,1,SZ_A,ALL_STATUS,pit,5,,166,-0.20513432913620727,-0.20513432913620719,8.3266726846886741e-17,True
126,partial_rank,,phase,1,SZ_A,NON_ST,pit,3,,277,-0.10254711161024965,-0.1025471116102496,5.5511151231257827e-17,True
127,partial_rank,,phase,1,SZ_A,NON_ST,pit,5,,166,-0.20344991077398278,-0.20344991077398281,2.7755575615628914e-17,True
128,partial_rank,,phase,2,ALL_A,ALL_STATUS,pit,3,,276,-0.068821664195864371,-0.068821664195864302,6.9388939039072284e-17,True
129,partial_rank,,phase,2,ALL_A,ALL_STATUS,pit,5,,165,-0.055368707202373565,-0.055368707202373503,6.2450045135165055e-17,True
130,partial_rank,,phase,2,ALL_A,NON_ST,pit,3,,276,-0.072792681280627797,-0.072792681280627797,0,True
131,partial_rank,,phase,2,ALL_A,NON_ST,pit,5,,165,-0.052533915857404551,-0.052533915857404502,4.8572257327350599e-17,True
132,partial_rank,,phase,2,CHINEXT_BOARD,ALL_STATUS,pit,3,,275,-0.11504275825203407,-0.115042758252034,6.9388939039072284e-17,True
133,partial_rank,,phase,2,CHINEXT_BOARD,ALL_STATUS,pit,5,,165,-0.047741580437602571,-0.047741580437602502,6.9388939039072284e-17,True
134,partial_rank,,phase,2,CHINEXT_BOARD,NON_ST,pit,3,,276,-0.11522379439687767,-0.1152237943968776,6.9388939039072284e-17,True
135,partial_rank,,phase,2,CHINEXT_BOARD,NON_ST,pit,5,,165,-0.047571507430228678,-0.047571507430228602,7.6327832942979512e-17,True
136,partial_rank,,phase,2,SH_A,ALL_STATUS,pit,3,,276,-0.10762706318714174,-0.1076270631871417,4.163336342344337e-17,True
137,partial_rank,,phase,2,SH_A,ALL_STATUS,pit,5,,165,-0.038134136962272552,-0.038134136962272497,5.5511151231257827e-17,True
138,partial_rank,,phase,2,SH_A,NON_ST,pit,3,,276,-0.10765097365348125,-0.1076509736534812,5.5511151231257827e-17,True
139,partial_rank,,phase,2,SH_A,NON_ST,pit,5,,165,-0.037415628746656403,-0.037415628746656299,1.0408340855860843e-16,True
140,partial_rank,,phase,2,SZ_A,ALL_STATUS,pit,3,,276,-0.044794521034051189,-0.044794521034051099,9.0205620750793969e-17,True
141,partial_rank,,phase,2,SZ_A,ALL_STATUS,pit,5,,165,-0.0171705211886162,-0.0171705211886162,0,True
142,partial_rank,,phase,2,SZ_A,NON_ST,pit,3,,276,-0.05070396113438843,-0.050703961134388402,2.7755575615628914e-17,True
143,partial_rank,,phase,2,SZ_A,NON_ST,pit,5,,165,-0.021126271648424039,-0.021126271648424001,3.8163916471489756e-17,True
144,partial_rank,,phase,3,ALL_A,ALL_STATUS,pit,5,,166,-0.061348262904373056,-0.061348262904373098,4.163336342344337e-17,True
145,partial_rank,,phase,3,ALL_A,NON_ST,pit,5,,166,-0.059603394991664491,-0.0596033949916644,9.0205620750793969e-17,True
146,partial_rank,,phase,3,CHINEXT_BOARD,ALL_STATUS,pit,5,,166,-0.15567424021184159,-0.15567424021184151,8.3266726846886741e-17,True
147,partial_rank,,phase,3,CHINEXT_BOARD,NON_ST,pit,5,,166,-0.1522218335811521,-0.15222183358115199,1.1102230246251565e-16,True
148,partial_rank,,phase,3,SH_A,ALL_STATUS,pit,5,,166,-0.016391040451332002,-0.016391040451331999,3.4694469519536142e-18,True
149,partial_rank,,phase,3,SH_A,NON_ST,pit,5,,166,-0.017960547331013536,-0.017960547331013502,3.4694469519536142e-17,True
150,partial_rank,,phase,3,SZ_A,ALL_STATUS,pit,5,,166,-0.068844577609956187,-0.068844577609956201,1.3877787807814457e-17,True
151,partial_rank,,phase,3,SZ_A,NON_ST,pit,5,,166,-0.064229130107335497,-0.064229130107335497,0,True
152,partial_rank,,phase,4,ALL_A,ALL_STATUS,pit,5,,166,-0.13101054766999409,-0.13101054766999409,0,True
153,partial_rank,,phase,4,ALL_A,NON_ST,pit,5,,166,-0.1390286561015692,-0.13902865610156909,1.1102230246251565e-16,True
154,partial_rank,,phase,4,CHINEXT_BOARD,ALL_STATUS,pit,5,,166,-0.11574129515258291,-0.1157412951525829,1.3877787807814457e-17,True
155,partial_rank,,phase,4,CHINEXT_BOARD,NON_ST,pit,5,,166,-0.10900454696363678,-0.1090045469636368,2.7755575615628914e-17,True
156,partial_rank,,phase,4,SH_A,ALL_STATUS,pit,5,,166,-0.096053761606002347,-0.096053761606002305,4.163336342344337e-17,True
