symbol,trade_date,max_abs_ohlc_error,volume_relative_error,amount_relative_error
600060.SH,2026-09-14,0.0,3.3228425859936276e-06,7.921065868677193e-10
600060.SH,2026-09-15,0.0,2.3801776088531724e-06,0.0
600060.SH,2026-09-16,0.0,1.7625527849771875e-06,1.5911887658584955e-09
600061.SH,2026-09-07,0.0,1.3476816506404856e-06,4.996553927207455e-10
600061.SH,2026-09-08,0.0,2.066537660806954e-06,4.16493611661272e-10
600061.SH,2026-09-09,0.0,7.414552839440083e-07,3.1568759904109372e-09
600061.SH,2026-09-10,0.0,1.2082176520867463e-06,1.227697002339063e-16
600061.SH,2026-09-11,0.0,4.1216831191046256e-07,3.2502615522789653e-10
600061.SH,2026-09-14,0.0,6.473973722685836e-07,4.343299474547468e-10
600061.SH,2026-09-15,0.0,1.3224421274278785e-06,2.0550194954425252e-09
600061.SH,2026-09-16,0.0,1.3701151399093074e-06,2.2136941101283693e-09
600062.SH,2026-09-07,0.0,9.98521190117436e-07,3.476058975031995e-09
600062.SH,2026-09-08,0.0,6.12120535398614e-06,4.570567817973618e-09
600062.SH,2026-09-09,0.0,0.0,0.0
600062.SH,2026-09-10,0.0,5.475104971450065e-07,1.0234444756847677e-09
600062.SH,2026-09-11,0.0,0.0,0.0
600062.SH,2026-09-14,0.0,0.0,1.1808400565719093e-16
600062.SH,2026-09-15,0.0,0.0,0.0
600062.SH,2026-09-16,0.0,9.441096526714998e-07,0.0
600064.SH,2026-09-07,0.0,1.8770359523134684e-06,2.8390912524740082e-09
600064.SH,2026-09-08,0.0,5.341687257387242e-07,1.837944248850607e-09
600064.SH,2026-09-09,0.0,3.1614435891668587e-06,4.162488091444642e-09
600064.SH,2026-09-10,0.0,1.9337306218705794e-06,2.472483599965524e-09
600064.SH,2026-09-11,0.0,1.6125046944042915e-07,1.7367049345488792e-09
600064.SH,2026-09-14,0.0,1.4232869673882257e-06,7.406906301934619e-10
600064.SH,2026-09-15,0.0,0.0,0.0
600064.SH,2026-09-16,0.0,2.302291309379834e-07,1.2711279077783053e-09
600066.SH,2026-09-07,0.0,3.201403495292336e-06,0.0
600066.SH,2026-09-08,0.0,1.9167622191994173e-06,8.286668118197372e-11
600066.SH,2026-09-09,0.0,0.0,0.0
600066.SH,2026-09-10,0.0,6.518340447114304e-07,2.7204420117160173e-10
600066.SH,2026-09-11,0.0,1.6292710568255474e-06,1.0084978305414172e-09
600066.SH,2026-09-14,0.0,9.61883650339903e-07,9.98598553807805e-10
600066.SH,2026-09-15,0.0,1.8992020142543626e-06,7.224035449659476e-11
600066.SH,2026-09-16,0.0,1.5824479097709301e-06,9.067200639155857e-10
600067.SH,2026-09-07,0.0,3.768416723580227e-07,6.093375189498364e-09
600067.SH,2026-09-08,0.0,4.1726143807485584e-07,2.863413579107489e-09
600067.SH,2026-09-09,0.0,0.0,0.0
600067.SH,2026-09-10,0.0,0.0,0.0
600067.SH,2026-09-11,0.0,0.0,0.0
600067.SH,2026-09-14,0.0,0.0,0.0
600067.SH,2026-09-15,0.0,0.0,1.5378722507796824e-16
600067.SH,2026-09-16,0.0,0.0,0.0
600071.SH,2026-09-07,0.0,0.0,0.0
600071.SH,2026-09-08,0.0,0.0,1.1211212561303367e-16
600071.SH,2026-09-09,0.0,0.0,2.1455824034610898e-16
600071.SH,2026-09-10,0.0,2.4318343326371083e-05,5.079987803821875e-08
600071.SH,2026-09-11,0.0,0.0,0.0
600071.SH,2026-09-14,0.0,0.0,1.2855104238012822e-16
600071.SH,2026-09-15,0.0,0.0,0.0
600071.SH,2026-09-16,0.0,4.0417120854062263e-07,6.9553892551161204e-09
600072.SH,2026-09-07,0.0,8.538947229401e-07,5.793796900762807e-10
600072.SH,2026-09-08,0.0,1.8489448995930473e-06,1.0216255162358123e-09
600072.SH,2026-09-09,0.0,3.9758759749344875e-07,1.2619700781721774e-09
600072.SH,2026-09-10,0.0,2.4897304841853563e-07,6.098058978707236e-10
600072.SH,2026-09-11,0.0,1.510045046153772e-07,6.952229192174723e-10
600072.SH,2026-09-14,0.0,8.577005407178127e-07,2.602378166702122e-10
600072.SH,2026-09-15,0.0,5.754984967979264e-07,1.672830541181846e-09
600072.SH,2026-09-16,0.0,2.0236419017254493e-06,1.528869193330516e-09
600073.SH,2026-09-07,0.0,0.0,1.514537266840898e-08
600073.SH,2026-09-08,0.0,1.8319597673269266e-06,3.0136866557045995e-10
600073.SH,2026-09-09,0.0,1.4817725212460833e-06,3.858720245042596e-09
600073.SH,2026-09-10,0.0,2.8404128256000726e-06,4.915896529870134e-09
600073.SH,2026-09-11,0.0,0.0,1.199249672167402e-16
600073.SH,2026-09-14,0.0,2.2927103275136704e-06,1.2219197613758348e-16
600073.SH,2026-09-15,0.0,7.317256994504984e-07,1.058380003059425e-08
600073.SH,2026-09-16,0.0,0.0,0.0
600076.SH,2026-09-07,0.0,0.0,0.0
600076.SH,2026-09-08,0.0,1.4321926253250897e-07,8.480328562474314e-10
600076.SH,2026-09-09,0.0,6.088244334665195e-07,1.1078370375205754e-09
600076.SH,2026-09-10,0.0,1.1697705944505114e-07,8.013023269017495e-09
600076.SH,2026-09-11,0.0,7.527972062190083e-07,1.3798167238590738e-09
600076.SH,2026-09-14,0.0,0.0,0.0
600076.SH,2026-09-15,0.0,3.303068539663119e-07,9.978690981523262e-10
600076.SH,2026-09-16,0.0,0.0,6.235891152671263e-10
