variant,slice_type,slice,completed_trades,mean_net_return,profit_factor,win_rate,return_p05,mean_mae,delta_mean_net_return_vs_p0,delta_profit_factor_vs_p0,top_five_winner_profit_share
I_DERISK_ONLY,holdout_calendar_subperiod,SEP_OCT,470,-0.01788048260730497,0.5045667025656875,0.20851063829787234,-0.08765676397040485,-0.045961442056556966,4.818644658315108e-05,0.0006727752105775142,0.2077548228432917
I_DERISK_ONLY,holdout_calendar_subperiod,NOV_DEC,445,-0.00950278493157019,0.7136298039379294,0.27415730337078653,-0.08586272203757501,-0.04111324092924845,-7.72570396123766e-05,-0.0036604123808762212,0.20800099179915543
I_DERISK_ONLY,pit_volatility_regime,LOW_VOL,947,0.0038153804540711914,1.1647321760115845,0.3453009503695882,-0.06352469455310226,-0.030950300542312258,1.5883244216683724e-05,0.0007981934257672574,0.10592964046131366
I_DERISK_ONLY,pit_volatility_regime,MID_VOL,746,0.012100247711596644,1.470861657039003,0.3941018766756032,-0.08140543889010698,-0.03629622914786694,6.869264084601208e-05,0.003610241905485756,0.10049238187867159
I_DERISK_ONLY,pit_volatility_regime,HIGH_VOL,812,-0.00886409136198538,0.7795137454146883,0.291871921182266,-0.11103820401659163,-0.05465017704195445,0.00014067566328364312,0.002420915354325315,0.09973629343329835
P1_TEMPORAL_CONFIRMATION,chronological_split,discovery,469,0.0010132079096630859,1.0464302377385342,0.3624733475479744,-0.06575581945193684,-0.029612509706662585,-0.005091487727270906,-0.2196144956317716,0.12627858597933736
P1_TEMPORAL_CONFIRMATION,chronological_split,validation,731,0.01584144310694363,1.603254761241464,0.4158686730506156,-0.08768040972449281,-0.039283012947799206,0.0016972573810053685,0.10707072550794416,0.11014384296866439
P1_TEMPORAL_CONFIRMATION,chronological_split,holdout,732,-0.01319224091568422,0.6098802378464379,0.2390710382513661,-0.08356345492375784,-0.042220880389344254,0.0006010206878662109,0.006493649404994972,0.1593286693661107
P1_TEMPORAL_CONFIRMATION,symbol_subset,HASH_BUCKET_A,973,-0.0011318147841967241,0.9609222591046611,0.32065775950668035,-0.07963719068047907,-0.03869015869931838,-0.0007236012899037184,-0.025837163481169267,0.09303949546210356
P1_TEMPORAL_CONFIRMATION,symbol_subset,HASH_BUCKET_B,959,0.0036494524041192342,1.134594743016992,0.35140771637122004,-0.08500891695646777,-0.037397611624430845,-0.0009859680656308747,-0.029747392877369716,0.11489870755680502
P1_TEMPORAL_CONFIRMATION,holdout_calendar_subperiod,SEP_OCT,373,-0.017811740192964363,0.5045342497207872,0.2037533512064343,-0.08703921026156178,-0.04495026721675869,0.00011692886092375815,0.0006403223656772372,0.2628266540684255
