observation_timing,feature,bucket,split,discovery_low_threshold,discovery_high_threshold,completed_trades,win_rate,mean_return,median_return,average_winner,average_loser,payoff_ratio,profit_factor,worst_trade,return_p01,return_p05,large_loss_probability,large_winner_probability,average_holding_period,median_holding_period,mean_mfe,mean_mae,mean_mfe_capture_ratio,mean_profit_giveback
candidate,root_anchor_retained_from_candidate,TRUE,holdout,,,233,0.2317596566523605,-0.013101804665149423,-0.03113341304852546,0.07941531709574108,-0.04101199782206611,1.9363923074484422,0.5841630424704798,-0.10503767715679979,-0.09871078403320338,-0.07286692863336401,0.034334763948497854,0.060085836909871244,9.510729613733906,8.0,0.054261064464186444,-0.039427331391297775,-3.638650292565422,0.0647532034736355
candidate,model_spread_cost_p50,LOW,total,0.08161960571026049,0.1981958174822195,720,0.3375,-0.0011496428764302025,-0.021715496588747385,0.07574907513286222,-0.040324461484937665,1.8784894414809894,0.9569663192450322,-0.37131225131438994,-0.11876709081760707,-0.0768859906987613,0.04861111111111111,0.08194444444444444,11.713888888888889,10.5,0.07660906660152335,-0.03489395760482854,-1.9614369992869483,0.07511743859054962
candidate,model_spread_cost_p50,MID,total,0.08161960571026049,0.1981958174822195,759,0.35046113306982873,0.0046197427032645105,-0.02302368070306593,0.0884374619432075,-0.040604422241613446,2.178025374107462,1.1751617637172111,-0.1503079545208521,-0.10487855259324157,-0.0777149903636492,0.04479578392621871,0.1080368906455863,11.080368906455863,10.0,0.08898404423113886,-0.036070244454263815,-2.078135342702784,0.08170777459129232
candidate,model_spread_cost_p50,HIGH,total,0.08161960571026049,0.1981958174822195,1026,0.3382066276803119,0.002517691301409091,-0.028000492955655376,0.10746559538249847,-0.05111547912000184,2.102408061757685,1.0744265057878006,-0.21903086744147537,-0.13594778753418477,-0.09856798553270574,0.10136452241715399,0.13450292397660818,10.78167641325536,10.0,0.09500012667318831,-0.04703888918097727,-2.81700293745533,0.08983146691263272
candidate,model_spread_cost_p50,MISSING,total,0.08161960571026049,0.1981958174822195,0,,,,,,,,,,,,,,,,,,
candidate,model_spread_cost_p50,LOW,discovery,0.08161960571026049,0.1981958174822195,191,0.36649214659685864,-0.0028740408749319607,-0.014200962040422205,0.05491434192699106,-0.036305336710755205,1.5125694154689677,0.8750401577093203,-0.37131225131438994,-0.14053345070423146,-0.08085810140857347,0.05235602094240838,0.04712041884816754,12.696335078534032,13.0,0.07756554968800496,-0.030660029707400244,-1.0266615701143171,0.07780287951995739
candidate,model_spread_cost_p50,MID,discovery,0.08161960571026049,0.1981958174822195,191,0.36649214659685864,0.006528009491891493,-0.015391335210288903,0.07909569209801103,-0.03545329449511979,2.2309828529164952,1.2906512372244188,-0.14819837427000726,-0.1089485385363114,-0.06825808689648927,0.020942408376963352,0.1099476439790576,11.61780104712042,10.0,0.09126449201257893,-0.030473613114505776,-1.3640231736571047,0.08207490953343499
candidate,model_spread_cost_p50,HIGH,discovery,0.08161960571026049,0.1981958174822195,191,0.42408376963350786,0.014660118293842443,-0.010199480152403684,0.08969651470636314,-0.04059395542810462,2.209602729283757,1.6270711006544025,-0.21903086744147537,-0.14770027320611645,-0.07344806469345055,0.04712041884816754,0.15706806282722513,12.455497382198953,12.0,0.10294222092939014,-0.033291280559437204,-0.7110105676769785,0.08559902582434539
candidate,model_spread_cost_p50,MISSING,discovery,0.08161960571026049,0.1981958174822195,0,,,,,,,,,,,,,,,,,,
candidate,model_spread_cost_p50,LOW,validation,0.08161960571026049,0.1981958174822195,235,0.41702127659574467,0.012148609483483347,-0.01442649373521998,0.08778482189250446,-0.04195612640034197,2.0923004439177433,1.4966820693718164,-0.1688644474680978,-0.11774037614791336,-0.08703642257101238,0.059574468085106386,0.12340425531914893,12.872340425531915,12.0,0.09473014167107614,-0.03440928762687759,-1.793865829292319,0.0799050965865147
candidate,model_spread_cost_p50,MID,validation,0.08161960571026049,0.1981958174822195,327,0.41590214067278286,0.0205025492333329,-0.015986359220356072,0.10748584540974856,-0.04143320092369606,2.5941960315278547,1.8471762318732368,-0.1187425324680823,-0.09298007728144696,-0.07775906295149876,0.04281345565749235,0.1559633027522936,11.788990825688073,11.0,0.11395559771594778,-0.03666613093084339,-1.697335743638493,0.09075452246759334
candidate,model_spread_cost_p50,HIGH,validation,0.08161960571026049,0.1981958174822195,455,0.4,0.01060523089090278,-0.02275704486162544,0.1107372349554645,-0.056149438485471714,1.9721877536516597,1.314791835767773,-0.18830621477878562,-0.14151772325053075,-0.10460995301655253,0.13626373626373625,0.15824175824175823,11.34945054945055,10.0,0.11622167391620153,-0.050009730908372615,-1.9073754553525675,0.10294408859705678
candidate,model_spread_cost_p50,MISSING,validation,0.08161960571026049,0.1981958174822195,0,,,,,,,,,,,,,,,,,,
candidate,model_spread_cost_p50,LOW,holdout,0.08161960571026049,0.1981958174822195,294,0.25510204081632654,-0.010658926165089552,-0.03084201076346127,0.07946811702574277,-0.0415243519153746,1.9137713982314872,0.6554011637779066,-0.13254591912216596,-0.10693928138928668,-0.07233828054706357,0.03741496598639456,0.07142857142857142,10.149659863945578,9.0,0.0615031451360033,-0.03803197690151996,-2.738382577671035,0.06954594591514596
candidate,model_spread_cost_p50,MID,holdout,0.08161960571026049,0.1981958174822195,241,0.24896265560165975,-0.018443148134744274,-0.031224164883197014,0.05615985757177695,-0.043173426269502685,1.3007968656740077,0.4312033808864113,-0.1503079545208521,-0.10847831820110158,-0.08461235036212422,0.06639004149377593,0.04149377593360996,9.692946058091286,9.0,0.05329415412413655,-0.039697222495974446,-3.208146224991327,0.06914176077594095
candidate,model_spread_cost_p50,HIGH,holdout,0.08161960571026049,0.1981958174822195,380,0.22105263157894736,-0.01326924045852354,-0.03780234907026819,0.117511513626393,-0.0503826976988377,2.3323783559351554,0.6618911550626791,-0.1549731678107572,-0.12101728398783249,-0.09126548213348509,0.0868421052631579,0.09473684210526316,9.260526315789473,8.0,0.06559816878238424,-0.05039167934084374,-5.022027889655017,0.07625818633750099
candidate,model_spread_cost_p50,MISSING,holdout,0.08161960571026049,0.1981958174822195,0,,,,,,,,,,,,,,,,,,
candidate,model_spread_cost_p90,LOW,total,0.18739330085123884,0.5409144278732084,1071,0.3081232492997199,-0.001102401175127057,-0.028033145511303426,0.10059230671798418,-0.04639154234209967,2.168332882235262,0.965654320023801,-0.21903086744147537,-0.1321778118774305,-0.09306301065227784,0.08216619981325864,0.11017740429505135,11.025210084033613,10.0,0.08936539253053828,-0.042637362246289286,-2.441934852990239,0.08782639789651568
candidate,model_spread_cost_p90,MID,total,0.18739330085123884,0.5409144278732084,733,0.373806275579809,0.004308476926198513,-0.02145550041527,0.08657170227167602,-0.044798546482648624,1.9324667666440243,1.1535858258397877,-0.37131225131438994,-0.11848939509569305,-0.08642779087340224,0.06821282401091405,0.11732605729877217,11.334242837653479,10.0,0.08857899493159258,-0.03928047245478806,-2.0970189347387262,0.08161481415229928
candidate,model_spread_cost_p90,HIGH,total,0.18739330085123884,0.5409144278732084,701,0.3594864479315264,0.004685237072255789,-0.021863605164864963,0.08851525433544315,-0.042364126736927306,2.0893916894618187,1.1726652689184371,-0.15691347873888106,-0.11516523626304731,-0.07968681307626291,0.04992867332382311,0.10699001426533523,11.112696148359486,10.0,0.08491984137825763,-0.03752591161313836,-2.46884164593612,0.07757790418194595
candidate,model_spread_cost_p90,MISSING,total,0.18739330085123884,0.5409144278732084,0,,,,,,,,,,,,,,,,,,
candidate,model_spread_cost_p90,LOW,discovery,0.18739330085123884,0.5409144278732084,191,0.39790575916230364,0.0107789802420869,-0.015935505802228134,0.08484434552207526,-0.038168565508166274,2.222885361094395,1.4690372821145568,-0.21903086744147537,-0.1328640225047551,-0.06918873784108759,0.041884816753926704,0.1256544502617801,12.732984293193716,13.0,0.09748176840406515,-0.031629557644942755,-1.1374164766896473,0.08402997428643294
candidate,model_spread_cost_p90,MID,discovery,0.18739330085123884,0.5409144278732084,191,0.39790575916230364,0.002423290305271942,-0.01025079240475768,0.06321564381646938,-0.03775252592821506,1.6744745487142088,1.1066092669763465,-0.37131225131438994,-0.14824603706083928,-0.07154269605865177,0.04712041884816754,0.08376963350785341,12.612565445026178,13.0,0.08688570017559773,-0.0314073064664119,-0.7793065990925553,0.08181169103676238
candidate,model_spread_cost_p90,HIGH,discovery,0.18739330085123884,0.5409144278732084,191,0.3612565445026178,0.0051118163634431375,-0.014813795666957397,0.07816754903240822,-0.03620658981818465,2.158931548785321,1.2210350562802224,-0.15691347873888106,-0.13620458093374385,-0.07428076933495248,0.031413612565445025,0.10471204188481675,11.424083769633508,10.0,0.08740479405031115,-0.031388059269988576,-1.1840369988157995,0.07963514955454247
candidate,model_spread_cost_p90,MISSING,discovery,0.18739330085123884,0.5409144278732084,0,,,,,,,,,,,,,,,,,,
candidate,model_spread_cost_p90,LOW,validation,0.18739330085123884,0.5409144278732084,473,0.3403805496828753,0.00607661129619862,-0.025027111029923943,0.1127045925354269,-0.04894616107404419,2.302623741317138,1.188212892154036,-0.18830621477878562,-0.14005439031406852,-0.09587278688152498,0.10359408033826638,0.13107822410147993,11.509513742071881,11.0,0.11013649768896687,-0.04533100314020127,-1.9013406277965004,0.10139950704268517
candidate,model_spread_cost_p90,MID,validation,0.18739330085123884,0.5409144278732084,267,0.47191011235955055,0.020145357307251283,-0.010136304352982739,0.09966056512689746,-0.0509107858507304,1.9575530697777994,1.7493027432056931,-0.14356387730567566,-0.11451400551141941,-0.09619912046486796,0.08614232209737828,0.1797752808988764,12.228464419475655,11.0,0.11487513301908514,-0.04184633843732733,-1.6854822040645834,0.09203219422331606
candidate,model_spread_cost_p90,HIGH,validation,0.18739330085123884,0.5409144278732084,277,0.4657039711191336,0.02213570158534719,-0.01002520853977873,0.09823638510769746,-0.04419529959291757,2.2227790288232403,1.9374222616094456,-0.11961197028102233,-0.11123714067874159,-0.08271792914940704,0.06498194945848375,0.15162454873646208,12.03971119133574,11.0,0.10700253232748176,-0.03688049863512623,-1.7864755073863465,0.0821639861645463
candidate,model_spread_cost_p90,MISSING,validation,0.18739330085123884,0.5409144278732084,0,,,,,,,,,,,,,,,,,,
candidate,model_spread_cost_p90,LOW,holdout,0.18739330085123884,0.5409144278732084,407,0.2285012285012285,-0.015021361247915529,-0.034868087293295935,0.09249302751670246,-0.04686479486291385,1.973614261777047,0.584541803647342,-0.1503079545208521,-0.11809535780686914,-0.09449726767862407,0.07616707616707617,0.07862407862407862,9.660933660933662,8.0,0.06141708655564797,-0.044672739484708984,-3.7482429330492173,0.07383385805225927
candidate,model_spread_cost_p90,MID,holdout,0.18739330085123884,0.5409144278732084,275,0.26181818181818184,-0.009758346408870987,-0.03175741471466009,0.0883198095333122,-0.044544687432699515,1.9827237460527807,0.7032320675655183,-0.125007020307063,-0.10654076949067223,-0.08473583070300916,0.06545454545454546,0.08,9.578181818181818,8.0,0.06422390558262711,-0.04225752149639482,-3.449510199146532,0.07136374519268496
candidate,model_spread_cost_p90,HIGH,holdout,0.18739330085123884,0.5409144278732084,233,0.2317596566523605,-0.016410279300032197,-0.0350613507145876,0.07851462093338021,-0.0450468413816203,1.742955077987226,0.5258076771581576,-0.1549731678107572,-0.1138623491326752,-0.07774632908586006,0.04721030042918455,0.055793991416309016,9.755364806866952,8.0,0.05663000724393439,-0.04332466351206955,-4.37765517306607,0.0704393695238076
candidate,model_spread_cost_p90,MISSING,holdout,0.18739330085123884,0.5409144278732084,0,,,,,,,,,,,,,,,,,,
candidate,model_spread_dominant_peak_today,LOW,total,0.0,0.0,1687,0.33254297569650265,0.0010566918428720205,-0.025257933442997982,0.09252181642044745,-0.044513410189117156,2.0785155760334804,1.035565930865704,-0.19148707197488335,-0.12416409242571755,-0.08757162052137435,0.06639004149377593,0.10314167160640189,11.016597510373444,10.0,0.08575388965480153,-0.039993496540234,-2.4445507229430445,0.08205009268957697
candidate,model_spread_dominant_peak_today,MID,total,0.0,0.0,0,,,,,,,,,,,,,,,,,,
candidate,model_spread_dominant_peak_today,HIGH,total,0.0,0.0,2505,0.34171656686626745,0.0021005162139695584,-0.02461312445239172,0.09254900903260009,-0.0448515212952771,2.0634530637948636,1.071143615893513,-0.37131225131438994,-0.12497741669538714,-0.08812323721833566,0.069061876247505,0.11137724550898204,11.140119760479042,10.0,0.08789123652344208,-0.04022469673291235,-2.3487501011465772,0.08314085499095719
candidate,model_spread_dominant_peak_today,MISSING,total,0.0,0.0,0,,,,,,,,,,,,,,,,,,
