variant,split,completed_trades,win_rate,mean_return,median_return,average_winner,average_loser,payoff_ratio,profit_factor,worst_trade,return_p01,return_p05,large_loss_probability,large_winner_probability,average_holding_period,median_holding_period,mean_mfe,mean_mae,mean_mfe_capture_ratio,mean_profit_giveback
I_DERISK_ONLY,discovery,573,0.3856893542757417,0.006274162405075169,-0.014200962040422205,0.0754663831899924,-0.037167544394546156,2.0304376955574734,1.2747918486312548,-0.37131225131438994,-0.14434730732737402,-0.0723112978260918,0.038394415357766144,0.10471204188481675,12.256544502617801,12.0,0.09059075420999134,-0.03147497446044775,-1.0320542873112668,0.08165569006828247
I_DERISK_ONLY,validation,1017,0.41002949852507375,0.01423773742261394,-0.01822112857169078,0.10411580679212262,-0.048227520789194595,2.158846341018007,1.500398207007515,-0.18830621477878562,-0.1298069273590534,-0.09311756075057084,0.08849557522123894,0.14945919370698132,11.84267453294002,11.0,0.11052696693971435,-0.042114488662744906,-1.8124907731262314,0.09360726961224014
I_DERISK_ONLY,holdout,915,0.24043715846994534,-0.013806083191237235,-0.03380492018166392,0.08680318860496666,-0.04565362246485574,1.9013428490102389,0.6018639234277016,-0.1549731678107572,-0.1167876559298389,-0.0873175864565865,0.06448087431693988,0.073224043715847,9.660109289617486,8.0,0.06104166114886108,-0.043603573748740264,-3.8176480896696123,0.07223994101578153
P1_TEMPORAL_CONFIRMATION,total,1932,0.3359213250517598,0.00124149537811953,-0.02396984582203543,0.08718398756495677,-0.04223214252465317,2.064398876141858,1.0442672413219531,-0.37131225131438994,-0.11483727033431433,-0.08302884108209924,0.053830227743271224,0.10144927536231885,11.109730848861284,10.0,0.0819966153476206,-0.03804856830345029,-2.4645186628036946,0.0781075261691458
P1_TEMPORAL_CONFIRMATION,discovery,469,0.3624733475479744,0.0010132079096630859,-0.014617669250465704,0.06299874036277942,-0.034229402515185664,1.8404861240224808,1.0464302377385342,-0.37131225131438994,-0.11183948508222083,-0.06575581945193684,0.02771855010660981,0.0767590618336887,12.157782515991471,12.0,0.08078106102963137,-0.029612509706662585,-0.8602434851404576,0.07712086298265432
P1_TEMPORAL_CONFIRMATION,validation,731,0.4158686730506156,0.01584144310694363,-0.01704711743905063,0.10123724436397748,-0.044955567624059396,2.251940075822714,1.603254761241464,-0.1345841484142527,-0.11762269169948159,-0.08768040972449281,0.06976744186046512,0.14774281805745554,12.013679890560876,11.0,0.1064784637983529,-0.039283012947799206,-1.9033027116392367,0.08795082009012656
P1_TEMPORAL_CONFIRMATION,holdout,732,0.2390710382513661,-0.01319224091568422,-0.0331662766225817,0.08626571303620163,-0.044440251582793786,1.9411616713169482,0.6098802378464379,-0.1549731678107572,-0.1100995282423542,-0.08356345492375784,0.0546448087431694,0.07103825136612021,9.53551912568306,8.0,0.05832703031709008,-0.042220880389344254,-4.110006848057832,0.06890984471863704
P2_CANONICAL_PERSISTENCE,total,585,0.3247863247863248,0.0032085521580046874,-0.02188883435189093,0.0896292133281022,-0.038360879797232086,2.3364743927111222,1.123873758519274,-0.11816196974607462,-0.09995011481525587,-0.07424725139426615,0.041025641025641026,0.0905982905982906,10.801709401709402,10.0,0.07933841101572932,-0.03520715031363289,-2.388834317685366,0.07347706354768424
P2_CANONICAL_PERSISTENCE,discovery,138,0.3695652173913043,0.005107734326015568,-0.01347325068172367,0.06293129201668149,-0.028788833975409284,2.18596182361661,1.2814258966028402,-0.09077636299765868,-0.08619826533785573,-0.05436081808026366,0.021739130434782608,0.07246376811594203,12.420289855072463,13.0,0.0776099253091748,-0.02613400432632956,-0.6928046134679204,0.06984437364500971
P2_CANONICAL_PERSISTENCE,validation,214,0.42990654205607476,0.022583760555271663,-0.010187056241875492,0.1072844570174104,-0.04128889579322638,2.598385230612316,1.959438042756828,-0.10423783254225272,-0.09978000699498127,-0.08288552566945002,0.056074766355140186,0.14953271028037382,11.649532710280374,11.0,0.11072290997377797,-0.03528722932628388,-2.0321645815106733,0.08543512003369974
