strategy,symbol_action,event_id_action,record_date,effective_date,share_multiplier,cash_per_share_gross,share_credit_date,pay_date,announcement_date,holding_overlap,registered_source,execution_timing_resolved
ATRDR,600195,cninfo:distribution:4a566847f6c61fbaac01c37829eef092,2023-06-27,2023-06-28,1.0,0.18,,2023-06-28,2023-06-20,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,603707,cninfo:distribution:62a4c5c25a57b58572ac10f28043edd5,2023-07-06,2023-07-07,1.0,0.11499999999999999,,2023-07-07,2023-07-03,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,601319,cninfo:distribution:8285d8831893f0b57728d2199da3d8c8,2023-07-27,2023-07-28,1.0,0.16599999999999998,,2023-07-28,2023-07-21,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,605336,cninfo:distribution:caf3c42099e9a0528c4677d9c0bd4890,2023-08-03,2023-08-04,1.0,0.697,,2023-08-04,2023-07-28,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,600170,cninfo:distribution:b949b6fe36c1af44b1048c895b7eac71,2023-08-09,2023-08-10,1.0,0.05,,2023-08-10,2023-08-04,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,603755,cninfo:distribution:e83c695b026a3bce3eba7db935c28281,2023-11-17,2023-11-20,1.0,0.25,,2023-11-20,2023-11-14,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
MCB,000756,cninfo:distribution:7602b698da8ee8a1ce2b645b08a47e06,2014-07-17,2014-07-18,1.0,0.02,,2014-07-18,2014-07-11,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
MCB,603333,cninfo:distribution:55c51b85ba3ab2a4985670de90b90d32,2014-07-17,2014-07-18,1.0,0.004,,2014-07-18,2014-07-14,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
MCB,000809,cninfo:distribution:383b783fde526a2b2df7625fc2602a52,2015-10-19,2015-10-20,1.5,0.1,2015-10-20,2015-10-20,2015-10-13,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
MCB,300154,cninfo:distribution:ac3f0068f673fc1935b5fd8961b39586,2016-06-07,2016-06-08,1.0,0.15,,2016-06-08,2016-06-01,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
MCB,600081,cninfo:distribution:eebdb5c46abd3fc3294984efa84308ad,2016-06-15,2016-06-16,1.0,0.148,,2016-06-16,2016-06-08,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
MCB,300442,cninfo:distribution:9a9a0ba9ace67ef068702f94cf31625c,2016-06-17,2016-06-20,1.0,0.101,,2016-06-20,2016-06-08,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
MCB,002581,cninfo:distribution:6e889ad65bf6534b129d2526d920ba05,2016-06-20,2016-06-21,1.0,0.05,,2016-06-21,2016-06-14,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
MCB,300026,cninfo:distribution:706103cf52977a0421ce3a811fced880,2016-10-25,2016-10-26,3.0,0.0,2016-10-26,,2016-10-20,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
MCB,603429,cninfo:distribution:ec76f0788017d714050f77984da1cb8b,2017-09-19,2017-09-20,2.0,0.0,,,2017-09-14,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,False
MCB,600373,cninfo:distribution:ec86afd95f2e5874616a2564bba67413,2018-05-24,2018-05-25,1.0,0.4,,2018-05-25,2018-05-18,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
MCB,603429,cninfo:distribution:40f91c334bbdaa29a4c30b7897085ba9,2018-06-04,2018-06-05,1.4,0.2,,2018-06-05,2018-05-30,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,False
MCB,300679,cninfo:distribution:217724faff38964c38b1ddb5ea33ac89,2018-06-06,2018-06-07,1.8,0.0,2018-06-07,,2018-05-30,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
MCB,603429,cninfo:distribution:7a4cfc10e855cae000d251154b06a34b,2019-04-16,2019-04-17,1.3,0.2,,2019-04-17,2019-04-11,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,False
MCB,300457,cninfo:distribution:2e6732665596bc07875521d532784f73,2019-07-04,2019-07-05,1.0,0.034999999999999996,,2019-07-05,2019-06-29,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
MCB,300601,cninfo:distribution:83745644b9ee0b3940fab4ba8059c30b,2019-07-04,2019-07-05,1.0,0.25,,2019-07-05,2019-06-28,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
MCB,600104,cninfo:distribution:ff8bca8a7def50efc3f981d6d9937c4d,2019-07-11,2019-07-12,1.0,1.26,,2019-07-12,2019-07-05,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
MCB,603600,cninfo:distribution:c8ee5d51c87673f9ba0c908dbdf90464,2019-09-25,2019-09-26,1.0,0.22000000000000003,,2019-09-26,2019-09-20,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
MCB,000715,cninfo:distribution:0c254cd705b606f5d252c23894694560,2019-09-26,2019-09-27,1.49,0.0,2019-09-27,,2019-09-21,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
MCB,603429,cninfo:distribution:53e529c64a66a02b65c2a52ab6610be6,2020-06-01,2020-06-02,1.4,0.26,,2020-06-02,2020-05-26,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,False
MCB,000417,cninfo:distribution:882563321e866017e1c96cff69bb7f70,2020-06-15,2020-06-16,1.0,0.08,,2020-06-16,2020-06-09,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
