gap,period,mcb_mode,policy,strategy,count,wins,losses,total_pnl,best_trade,worst_trade,capital_days
OGR,2022_2023,confirmation_tag,P3_D5,MCB,1,1,0,1743.6696200023434,1743.6696200023434,1743.6696200023434,795929.4906105574
OGR,2022_2023,confirmation_tag,P3_D6,ATRDR,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700715
OGR,2022_2023,confirmation_tag,P3_D6,MCB,1,1,0,1743.6696200023434,1743.6696200023434,1743.6696200023434,795929.4906105574
OGR,2022_2023,independent,P1,ATRDR,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700721
OGR,2022_2023,independent,P1,MCB,2,2,0,5330.452109144233,3932.034847058512,1398.4172620857207,1182049.8967991457
OGR,2022_2023,independent,P2,ATRDR,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700721
OGR,2022_2023,independent,P2,MCB,1,1,0,1398.4172620857207,1398.4172620857207,1398.4172620857207,804448.1514282912
OGR,2022_2023,independent,P3_D4,ATRDR,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700721
OGR,2022_2023,independent,P3_D4,MCB,1,1,0,1398.4172620857207,1398.4172620857207,1398.4172620857207,804448.1514282912
OGR,2022_2023,independent,P3_D5,ATRDR,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700721
OGR,2022_2023,independent,P3_D5,MCB,1,1,0,1398.4172620857207,1398.4172620857207,1398.4172620857207,804448.1514282912
OGR,2022_2023,independent,P3_D6,ATRDR,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700721
OGR,2022_2023,independent,P3_D6,MCB,1,1,0,1398.4172620857207,1398.4172620857207,1398.4172620857207,804448.1514282912
