target,split,feature,family,kind,category,winner_total,winner_available,winner_coverage,nonwinner_total,nonwinner_available,nonwinner_coverage,winner_median,nonwinner_median,auc_winner_higher,auc_cluster_ci_low,auc_cluster_ci_high
any_upside,holdout,days_since_rebinding,base_persistence,continuous,persistence,415,134,0.3228915663,342,136,0.3976608187,3.5,7,0.3620500439,0.3012268171,0.4332477721
any_upside,holdout,rebinding_observed,base_persistence,binary,lifecycle_event,415,415,1,342,342,1,0,0,0.4626153738,0.4288866951,0.4991510111
any_upside,holdout,base_presence_5,base_persistence,continuous,persistence,415,415,1,342,342,1,0,0,0.4504016064,0.4086434804,0.4927293885
any_upside,holdout,base_presence_10,base_persistence,continuous,persistence,415,415,1,342,342,1,0,0.2,0.4401148453,0.3998236554,0.4813215385
any_upside,holdout,base_presence_20,base_persistence,continuous,persistence,415,415,1,342,342,1,0.15,0.325,0.4277918692,0.3851061435,0.4702812715
any_upside,holdout,peak_track_split,lifecycle_events,binary,lifecycle_event,415,415,1,342,342,1,0,0,0.5128337913,0.4955348829,0.5289739112
any_upside,holdout,peak_track_merge,lifecycle_events,binary,lifecycle_event,415,415,1,342,342,1,0,0,0.5088811386,0.4921708132,0.5267214242
any_upside,holdout,peak_track_lost,lifecycle_events,binary,lifecycle_event,415,415,1,342,342,1,0,0,0.5199957726,0.4984225533,0.5402489694
any_upside,holdout,split_count_20,lifecycle_events,continuous,persistence,415,415,1,342,342,1,1,0,0.6219932361,0.5880743036,0.6580943592
any_upside,holdout,merge_count_20,lifecycle_events,continuous,persistence,415,415,1,342,342,1,1,1,0.6239625167,0.5861777498,0.6620028315
