target,split,lead_trading_sessions,feature,winner_total,winner_available,nonwinner_total,nonwinner_available,winner_median,nonwinner_median,auc_winner_higher
up20_20,holdout,1,p50_rel_price,307,307,450,449,0.1160865616,0.08045393255,0.6075825396
up20_20,holdout,1,peak_band_width_rel_price,307,104,450,166,0.09455038946,0.09248665574,0.5404888786
up20_20,holdout,1,peak_location_rel_price,307,104,450,166,0.1109736405,0.1027626654,0.515900139
up20_20,holdout,1,peak_track_age,307,104,450,166,50.5,50,0.4711828082
up20_20,holdout,1,peak_track_mass,307,104,450,166,0.2595555385,0.3158754015,0.4610750695
up20_20,holdout,1,peak_track_prominence,307,104,450,166,0.01186582474,0.01430796349,0.4192539388
up20_20,holdout,1,profit_ratio,307,307,450,449,0.1214413667,0.1735671085,0.4256219032
up20_20,holdout,5,average_cost_rel_price,307,307,450,449,0.07743895628,0.07203557453,0.5116037811
up20_20,holdout,5,base_exists,307,307,450,450,0,0,0.4757582338
up20_20,holdout,5,base_presence_20,307,307,450,450,0.15,0.25,0.451223308
up20_20,holdout,5,concentration_20,307,307,450,449,0.6480575827,0.7022504154,0.3980905813
up20_20,holdout,5,ensemble_ambiguity,307,307,450,450,1,1,0.5194317771
up20_20,holdout,5,p50_rel_price,307,307,450,449,0.05694775335,0.05692580451,0.5153870708
up20_20,holdout,5,peak_band_width_rel_price,307,97,450,164,0.09286082395,0.08879271017,0.5341337692
up20_20,holdout,5,peak_location_rel_price,307,97,450,164,0.0575709677,0.09108737853,0.4635403571
up20_20,holdout,5,peak_track_age,307,97,450,164,52,50,0.5097435253
up20_20,holdout,5,peak_track_mass,307,97,450,164,0.2234027509,0.2832557732,0.4529796329
up20_20,holdout,5,peak_track_prominence,307,97,450,164,0.01021344193,0.01395269524,0.3969072165
up20_20,holdout,5,profit_ratio,307,307,450,449,0.2669039552,0.2413572474,0.5155067722
up20_20,holdout,10,average_cost_rel_price,307,307,450,449,0.06522390432,0.06558812094,0.4996989328
up20_20,holdout,10,base_exists,307,307,450,450,0,0,0.461465798
up20_20,holdout,10,base_presence_20,307,307,450,450,0.15,0.25,0.4563916033
up20_20,holdout,10,concentration_20,307,307,450,449,0.6467254745,0.7049325428,0.394760706
up20_20,holdout,10,ensemble_ambiguity,307,307,450,450,1,1,0.532689106
up20_20,holdout,10,p50_rel_price,307,307,450,449,0.05093240761,0.04489778777,0.5008161459
up20_20,holdout,10,peak_band_width_rel_price,307,93,450,171,0.09108368042,0.08724438294,0.5261271458
up20_20,holdout,10,peak_location_rel_price,307,93,450,171,0.0346529336,0.08245553766,0.4198578884
up20_20,holdout,10,peak_track_age,307,93,450,171,53,49,0.5065710872
up20_20,holdout,10,peak_track_mass,307,93,450,171,0.2718580156,0.3085972166,0.4863233352
up20_20,holdout,10,peak_track_prominence,307,93,450,171,0.01239680857,0.01360125504,0.4438156323
up20_20,holdout,10,profit_ratio,307,307,450,449,0.3118706116,0.2838213391,0.5391060845
up20_20,holdout,20,average_cost_rel_price,307,307,450,449,0.05510092197,0.05400655891,0.5035003591
up20_20,holdout,20,base_exists,307,307,450,450,0,0,0.4588020268
up20_20,holdout,20,base_presence_20,307,307,450,450,0.15,0.25,0.4493304379
