trade_id,symbol,date,entry_signal_date,entry_execution_date,actual_exit_signal_date,actual_exit_execution_date,actual_exit_reason_frozen,days_since_entry,close,entry_price,return_since_entry,running_peak_close,running_peak_return,drawdown_from_running_peak,MFE_to_date,MAE_to_date,individual_ma30,individual_exit_condition_today,individual_exit_condition_previous_day,individual_exit_confirmed,market_ma20,market_exit_condition_today,market_exit_confirmed,set_change_removal_observed,forced_exit_state_observed,actual_exit_today
300459.SZ-001,300459.SZ,2024-10-18,2024-09-25,2024-09-26,2024-11-18,2024-11-19,MARKET_MA20_X2,11,4.99,3.65,0.3671232876712329,5.66,0.5506849315068494,-0.11837455830388688,0.5780821917808219,-0.005479452054794498,,False,False,False,3629.6150000000002,False,False,False,False,False
300459.SZ-001,300459.SZ,2024-10-21,2024-09-25,2024-09-26,2024-11-18,2024-11-19,MARKET_MA20_X2,12,5.14,3.65,0.40821917808219177,5.66,0.5506849315068494,-0.09187279151943473,0.5780821917808219,-0.005479452054794498,,False,False,False,3667.751135,False,False,False,False,False
300459.SZ-001,300459.SZ,2024-10-22,2024-09-25,2024-09-26,2024-11-18,2024-11-19,MARKET_MA20_X2,13,5.11,3.65,0.40000000000000013,5.66,0.5506849315068494,-0.097173144876325,0.5780821917808219,-0.005479452054794498,,False,False,False,3707.67756,False,False,False,False,False
300459.SZ-001,300459.SZ,2024-10-23,2024-09-25,2024-09-26,2024-11-18,2024-11-19,MARKET_MA20_X2,14,4.91,3.65,0.34520547945205493,5.66,0.5506849315068494,-0.13250883392226143,0.5780821917808219,-0.005479452054794498,,False,False,False,3747.7874949999996,False,False,False,False,False
300459.SZ-001,300459.SZ,2024-10-24,2024-09-25,2024-09-26,2024-11-18,2024-11-19,MARKET_MA20_X2,15,4.84,3.65,0.3260273972602741,5.66,0.5506849315068494,-0.14487632508833925,0.5780821917808219,-0.005479452054794498,,False,False,False,3784.42738,False,False,False,False,False
300459.SZ-001,300459.SZ,2024-10-25,2024-09-25,2024-09-26,2024-11-18,2024-11-19,MARKET_MA20_X2,16,4.99,3.65,0.3671232876712329,5.66,0.5506849315068494,-0.11837455830388688,0.5780821917808219,-0.005479452054794498,,False,False,False,3822.1959450000004,False,False,False,False,False
300459.SZ-001,300459.SZ,2024-10-28,2024-09-25,2024-09-26,2024-11-18,2024-11-19,MARKET_MA20_X2,17,5.15,3.65,0.41095890410958913,5.66,0.5506849315068494,-0.09010600706713778,0.5780821917808219,-0.005479452054794498,,False,False,False,3859.765595,False,False,False,False,False
300459.SZ-001,300459.SZ,2024-10-29,2024-09-25,2024-09-26,2024-11-18,2024-11-19,MARKET_MA20_X2,18,4.98,3.65,0.3643835616438358,5.66,0.5506849315068494,-0.12014134275618371,0.5780821917808219,-0.005479452054794498,,False,False,False,3888.4025950000005,False,False,False,False,False
300459.SZ-001,300459.SZ,2024-10-30,2024-09-25,2024-09-26,2024-11-18,2024-11-19,MARKET_MA20_X2,19,4.92,3.65,0.34794520547945207,5.66,0.5506849315068494,-0.1307420494699647,0.5780821917808219,-0.005479452054794498,,False,False,False,3912.79838,True,False,False,False,False
300459.SZ-001,300459.SZ,2024-10-31,2024-09-25,2024-09-26,2024-11-18,2024-11-19,MARKET_MA20_X2,20,5.18,3.65,0.41917808219178077,5.66,0.5506849315068494,-0.0848056537102474,0.5780821917808219,-0.005479452054794498,,False,False,False,3930.08434,True,True,False,False,False
