model,split,side,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
ACTIVE_STICKY,validation,RESISTANCE,mfe_1,1,2312,1244,0.0275055679031,0.0258561098196,0.0289510085599
ACTIVE_STICKY,validation,RESISTANCE,mae_1,1,2312,1244,-0.0188903016393,-0.0200216496762,-0.0177534451189
ACTIVE_STICKY,validation,RESISTANCE,cross_probability_1,1,2312,1244,0.0820471596999,0.0681936629153,0.093264670418
ACTIVE_STICKY,validation,RESISTANCE,future_return_3,3,2303,1241,0.00968869864363,0.00689908386427,0.0132821939217
ACTIVE_STICKY,validation,RESISTANCE,mfe_3,3,2303,1241,0.0537886231116,0.0511156889593,0.0571493437374
ACTIVE_STICKY,validation,RESISTANCE,mae_3,3,2303,1241,-0.0334544385632,-0.0352263419399,-0.0318323388704
ACTIVE_STICKY,validation,RESISTANCE,cross_probability_3,3,2303,1241,0.194574268063,0.175779277464,0.213052981467
ACTIVE_STICKY,validation,RESISTANCE,future_return_5,5,2288,1239,0.0126751519854,0.00849006772932,0.0172784908607
ACTIVE_STICKY,validation,RESISTANCE,mfe_5,5,2288,1239,0.0712879359577,0.0672466746169,0.0756579706737
ACTIVE_STICKY,validation,RESISTANCE,mae_5,5,2288,1239,-0.042994802114,-0.0449407510963,-0.041119425982
ACTIVE_STICKY,validation,RESISTANCE,cross_probability_5,5,2288,1239,0.260223298359,0.239855394135,0.281756793113
ACTIVE_STICKY,validation,RESISTANCE,future_return_10,10,2256,1231,0.0107237533232,0.00563126469913,0.0163052402161
ACTIVE_STICKY,validation,RESISTANCE,mfe_10,10,2256,1231,0.0989615980338,0.0933217124729,0.10544058973
ACTIVE_STICKY,validation,RESISTANCE,mae_10,10,2256,1231,-0.0588668941297,-0.0613756007527,-0.0560510681153
ACTIVE_STICKY,validation,RESISTANCE,cross_probability_10,10,2256,1231,0.357243433523,0.333194895749,0.378778093691
ACTIVE_STICKY,validation,RESISTANCE,future_return_20,20,1864,1128,0.0248207157524,0.0166925771175,0.0328722270817
ACTIVE_STICKY,validation,RESISTANCE,mfe_20,20,1864,1128,0.131132059994,0.122010605919,0.139852418704
ACTIVE_STICKY,validation,RESISTANCE,mae_20,20,1864,1128,-0.0733351239282,-0.0761274665815,-0.0700532988711
ACTIVE_STICKY,validation,RESISTANCE,cross_probability_20,20,1864,1128,0.441903073286,0.416821808511,0.470217567967
ACTIVE_STICKY,validation,RESISTANCE,future_return_40,40,0,0,,,
ACTIVE_STICKY,validation,RESISTANCE,mfe_40,40,0,0,,,
ACTIVE_STICKY,validation,RESISTANCE,mae_40,40,0,0,,,
ACTIVE_STICKY,validation,RESISTANCE,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,validation,SUPPORT,future_return_1,1,1354,846,0.000654087322045,-0.000598360533391,0.00196034453648
ACTIVE_STICKY,validation,SUPPORT,mfe_1,1,1354,846,0.018720141892,0.017436768116,0.0199728224408
ACTIVE_STICKY,validation,SUPPORT,mae_1,1,1354,846,-0.0169590891132,-0.0179926686917,-0.0160201669875
ACTIVE_STICKY,validation,SUPPORT,cross_probability_1,1,1354,846,0.0117021276596,0.0068902679275,0.0171414499606
ACTIVE_STICKY,validation,SUPPORT,future_return_3,3,1277,814,0.00578014404404,0.00298405463625,0.00835327060773
ACTIVE_STICKY,validation,SUPPORT,mfe_3,3,1277,814,0.0363777251149,0.0342973776913,0.0385270283667
ACTIVE_STICKY,validation,SUPPORT,mae_3,3,1277,814,-0.0290490977014,-0.0309133240656,-0.0272449407662
ACTIVE_STICKY,validation,SUPPORT,cross_probability_3,3,1277,814,0.0422194922195,0.0325322481572,0.0536378992629
ACTIVE_STICKY,validation,SUPPORT,future_return_5,5,1259,807,0.00844443132496,0.00486915536813,0.0123098871666
ACTIVE_STICKY,validation,SUPPORT,mfe_5,5,1259,807,0.0500849574268,0.0468119374573,0.0533941885223
ACTIVE_STICKY,validation,SUPPORT,mae_5,5,1259,807,-0.0369000620513,-0.0391559190772,-0.0348189516568
ACTIVE_STICKY,validation,SUPPORT,cross_probability_5,5,1259,807,0.060594795539,0.0491485956216,0.0736271168938
ACTIVE_STICKY,validation,SUPPORT,future_return_10,10,1207,786,0.00750081576782,0.00225266146977,0.0132952731349
ACTIVE_STICKY,validation,SUPPORT,mfe_10,10,1207,786,0.0750717219205,0.0698110717812,0.0810487160419
ACTIVE_STICKY,validation,SUPPORT,mae_10,10,1207,786,-0.0504970529463,-0.0538521921856,-0.0478332591581
ACTIVE_STICKY,validation,SUPPORT,cross_probability_10,10,1207,786,0.111598812553,0.0940405004241,0.130517387617
ACTIVE_STICKY,validation,SUPPORT,future_return_20,20,1037,699,0.0171767226859,0.0071938751717,0.0276921310834
ACTIVE_STICKY,validation,SUPPORT,mfe_20,20,1037,699,0.114771186291,0.105868605408,0.125180789679
ACTIVE_STICKY,validation,SUPPORT,mae_20,20,1037,699,-0.0726133699409,-0.0764100036301,-0.0685060892006
ACTIVE_STICKY,validation,SUPPORT,cross_probability_20,20,1037,699,0.248879351454,0.221959942775,0.276086671435
ACTIVE_STICKY,validation,SUPPORT,future_return_40,40,0,0,,,
ACTIVE_STICKY,validation,SUPPORT,mfe_40,40,0,0,,,
ACTIVE_STICKY,validation,SUPPORT,mae_40,40,0,0,,,
ACTIVE_STICKY,validation,SUPPORT,cross_probability_40,40,0,0,,,
DISPOSITION,discovery,RESISTANCE,future_return_1,1,3300,1743,0.00275133973497,0.00146228297635,0.00396443402247
