model,split,source,base_age_group,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,mae_10,10,11,11,-0.113748839472,-0.209484044803,-0.0509656026174
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,cross_probability_10,10,11,11,0.181818181818,0,0.454545454545
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,future_return_20,20,4,4,-0.0394716812227,-0.089721579894,0.0414546824948
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,mae_20,20,4,4,-0.0915837608007,-0.11721194497,-0.0575749010741
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,cross_probability_20,20,4,4,0.5,0,1
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,future_return_40,40,0,0,,,
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,mae_40,40,0,0,,,
ACTIVE_STICKY,holdout,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,holdout,REAL_CHIP,MATURING_AGE_6_19,reaction_probability,3,66,66,0.454545454545,0.348484848485,0.575757575758
ACTIVE_STICKY,holdout,REAL_CHIP,MATURING_AGE_6_19,close_favorable_probability,0,67,67,0.641791044776,0.537313432836,0.746268656716
ACTIVE_STICKY,holdout,REAL_CHIP,MATURING_AGE_6_19,future_return_5,5,64,64,-0.00631363005853,-0.0207264344658,0.00724171180648
ACTIVE_STICKY,holdout,REAL_CHIP,MATURING_AGE_6_19,mae_5,5,64,64,-0.0433028601904,-0.052934678099,-0.033960199005
ACTIVE_STICKY,holdout,REAL_CHIP,MATURING_AGE_6_19,cross_probability_5,5,64,64,0.078125,0.015625,0.15625
ACTIVE_STICKY,holdout,REAL_CHIP,MATURING_AGE_6_19,future_return_10,10,62,62,-0.0169520768696,-0.0343014354341,0.00219701774703
ACTIVE_STICKY,holdout,REAL_CHIP,MATURING_AGE_6_19,mae_10,10,62,62,-0.0601976003451,-0.0737204113907,-0.0463079444096
ACTIVE_STICKY,holdout,REAL_CHIP,MATURING_AGE_6_19,cross_probability_10,10,62,62,0.112903225806,0.0322580645161,0.209677419355
ACTIVE_STICKY,holdout,REAL_CHIP,MATURING_AGE_6_19,future_return_20,20,57,57,-0.0171808206063,-0.0501954116238,0.0208075141663
ACTIVE_STICKY,holdout,REAL_CHIP,MATURING_AGE_6_19,mae_20,20,57,57,-0.093164282693,-0.114504945071,-0.0714971004126
ACTIVE_STICKY,holdout,REAL_CHIP,MATURING_AGE_6_19,cross_probability_20,20,57,57,0.280701754386,0.175438596491,0.40350877193
ACTIVE_STICKY,holdout,REAL_CHIP,MATURING_AGE_6_19,future_return_40,40,0,0,,,
ACTIVE_STICKY,holdout,REAL_CHIP,MATURING_AGE_6_19,mae_40,40,0,0,,,
ACTIVE_STICKY,holdout,REAL_CHIP,MATURING_AGE_6_19,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,holdout,REAL_CHIP,NEW_AGE_1_5,reaction_probability,3,3,3,0.333333333333,0,1
ACTIVE_STICKY,holdout,REAL_CHIP,NEW_AGE_1_5,close_favorable_probability,0,3,3,0.666666666667,0,1
ACTIVE_STICKY,holdout,REAL_CHIP,NEW_AGE_1_5,future_return_5,5,3,3,-0.0399196120423,-0.137203166227,0.0140226292396
ACTIVE_STICKY,holdout,REAL_CHIP,NEW_AGE_1_5,mae_5,5,3,3,-0.0582346913252,-0.139841688654,-0.0113302752294
ACTIVE_STICKY,holdout,REAL_CHIP,NEW_AGE_1_5,cross_probability_5,5,3,3,0,0,0
ACTIVE_STICKY,holdout,REAL_CHIP,NEW_AGE_1_5,future_return_10,10,3,3,-0.00729099006783,-0.045871559633,0.0263852242744
ACTIVE_STICKY,holdout,REAL_CHIP,NEW_AGE_1_5,mae_10,10,3,3,-0.086933976779,-0.189973614776,-0.00477326968974
