model,split,migration_state,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
ACTIVE_STICKY,holdout,STABLE_BASE,mae_10,10,1359,453,-0.0439578768371,-0.0468177097941,-0.0413203813678
ACTIVE_STICKY,holdout,STABLE_BASE,future_volatility_10,10,1359,453,0.021098920773,0.0204368877872,0.0217794343052
ACTIVE_STICKY,holdout,STABLE_BASE,future_return_20,20,1359,453,0.0136718009742,0.00300646435815,0.02543662618
ACTIVE_STICKY,holdout,STABLE_BASE,mfe_20,20,1359,453,0.116282976295,0.106201410782,0.127062336764
ACTIVE_STICKY,holdout,STABLE_BASE,mae_20,20,1359,453,-0.0715988406333,-0.0757269024633,-0.0674850426489
ACTIVE_STICKY,holdout,STABLE_BASE,future_volatility_20,20,1359,453,0.0223893212009,0.021682447378,0.0229946870584
ACTIVE_STICKY,holdout,STABLE_BASE,future_return_40,40,1359,453,0.0246359974269,0.00940148822438,0.0396726333591
ACTIVE_STICKY,holdout,STABLE_BASE,mfe_40,40,1359,453,0.176824628576,0.159763759567,0.194143578768
ACTIVE_STICKY,holdout,STABLE_BASE,mae_40,40,1359,453,-0.102509224608,-0.108799273074,-0.0966154617709
ACTIVE_STICKY,holdout,STABLE_BASE,future_volatility_40,40,1359,453,0.0241739714539,0.0234391972078,0.024932383764
ACTIVE_STICKY,holdout,UPWARD_MIGRATION,median_shift_fraction,0,265,165,0.100586483386,0.081838917486,0.123742251272
ACTIVE_STICKY,holdout,UPWARD_MIGRATION,width_change_fraction,0,265,165,0.146048504414,0.0940813401907,0.211986672915
ACTIVE_STICKY,holdout,UPWARD_MIGRATION,future_return_5,5,265,165,-0.000861173031166,-0.0113156384105,0.0101024370216
ACTIVE_STICKY,holdout,UPWARD_MIGRATION,mfe_5,5,265,165,0.0747965140126,0.0654483376871,0.0826098633789
ACTIVE_STICKY,holdout,UPWARD_MIGRATION,mae_5,5,265,165,-0.0469259581531,-0.0553890798435,-0.0404772389171
ACTIVE_STICKY,holdout,UPWARD_MIGRATION,future_volatility_5,5,265,165,0.0285539856969,0.0263935878269,0.0311096468597
ACTIVE_STICKY,holdout,UPWARD_MIGRATION,future_return_10,10,265,165,-0.0308239419687,-0.0448384267816,-0.0163673557066
ACTIVE_STICKY,holdout,UPWARD_MIGRATION,mfe_10,10,265,165,0.0915846724789,0.0801707134142,0.102678661763
ACTIVE_STICKY,holdout,UPWARD_MIGRATION,mae_10,10,265,165,-0.0842983999353,-0.0940530460928,-0.0739251870079
ACTIVE_STICKY,holdout,UPWARD_MIGRATION,future_volatility_10,10,265,165,0.0296003288295,0.0277048791401,0.0316078910172
ACTIVE_STICKY,holdout,UPWARD_MIGRATION,future_return_20,20,265,165,-0.0339660925549,-0.0519375690872,-0.014722793528
ACTIVE_STICKY,holdout,UPWARD_MIGRATION,mfe_20,20,265,165,0.117905516502,0.104626850104,0.13520532429
ACTIVE_STICKY,holdout,UPWARD_MIGRATION,mae_20,20,265,165,-0.118634585882,-0.131383444653,-0.106835608933
ACTIVE_STICKY,holdout,UPWARD_MIGRATION,future_volatility_20,20,265,165,0.0299249846278,0.0283997980194,0.0315670868762
ACTIVE_STICKY,holdout,UPWARD_MIGRATION,future_return_40,40,265,165,-0.00593945615211,-0.0323062909076,0.0247918608947
ACTIVE_STICKY,holdout,UPWARD_MIGRATION,mfe_40,40,265,165,0.18116136489,0.155695351926,0.211353640199
ACTIVE_STICKY,holdout,UPWARD_MIGRATION,mae_40,40,265,165,-0.152821741621,-0.166845164267,-0.138386804185
