control,model,split,side,metric,horizon,expected_direction,N,independent_event_count,effect,ci_low,ci_high
MATCHED_PLACEBO,ENSEMBLE,discovery,SUPPORT,range_response_ratio,3,POSITIVE_IS_CHIP_BETTER,185,181,-0.0725154803167,-0.143035704094,-0.00141486135146
MATCHED_PLACEBO,ENSEMBLE,holdout,SUPPORT,range_response_ratio,3,POSITIVE_IS_CHIP_BETTER,65,64,-0.0801588116744,-0.219151194805,0.0717118794214
MATCHED_PLACEBO,ENSEMBLE,validation,SUPPORT,range_response_ratio,3,POSITIVE_IS_CHIP_BETTER,73,70,-0.162262523346,-0.284589357498,-0.0104274108732
MATCHED_PLACEBO,UNIFORM,discovery,SUPPORT,range_response_ratio,3,POSITIVE_IS_CHIP_BETTER,279,268,-0.0786396055804,-0.133059189065,-0.0275646786553
MATCHED_PLACEBO,UNIFORM,holdout,SUPPORT,range_response_ratio,3,POSITIVE_IS_CHIP_BETTER,117,112,-0.0757555159748,-0.177617749069,0.026633988938
MATCHED_PLACEBO,UNIFORM,validation,SUPPORT,range_response_ratio,3,POSITIVE_IS_CHIP_BETTER,93,89,-0.109683070206,-0.229985352681,0.0156045144825
MATCHED_PLACEBO,ACTIVE_STICKY,discovery,SUPPORT,future_return_1,1,POSITIVE_IS_CHIP_BETTER,212,207,-0.0154149042144,-0.0214070254263,-0.00923337842234
MATCHED_PLACEBO,ACTIVE_STICKY,holdout,SUPPORT,future_return_1,1,POSITIVE_IS_CHIP_BETTER,86,85,-0.00218721603789,-0.0102219677059,0.00636032453103
MATCHED_PLACEBO,ACTIVE_STICKY,validation,SUPPORT,future_return_1,1,POSITIVE_IS_CHIP_BETTER,62,59,0.00254916097272,-0.00395114853961,0.00985022696731
MATCHED_PLACEBO,DISPOSITION,discovery,SUPPORT,future_return_1,1,POSITIVE_IS_CHIP_BETTER,261,252,-0.0141522156196,-0.0199777253608,-0.00901229381426
MATCHED_PLACEBO,DISPOSITION,holdout,SUPPORT,future_return_1,1,POSITIVE_IS_CHIP_BETTER,117,112,0.00189256815542,-0.0053665159114,0.00877019539524
MATCHED_PLACEBO,DISPOSITION,validation,SUPPORT,future_return_1,1,POSITIVE_IS_CHIP_BETTER,97,94,0.00149608676393,-0.00468269733987,0.00731029015361
MATCHED_PLACEBO,ENSEMBLE,discovery,SUPPORT,future_return_1,1,POSITIVE_IS_CHIP_BETTER,184,180,-0.016361320583,-0.0226886519051,-0.00967872112427
MATCHED_PLACEBO,ENSEMBLE,holdout,SUPPORT,future_return_1,1,POSITIVE_IS_CHIP_BETTER,65,64,-0.00111001008741,-0.0114252223899,0.00788643437187
MATCHED_PLACEBO,ENSEMBLE,validation,SUPPORT,future_return_1,1,POSITIVE_IS_CHIP_BETTER,68,66,0.00413540364851,-0.00452572845873,0.0129652764812
MATCHED_PLACEBO,UNIFORM,discovery,SUPPORT,future_return_1,1,POSITIVE_IS_CHIP_BETTER,277,266,-0.0124530943403,-0.018518855363,-0.0073778958287
MATCHED_PLACEBO,UNIFORM,holdout,SUPPORT,future_return_1,1,POSITIVE_IS_CHIP_BETTER,117,112,0.00366082829872,-0.00370140248135,0.0117971103201
MATCHED_PLACEBO,UNIFORM,validation,SUPPORT,future_return_1,1,POSITIVE_IS_CHIP_BETTER,86,83,0.00196269323964,-0.00536224706101,0.00929355322615
MATCHED_PLACEBO,ACTIVE_STICKY,discovery,SUPPORT,mfe_1,1,CONTEXT_DEPENDENT,212,207,-0.0163058209606,-0.0223365622417,-0.0103049817349
MATCHED_PLACEBO,ACTIVE_STICKY,holdout,SUPPORT,mfe_1,1,CONTEXT_DEPENDENT,86,85,-0.0028376393,-0.00940105271401,0.00352039968533
MATCHED_PLACEBO,ACTIVE_STICKY,validation,SUPPORT,mfe_1,1,CONTEXT_DEPENDENT,62,59,0.00238399045902,-0.00404167013565,0.00837979924859
MATCHED_PLACEBO,DISPOSITION,discovery,SUPPORT,mfe_1,1,CONTEXT_DEPENDENT,261,252,-0.0135688334197,-0.0193273379212,-0.00787872545791
MATCHED_PLACEBO,DISPOSITION,holdout,SUPPORT,mfe_1,1,CONTEXT_DEPENDENT,117,112,8.67981147946e-05,-0.00515966577781,0.00522906622812
MATCHED_PLACEBO,DISPOSITION,validation,SUPPORT,mfe_1,1,CONTEXT_DEPENDENT,97,94,0.00144793680116,-0.00382104338415,0.00714753541944
MATCHED_PLACEBO,ENSEMBLE,discovery,SUPPORT,mfe_1,1,CONTEXT_DEPENDENT,184,180,-0.0162000808696,-0.0229131231183,-0.00983839387918
MATCHED_PLACEBO,ENSEMBLE,holdout,SUPPORT,mfe_1,1,CONTEXT_DEPENDENT,65,64,-0.00311458693579,-0.0101149583036,0.00425698739492
MATCHED_PLACEBO,ENSEMBLE,validation,SUPPORT,mfe_1,1,CONTEXT_DEPENDENT,68,66,0.00637466752117,-0.000309842525126,0.0122693250334
MATCHED_PLACEBO,UNIFORM,discovery,SUPPORT,mfe_1,1,CONTEXT_DEPENDENT,277,266,-0.0134026812596,-0.019030704697,-0.00711226495219
MATCHED_PLACEBO,UNIFORM,holdout,SUPPORT,mfe_1,1,CONTEXT_DEPENDENT,117,112,0.000457779445734,-0.00498451262839,0.00627182056812
MATCHED_PLACEBO,UNIFORM,validation,SUPPORT,mfe_1,1,CONTEXT_DEPENDENT,86,83,0.00221463422155,-0.0032278723758,0.00726004786931
MATCHED_PLACEBO,ACTIVE_STICKY,discovery,SUPPORT,mae_1,1,POSITIVE_IS_CHIP_BETTER,212,207,-0.0119000309205,-0.0173032846323,-0.00642536699507
MATCHED_PLACEBO,ACTIVE_STICKY,holdout,SUPPORT,mae_1,1,POSITIVE_IS_CHIP_BETTER,86,85,-0.00103299964275,-0.0068428857669,0.00439915781204
MATCHED_PLACEBO,ACTIVE_STICKY,validation,SUPPORT,mae_1,1,POSITIVE_IS_CHIP_BETTER,62,59,0.00141539573632,-0.00303296654879,0.00624663530357
MATCHED_PLACEBO,DISPOSITION,discovery,SUPPORT,mae_1,1,POSITIVE_IS_CHIP_BETTER,261,252,-0.0121307054953,-0.0170522195374,-0.00809974631373
