model,split,side,source,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
ACTIVE_STICKY,discovery,SUPPORT,TIME_SHIFTED_FUTURE_STATE,cross_probability_10,10,145,145,0.172413793103,0.11724137931,0.234482758621
ACTIVE_STICKY,discovery,SUPPORT,TIME_SHIFTED_FUTURE_STATE,time_to_cross_10,10,145,145,9.68275862069,9.18586206897,10.1863793103
ACTIVE_STICKY,discovery,SUPPORT,TIME_SHIFTED_FUTURE_STATE,sessions_beyond_10,10,145,145,0.937931034483,0.599655172414,1.33172413793
ACTIVE_STICKY,discovery,SUPPORT,TIME_SHIFTED_FUTURE_STATE,cross_probability_20,20,141,141,0.255319148936,0.177304964539,0.333333333333
ACTIVE_STICKY,discovery,SUPPORT,TIME_SHIFTED_FUTURE_STATE,time_to_cross_20,20,142,142,17.2816901408,16.2533450704,18.3735915493
ACTIVE_STICKY,discovery,SUPPORT,TIME_SHIFTED_FUTURE_STATE,sessions_beyond_20,20,141,141,1.84397163121,1.29769503546,2.49645390071
ACTIVE_STICKY,discovery,SUPPORT,TIME_SHIFTED_FUTURE_STATE,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,discovery,SUPPORT,TIME_SHIFTED_FUTURE_STATE,time_to_cross_40,40,47,47,11.9787234043,8.53085106383,14.7877659574
ACTIVE_STICKY,discovery,SUPPORT,TIME_SHIFTED_FUTURE_STATE,sessions_beyond_40,40,0,0,,,
ACTIVE_STICKY,holdout,RESISTANCE,MATCHED_PLACEBO,cross_probability_1,1,160,146,0.205479452055,0.13698630137,0.267123287671
ACTIVE_STICKY,holdout,RESISTANCE,MATCHED_PLACEBO,time_to_cross_1,1,160,146,1.79452054795,1.72602739726,1.85633561644
ACTIVE_STICKY,holdout,RESISTANCE,MATCHED_PLACEBO,sessions_beyond_1,1,160,146,0.27397260274,0.212157534247,0.342465753425
ACTIVE_STICKY,holdout,RESISTANCE,MATCHED_PLACEBO,cross_probability_5,5,150,136,0.408088235294,0.330790441176,0.5
ACTIVE_STICKY,holdout,RESISTANCE,MATCHED_PLACEBO,time_to_cross_5,5,155,141,4.3829787234,4.02819148936,4.72340425532
ACTIVE_STICKY,holdout,RESISTANCE,MATCHED_PLACEBO,sessions_beyond_5,5,150,136,1.57230392157,1.28676470588,1.88121936275
ACTIVE_STICKY,holdout,RESISTANCE,MATCHED_PLACEBO,cross_probability_10,10,131,119,0.491596638655,0.394957983193,0.575630252101
ACTIVE_STICKY,holdout,RESISTANCE,MATCHED_PLACEBO,time_to_cross_10,10,143,130,6.65,5.97288461538,7.38192307692
ACTIVE_STICKY,holdout,RESISTANCE,MATCHED_PLACEBO,sessions_beyond_10,10,131,119,3.30392156863,2.62864145658,3.98767507003
ACTIVE_STICKY,holdout,RESISTANCE,MATCHED_PLACEBO,cross_probability_20,20,106,95,0.549122807018,0.454298245614,0.647412280702
ACTIVE_STICKY,holdout,RESISTANCE,MATCHED_PLACEBO,time_to_cross_20,20,133,121,10.1694214876,8.47830578512,11.6575413223
ACTIVE_STICKY,holdout,RESISTANCE,MATCHED_PLACEBO,sessions_beyond_20,20,106,95,6.17543859649,4.69978070175,7.58728070175
ACTIVE_STICKY,holdout,RESISTANCE,MATCHED_PLACEBO,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,holdout,RESISTANCE,MATCHED_PLACEBO,time_to_cross_40,40,92,85,5.86274509804,4.41725490196,7.72617647059
ACTIVE_STICKY,holdout,RESISTANCE,MATCHED_PLACEBO,sessions_beyond_40,40,0,0,,,
ACTIVE_STICKY,holdout,RESISTANCE,PRICE_ONLY_20_SWING,cross_probability_1,1,1714,932,0.0647353361946,0.0509258762518,0.080473444206
ACTIVE_STICKY,holdout,RESISTANCE,PRICE_ONLY_20_SWING,time_to_cross_1,1,1714,932,1.93526466381,1.92165280758,1.94910988913
ACTIVE_STICKY,holdout,RESISTANCE,PRICE_ONLY_20_SWING,sessions_beyond_1,1,1714,932,0.111373390558,0.094133583691,0.131062678827
ACTIVE_STICKY,holdout,RESISTANCE,PRICE_ONLY_20_SWING,cross_probability_5,5,1631,897,0.159141583055,0.137435432925,0.183167502787
ACTIVE_STICKY,holdout,RESISTANCE,PRICE_ONLY_20_SWING,time_to_cross_5,5,1640,902,5.39449371766,5.29698725055,5.48274436438
ACTIVE_STICKY,holdout,RESISTANCE,PRICE_ONLY_20_SWING,sessions_beyond_5,5,1631,897,0.643571163136,0.563649665552,0.730881178001
ACTIVE_STICKY,holdout,RESISTANCE,PRICE_ONLY_20_SWING,cross_probability_10,10,1521,843,0.256919731119,0.23110419138,0.285396896006
ACTIVE_STICKY,holdout,RESISTANCE,PRICE_ONLY_20_SWING,time_to_cross_10,10,1545,856,9.18872663551,8.9664782905,9.39542932243
ACTIVE_STICKY,holdout,RESISTANCE,PRICE_ONLY_20_SWING,sessions_beyond_10,10,1521,843,1.49298141558,1.3275988533,1.67213720838
ACTIVE_STICKY,holdout,RESISTANCE,PRICE_ONLY_20_SWING,cross_probability_20,20,1272,733,0.335379718054,0.302637562528,0.37167746703
ACTIVE_STICKY,holdout,RESISTANCE,PRICE_ONLY_20_SWING,time_to_cross_20,20,1392,798,15.5107351713,15.0092042607,15.9293656015
ACTIVE_STICKY,holdout,RESISTANCE,PRICE_ONLY_20_SWING,sessions_beyond_20,20,1272,733,3.29809004093,2.92495907231,3.63033253752
ACTIVE_STICKY,holdout,RESISTANCE,PRICE_ONLY_20_SWING,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,holdout,RESISTANCE,PRICE_ONLY_20_SWING,time_to_cross_40,40,683,399,10.4714285714,9.67965225564,11.31286132
ACTIVE_STICKY,holdout,RESISTANCE,PRICE_ONLY_20_SWING,sessions_beyond_40,40,0,0,,,
ACTIVE_STICKY,holdout,RESISTANCE,REAL_CHIP,cross_probability_1,1,2050,1245,0.0611111111111,0.0495281124498,0.0718256358768
ACTIVE_STICKY,holdout,RESISTANCE,REAL_CHIP,time_to_cross_1,1,2050,1245,1.93888888889,1.92876338688,1.95026941098
ACTIVE_STICKY,holdout,RESISTANCE,REAL_CHIP,sessions_beyond_1,1,2050,1245,0.106680053548,0.0929300535475,0.12041231593
ACTIVE_STICKY,holdout,RESISTANCE,REAL_CHIP,cross_probability_5,5,1994,1228,0.136672095548,0.119775380022,0.153502985885
ACTIVE_STICKY,holdout,RESISTANCE,REAL_CHIP,time_to_cross_5,5,2005,1232,5.48127705628,5.408495671,5.54197612284
ACTIVE_STICKY,holdout,RESISTANCE,REAL_CHIP,sessions_beyond_5,5,1994,1228,0.549022801303,0.492128121607,0.611092562432
ACTIVE_STICKY,holdout,RESISTANCE,REAL_CHIP,cross_probability_10,10,1883,1187,0.195366470093,0.174962440326,0.212570907049
ACTIVE_STICKY,holdout,RESISTANCE,REAL_CHIP,time_to_cross_10,10,1917,1202,9.51747088186,9.36354513311,9.66876074598
ACTIVE_STICKY,holdout,RESISTANCE,REAL_CHIP,sessions_beyond_10,10,1883,1187,1.20148834597,1.06843653468,1.32071644201
ACTIVE_STICKY,holdout,RESISTANCE,REAL_CHIP,cross_probability_20,20,1658,1106,0.265235081374,0.242162070524,0.287207278481
ACTIVE_STICKY,holdout,RESISTANCE,REAL_CHIP,time_to_cross_20,20,1774,1157,16.6529818496,16.2781439067,16.9969331605
ACTIVE_STICKY,holdout,RESISTANCE,REAL_CHIP,sessions_beyond_20,20,1658,1106,2.64388185654,2.36645117541,2.9336757836
ACTIVE_STICKY,holdout,RESISTANCE,REAL_CHIP,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,holdout,RESISTANCE,REAL_CHIP,time_to_cross_40,40,843,551,11.7074107683,10.8655626134,12.4862137024
ACTIVE_STICKY,holdout,RESISTANCE,REAL_CHIP,sessions_beyond_40,40,0,0,,,
ACTIVE_STICKY,holdout,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,cross_probability_1,1,179,179,0.0223463687151,0,0.0446927374302
ACTIVE_STICKY,holdout,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,time_to_cross_1,1,179,179,1.97765363128,1.94972067039,1.99441340782
ACTIVE_STICKY,holdout,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,sessions_beyond_1,1,179,179,0.0335195530726,0.0111731843575,0.0614525139665
ACTIVE_STICKY,holdout,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,cross_probability_5,5,168,168,0.047619047619,0.0178571428571,0.0833333333333
ACTIVE_STICKY,holdout,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,time_to_cross_5,5,168,168,5.82142857143,5.67857142857,5.93452380952
ACTIVE_STICKY,holdout,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,sessions_beyond_5,5,168,168,0.196428571429,0.0892857142857,0.357142857143
ACTIVE_STICKY,holdout,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,cross_probability_10,10,162,162,0.0864197530864,0.0492283950617,0.135802469136
ACTIVE_STICKY,holdout,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,time_to_cross_10,10,163,163,10.4233128834,10.0797546012,10.7363496933
ACTIVE_STICKY,holdout,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,sessions_beyond_10,10,162,162,0.549382716049,0.302469135802,0.888888888889
ACTIVE_STICKY,holdout,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,cross_probability_20,20,136,136,0.139705882353,0.0808823529412,0.198529411765
ACTIVE_STICKY,holdout,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,time_to_cross_20,20,142,142,18.9154929577,17.9711267606,19.6346830986
ACTIVE_STICKY,holdout,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,sessions_beyond_20,20,136,136,1.36029411765,0.786764705882,2.059375
ACTIVE_STICKY,holdout,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,holdout,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,time_to_cross_40,40,38,38,14.9473684211,12.1802631579,18.1322368421
ACTIVE_STICKY,holdout,RESISTANCE,TIME_SHIFTED_FUTURE_STATE,sessions_beyond_40,40,0,0,,,
ACTIVE_STICKY,holdout,SUPPORT,MATCHED_PLACEBO,cross_probability_1,1,86,85,0.117647058824,0.0585294117647,0.188529411765
ACTIVE_STICKY,holdout,SUPPORT,MATCHED_PLACEBO,time_to_cross_1,1,86,85,1.88235294118,1.81176470588,1.95294117647
ACTIVE_STICKY,holdout,SUPPORT,MATCHED_PLACEBO,sessions_beyond_1,1,86,85,0.223529411765,0.152941176471,0.305882352941
