model,split,base_integrity,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
DISPOSITION,holdout,BASE_DAMAGED_OR_LOST,sessions_beyond_10,10,19,19,1.94736842105,0.525,3.42105263158
DISPOSITION,holdout,BASE_DAMAGED_OR_LOST,future_return_20,20,15,15,-0.0575893541761,-0.12228650555,0.000909831405695
DISPOSITION,holdout,BASE_DAMAGED_OR_LOST,mae_20,20,15,15,-0.136425331232,-0.175374382184,-0.0989413657155
DISPOSITION,holdout,BASE_DAMAGED_OR_LOST,cross_probability_20,20,15,15,0.466666666667,0.266666666667,0.733333333333
DISPOSITION,holdout,BASE_DAMAGED_OR_LOST,sessions_beyond_20,20,15,15,5.4,2.395,8.93666666667
DISPOSITION,holdout,BASE_DAMAGED_OR_LOST,future_return_40,40,0,0,,,
DISPOSITION,holdout,BASE_DAMAGED_OR_LOST,mae_40,40,0,0,,,
DISPOSITION,holdout,BASE_DAMAGED_OR_LOST,cross_probability_40,40,0,0,,,
DISPOSITION,holdout,BASE_DAMAGED_OR_LOST,sessions_beyond_40,40,0,0,,,
DISPOSITION,holdout,BASE_INTACT,reaction_probability,3,92,74,0.475225225225,0.364864864865,0.592454954955
DISPOSITION,holdout,BASE_INTACT,close_favorable_probability,0,93,74,0.601351351351,0.481925675676,0.70045045045
DISPOSITION,holdout,BASE_INTACT,future_return_5,5,92,74,-0.00768453819922,-0.0244757987811,0.00978498867859
DISPOSITION,holdout,BASE_INTACT,mae_5,5,92,74,-0.0486395061783,-0.0609239168628,-0.0392562451371
DISPOSITION,holdout,BASE_INTACT,cross_probability_5,5,92,74,0.0810810810811,0.027027027027,0.148648648649
DISPOSITION,holdout,BASE_INTACT,sessions_beyond_5,5,92,74,0.333333333333,0.143918918919,0.610416666667
DISPOSITION,holdout,BASE_INTACT,future_return_10,10,88,72,-0.0040087457182,-0.0213543926275,0.0117612831614
DISPOSITION,holdout,BASE_INTACT,mae_10,10,88,72,-0.0638544331804,-0.0733027562756,-0.0530115266934
DISPOSITION,holdout,BASE_INTACT,cross_probability_10,10,88,72,0.206018518519,0.122685185185,0.303240740741
DISPOSITION,holdout,BASE_INTACT,sessions_beyond_10,10,88,72,1.08564814815,0.657291666667,1.61626157407
DISPOSITION,holdout,BASE_INTACT,future_return_20,20,80,67,-0.0135589041814,-0.0341666131185,0.00656876881682
DISPOSITION,holdout,BASE_INTACT,mae_20,20,80,67,-0.0890474985963,-0.103367241298,-0.075652914448
DISPOSITION,holdout,BASE_INTACT,cross_probability_20,20,80,67,0.370646766169,0.258644278607,0.482587064677
DISPOSITION,holdout,BASE_INTACT,sessions_beyond_20,20,80,67,3.56965174129,2.34570895522,4.83843283582
DISPOSITION,holdout,BASE_INTACT,future_return_40,40,0,0,,,
DISPOSITION,holdout,BASE_INTACT,mae_40,40,0,0,,,
