split,ambiguity_category,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
holdout,LEVEL_DISAGREEMENT,future_volatility_5,5,37,34,0.0215616214986,0.0178849013531,0.0255286803792
holdout,LEVEL_DISAGREEMENT,future_volume_ratio_5,5,37,34,1.58388135195,0.983346373507,2.58433924653
holdout,LEVEL_DISAGREEMENT,future_return_10,10,37,34,0.0214856073013,-0.0288034525599,0.0962090915117
holdout,LEVEL_DISAGREEMENT,mfe_10,10,37,34,0.125896794274,0.0636034143827,0.211637927814
holdout,LEVEL_DISAGREEMENT,mae_10,10,37,34,-0.0567657545417,-0.0742448042579,-0.0419735575834
holdout,LEVEL_DISAGREEMENT,future_volatility_10,10,37,34,0.02555410247,0.02100674082,0.031381507862
holdout,LEVEL_DISAGREEMENT,future_volume_ratio_10,10,37,34,1.8238661105,0.987885089837,3.21384860035
holdout,LEVEL_DISAGREEMENT,future_return_20,20,37,34,0.0275943529503,-0.0254472798029,0.0892226433423
holdout,LEVEL_DISAGREEMENT,mfe_20,20,37,34,0.168654103103,0.105049507029,0.26157045164
holdout,LEVEL_DISAGREEMENT,mae_20,20,37,34,-0.0793626938242,-0.106706148042,-0.0553892379943
holdout,LEVEL_DISAGREEMENT,future_volatility_20,20,37,34,0.0274110445697,0.0225065642911,0.0333319429163
holdout,LEVEL_DISAGREEMENT,future_volume_ratio_20,20,37,34,1.99491936247,1.05496224375,3.51438199784
holdout,MASS_DISAGREEMENT,model_base_level_spread,0,2,2,0.0407717985852,0.0355744767978,0.0459691203725
holdout,MASS_DISAGREEMENT,model_base_mass_cv,0,2,2,0.290789992228,0.269829633847,0.311750350609
holdout,MASS_DISAGREEMENT,model_mode_count_range,0,2,2,0,0,0
holdout,MASS_DISAGREEMENT,future_chop_10,10,2,2,0.75,0.75,0.75
holdout,MASS_DISAGREEMENT,future_return_5,5,2,2,0.0424122807018,0.0131578947368,0.0716666666667
holdout,MASS_DISAGREEMENT,mfe_5,5,2,2,0.0703947368421,0.0657894736842,0.075
holdout,MASS_DISAGREEMENT,mae_5,5,2,2,-0.0139035087719,-0.0383333333333,0.0105263157895
holdout,MASS_DISAGREEMENT,future_volatility_5,5,2,2,0.0204054211354,0.0171729696377,0.0236378726331
holdout,MASS_DISAGREEMENT,future_volume_ratio_5,5,2,2,1.02398479249,0.556083309026,1.49188627595
holdout,MASS_DISAGREEMENT,future_return_10,10,2,2,0.0679824561404,0.00263157894737,0.133333333333
holdout,MASS_DISAGREEMENT,mfe_10,10,2,2,0.157061403509,0.0657894736842,0.248333333333
holdout,MASS_DISAGREEMENT,mae_10,10,2,2,-0.0244298245614,-0.0383333333333,-0.0105263157895
holdout,MASS_DISAGREEMENT,future_volatility_10,10,2,2,0.0252269051239,0.0147761818764,0.0356776283715
