role,coordinate,block,index_symbol,n,baseline_adjusted_r2,full_adjusted_r2,increment,support_pass
post_cross_activity_ratio,pit,A,sz399006,50,0.27956531375353599,0.26256924181735986,-0.016996071936176138,False
post_cross_activity_ratio,pit,B,csi000300,265,0.1096592880267484,0.10962738428130936,-3.1903745439043618e-05,True
post_cross_activity_ratio,pit,B,csi000852,265,0.1096592880267484,0.10928259435901821,-0.00037669366773018798,True
post_cross_activity_ratio,pit,B,csi000905,265,0.1096592880267484,0.10965162693937203,-7.6610873763760523e-06,True
post_cross_activity_ratio,pit,B,sh000001,265,0.1096592880267484,0.10930118392558263,-0.00035810410116576818,True
post_cross_activity_ratio,pit,B,sz399001,265,0.1096592880267484,0.11092023282412289,0.0012609447973744858,True
post_cross_activity_ratio,pit,B,sz399006,265,0.1096592880267484,0.11133721209606628,0.0016779240693178821,True
post_cross_activity_ratio,relative,A,csi000300,215,0.15068657636840355,0.14392175001110075,-0.0067648263573028,True
post_cross_activity_ratio,relative,A,csi000852,215,0.15068657636840355,0.14360961937875849,-0.0070769569896450557,True
post_cross_activity_ratio,relative,A,csi000905,215,0.15068657636840355,0.14835436115157163,-0.0023322152168319121,True
post_cross_activity_ratio,relative,A,sh000001,215,0.15068657636840355,0.14458436667517016,-0.0061022096932333847,True
post_cross_activity_ratio,relative,A,sz399001,215,0.15068657636840355,0.14880912639259758,-0.0018774499758059671,True
post_cross_activity_ratio,relative,A,sz399006,215,0.15068657636840355,0.14353860043840683,-0.0071479759299967194,True
post_cross_activity_ratio,relative,B,csi000300,265,0.1096592880267484,0.10449159869867819,-0.005167689328070213,True
post_cross_activity_ratio,relative,B,csi000852,265,0.1096592880267484,0.10797823819106656,-0.0016810498356818471,True
post_cross_activity_ratio,relative,B,csi000905,265,0.1096592880267484,0.10535916905182241,-0.0043001189749259927,True
post_cross_activity_ratio,relative,B,sh000001,265,0.1096592880267484,0.099726498042169931,-0.0099327899845784717,True
post_cross_activity_ratio,relative,B,sz399001,265,0.1096592880267484,0.1142386049735199,0.0045793169467714945,True
post_cross_activity_ratio,relative,B,sz399006,265,0.1096592880267484,0.10032388950677118,-0.0093353985199772227,True
post_cross_cumulative_vwap_acceptance_fraction,absolute,A,csi000300,215,0.69665619525433709,0.69671271083887909,5.6515584542005115e-05,True
post_cross_cumulative_vwap_acceptance_fraction,absolute,A,csi000852,215,0.69665619525433709,0.69720041957370116,0.00054422431936407278,True
post_cross_cumulative_vwap_acceptance_fraction,absolute,A,csi000905,215,0.69665619525433709,0.69689930366693575,0.00024310841259866933,True
post_cross_cumulative_vwap_acceptance_fraction,absolute,A,sh000001,215,0.69665619525433709,0.69701887296536524,0.00036267771102815871,True
post_cross_cumulative_vwap_acceptance_fraction,absolute,A,sz399001,215,0.69665619525433709,0.69674737621864247,9.1180964305381806e-05,True
post_cross_cumulative_vwap_acceptance_fraction,absolute,A,sz399006,215,0.69665619525433709,0.69676823823897871,0.00011204298464162488,True
post_cross_cumulative_vwap_acceptance_fraction,absolute,B,csi000300,265,0.5823490508920468,0.57940088251642896,-0.0029481683756178434,True
post_cross_cumulative_vwap_acceptance_fraction,absolute,B,csi000852,265,0.5823490508920468,0.58282341294630058,0.00047436205425377409,True
post_cross_cumulative_vwap_acceptance_fraction,absolute,B,csi000905,265,0.5823490508920468,0.58123981891198584,-0.0011092319800609651,True
post_cross_cumulative_vwap_acceptance_fraction,absolute,B,sh000001,265,0.5823490508920468,0.57943143296806388,-0.0029176179239829292,True
post_cross_cumulative_vwap_acceptance_fraction,absolute,B,sz399001,265,0.5823490508920468,0.57997054710756824,-0.0023785037844785695,True
post_cross_cumulative_vwap_acceptance_fraction,absolute,B,sz399006,265,0.5823490508920468,0.58030311650293664,-0.00204593438911016,True
post_cross_cumulative_vwap_acceptance_fraction,pit,A,csi000300,50,0.53226955421097255,0.54219487369619501,0.0099253194852224613,False
post_cross_cumulative_vwap_acceptance_fraction,pit,A,csi000852,50,0.53226955421097255,0.55228869619553866,0.020019141984566113,False
post_cross_cumulative_vwap_acceptance_fraction,pit,A,csi000905,50,0.53226955421097255,0.55193267493965115,0.019663120728678596,False
post_cross_cumulative_vwap_acceptance_fraction,pit,A,sh000001,50,0.53226955421097255,0.54262301041872285,0.0103534562077503,False
post_cross_cumulative_vwap_acceptance_fraction,pit,A,sz399001,50,0.53226955421097255,0.54388627959467062,0.011616725383698068,False
post_cross_cumulative_vwap_acceptance_fraction,pit,A,sz399006,50,0.53226955421097255,0.54571507933287844,0.013445525121905888,False
post_cross_cumulative_vwap_acceptance_fraction,pit,B,csi000300,265,0.5823490508920468,0.5801992081279489,-0.002149842764097909,True
post_cross_cumulative_vwap_acceptance_fraction,pit,B,csi000852,265,0.5823490508920468,0.58407242605241794,0.0017233751603711323,True
post_cross_cumulative_vwap_acceptance_fraction,pit,B,csi000905,265,0.5823490508920468,0.58195429557786271,-0.00039475531418409204,True
post_cross_cumulative_vwap_acceptance_fraction,pit,B,sh000001,265,0.5823490508920468,0.58010082938680863,-0.0022482215052381793,True
post_cross_cumulative_vwap_acceptance_fraction,pit,B,sz399001,265,0.5823490508920468,0.58060878455681042,-0.0017402663352363845,True
post_cross_cumulative_vwap_acceptance_fraction,pit,B,sz399006,265,0.5823490508920468,0.58067688116974547,-0.001672169722301331,True
post_cross_cumulative_vwap_acceptance_fraction,relative,A,csi000300,215,0.69665619525433709,0.69563344583342634,-0.0010227494209107402,True
post_cross_cumulative_vwap_acceptance_fraction,relative,A,csi000852,215,0.69665619525433709,0.69465913991953365,-0.0019970553348034326,True
post_cross_cumulative_vwap_acceptance_fraction,relative,A,csi000905,215,0.69665619525433709,0.69273415975152952,-0.0039220355028075637,True
post_cross_cumulative_vwap_acceptance_fraction,relative,A,sh000001,215,0.69665619525433709,0.69262682521561625,-0.0040293700387208364,True
post_cross_cumulative_vwap_acceptance_fraction,relative,A,sz399001,215,0.69665619525433709,0.69311011857139493,-0.0035460766829421564,True
post_cross_cumulative_vwap_acceptance_fraction,relative,A,sz399006,215,0.69665619525433709,0.69290646260773769,-0.0037497326465993908,True
post_cross_cumulative_vwap_acceptance_fraction,relative,B,csi000300,265,0.5823490508920468,0.58375226158855487,0.0014032106965080615,True
post_cross_cumulative_vwap_acceptance_fraction,relative,B,csi000852,265,0.5823490508920468,0.5831224744231237,0.00077342353107689998,True
post_cross_cumulative_vwap_acceptance_fraction,relative,B,csi000905,265,0.5823490508920468,0.57963262635081292,-0.0027164245412338861,True
post_cross_cumulative_vwap_acceptance_fraction,relative,B,sh000001,265,0.5823490508920468,0.57910225623444633,-0.0032467946576004714,True
post_cross_cumulative_vwap_acceptance_fraction,relative,B,sz399001,265,0.5823490508920468,0.57920340195887854,-0.0031456489331682658,True
post_cross_cumulative_vwap_acceptance_fraction,relative,B,sz399006,265,0.5823490508920468,0.57858142086994002,-0.0037676300221067827,True
reacquisition_bars,absolute,A,csi000300,171,0.033265017936572328,0.025902652738444831,-0.0073623651981274962,True
reacquisition_bars,absolute,A,csi000852,171,0.033265017936572328,0.026832925047447942,-0.0064320928891243856,True
reacquisition_bars,absolute,A,csi000905,171,0.033265017936572328,0.026140576199474408,-0.0071244417370979196,True
reacquisition_bars,absolute,A,sh000001,171,0.033265017936572328,0.028597269546554949,-0.0046677483900173788,True
reacquisition_bars,absolute,A,sz399001,171,0.033265017936572328,0.027053672679193008,-0.0062113452573793193,True
reacquisition_bars,absolute,A,sz399006,171,0.033265017936572328,0.025506012465743799,-0.0077590054708285283,True
