trade_date,family,cost_per_side,nav,cash,positions,industries,industry_hhi
2020-09-08,slow_industry_daily_low_max,0.004,9060485.418,1.746229827e-10,40,11,0.1410576035
2020-09-09,slow_industry_daily_low_max,0.004,8983930.951,1.746229827e-10,40,11,0.1412682292
2020-09-10,slow_industry_daily_low_max,0.004,8824582.267,21525.85744,40,8,0.2801810883
2020-09-11,slow_industry_daily_low_max,0.004,8936126.763,21525.85744,40,8,0.2862368452
2020-09-14,slow_industry_daily_low_max,0.004,8979211.832,21525.85744,40,8,0.2873274023
2020-09-15,slow_industry_daily_low_max,0.004,9054756.738,21525.85744,40,8,0.2841619871
2020-09-16,slow_industry_daily_low_max,0.004,8960453.086,21525.85744,40,8,0.2827953422
2020-09-17,slow_industry_daily_low_max,0.004,8872616.803,147.897094,40,8,0.2877746879
2020-09-18,slow_industry_daily_low_max,0.004,8967469.891,147.897094,40,8,0.2883499107
2020-09-21,slow_industry_daily_low_max,0.004,8844009.132,147.897094,40,8,0.2876907082
2020-09-22,slow_industry_daily_low_max,0.004,8668325.091,147.897094,40,8,0.2899068558
2020-09-23,slow_industry_daily_low_max,0.004,8679577.298,147.897094,40,8,0.2878767097
2020-09-24,slow_industry_daily_low_max,0.004,8475372.026,-2.910383046e-11,40,5,0.3607816586
2020-09-25,slow_industry_daily_low_max,0.004,8440418.44,-2.910383046e-11,40,5,0.3599828339
2020-09-28,slow_industry_daily_low_max,0.004,8419628.062,-2.910383046e-11,40,5,0.360873604
2020-09-29,slow_industry_daily_low_max,0.004,8424736.941,-2.910383046e-11,40,5,0.3606921136
2020-09-30,slow_industry_daily_low_max,0.004,8526727.672,-2.910383046e-11,40,5,0.3606717213
2020-10-09,slow_industry_daily_low_max,0.004,8775189.625,-2.910383046e-10,40,5,0.2493672056
2020-10-12,slow_industry_daily_low_max,0.004,9114503.641,-2.910383046e-10,40,5,0.2503831859
2020-10-13,slow_industry_daily_low_max,0.004,9222044.751,-2.910383046e-10,40,5,0.2505302082
2020-10-14,slow_industry_daily_low_max,0.004,9258440.802,-2.910383046e-10,40,5,0.2476223019
2020-10-15,slow_industry_daily_low_max,0.004,9148873.272,-2.910383046e-10,40,5,0.2469981447
2020-10-16,slow_industry_daily_low_max,0.004,9012103.781,2.328306437e-10,40,7,0.2124757218
2020-10-19,slow_industry_daily_low_max,0.004,8946678.995,2.328306437e-10,40,7,0.2116860555
2020-10-20,slow_industry_daily_low_max,0.004,9025977.414,2.328306437e-10,40,7,0.2114382968
2020-10-21,slow_industry_daily_low_max,0.004,8901777.371,2.328306437e-10,40,7,0.2099778672
2020-10-22,slow_industry_daily_low_max,0.004,8814819.557,2.328306437e-10,40,7,0.2103875398
2020-10-23,slow_industry_daily_low_max,0.004,8718323.456,69393.06614,40,10,0.1555690754
2020-10-26,slow_industry_daily_low_max,0.004,8704377.532,69393.06614,40,10,0.1566218355
2020-10-27,slow_industry_daily_low_max,0.004,8575214.373,69393.06614,40,10,0.1561065824
2020-10-28,slow_industry_daily_low_max,0.004,8669727.079,69393.06614,40,10,0.1560970511
2020-10-29,slow_industry_daily_low_max,0.004,8769692.342,69393.06614,40,10,0.1574425541
2020-10-30,slow_industry_daily_low_max,0.004,8575680.476,-5.820766091e-10,40,9,0.2264181763
2020-11-02,slow_industry_daily_low_max,0.004,8722922.634,-5.820766091e-10,40,9,0.2305571304
2020-11-03,slow_industry_daily_low_max,0.004,8785217.512,-5.820766091e-10,40,9,0.2261881696
2020-11-04,slow_industry_daily_low_max,0.004,8956407.681,-5.820766091e-10,40,9,0.2306002244
2020-11-05,slow_industry_daily_low_max,0.004,9300519.552,-5.820766091e-10,40,9,0.2364714014
2020-11-06,slow_industry_daily_low_max,0.004,9191189.875,0,40,11,0.1963774715
2020-11-09,slow_industry_daily_low_max,0.004,9241030.851,0,40,11,0.1952429037
2020-11-10,slow_industry_daily_low_max,0.004,9149005.389,0,40,11,0.1920347984
2020-11-11,slow_industry_daily_low_max,0.004,8871791.622,0,40,11,0.1863312586
2020-11-12,slow_industry_daily_low_max,0.004,8917952.41,0,40,11,0.1868274348
2020-11-13,slow_industry_daily_low_max,0.004,9045912.79,8.731149137e-11,40,10,0.2076815145
2020-11-16,slow_industry_daily_low_max,0.004,9098376.317,8.731149137e-11,40,10,0.2075423085
2020-11-17,slow_industry_daily_low_max,0.004,9218355.43,8.731149137e-11,40,10,0.2130652263
2020-11-18,slow_industry_daily_low_max,0.004,9288885.087,8.731149137e-11,40,10,0.2158790122
2020-11-19,slow_industry_daily_low_max,0.004,9210067.824,8.731149137e-11,40,10,0.2123631855
2020-11-20,slow_industry_daily_low_max,0.004,9536774.728,88322.93585,40,9,0.1605856844
2020-11-23,slow_industry_daily_low_max,0.004,9832860.876,88322.93585,40,9,0.1625492436
2020-11-24,slow_industry_daily_low_max,0.004,9970748.926,88322.93585,40,9,0.1628722719
2020-11-25,slow_industry_daily_low_max,0.004,9906394.009,88322.93585,40,9,0.1653295084
2020-11-26,slow_industry_daily_low_max,0.004,9701922.906,88322.93585,40,9,0.164811777
