symbol,trade_date,selection_hash,field,exact_match,aggregate_hex,scalar_hex
002786.SZ,2022-09-02,00000abfd4c97b9ab8b39661963a01f48bc93c2cff7c1c05aa9865d0051ed114,adverse_log_excursion_h1,True,-0x1.ee3f6801f56eep-7,-0x1.ee3f6801f56eep-7
002786.SZ,2022-09-02,00000abfd4c97b9ab8b39661963a01f48bc93c2cff7c1c05aa9865d0051ed114,adverse_log_excursion_h3,True,-0x1.ee3f6801f56eep-7,-0x1.ee3f6801f56eep-7
002786.SZ,2022-09-02,00000abfd4c97b9ab8b39661963a01f48bc93c2cff7c1c05aa9865d0051ed114,adverse_log_excursion_h5,True,-0x1.ee3f6801f56eep-7,-0x1.ee3f6801f56eep-7
002561.SZ,2023-03-20,00000f0aa4cf1cdc01e29b4006b6d949b6a52b0c28bde0a2b2f49ff969dff9d2,coordinate_close_t,True,0x1.ec20199a79db4p-1,0x1.ec20199a79db4p-1
002561.SZ,2023-03-20,00000f0aa4cf1cdc01e29b4006b6d949b6a52b0c28bde0a2b2f49ff969dff9d2,coordinate_close_t1,True,0x1.f9bd50de7cb3fp-1,0x1.f9bd50de7cb3fp-1
002561.SZ,2023-03-20,00000f0aa4cf1cdc01e29b4006b6d949b6a52b0c28bde0a2b2f49ff969dff9d2,coordinate_close_t3,True,0x1.f2ae2abb38db6p-1,0x1.f2ae2abb38db6p-1
002561.SZ,2023-03-20,00000f0aa4cf1cdc01e29b4006b6d949b6a52b0c28bde0a2b2f49ff969dff9d2,coordinate_close_t5,True,0x1.ee246da48d3ddp-1,0x1.ee246da48d3ddp-1
002561.SZ,2023-03-20,00000f0aa4cf1cdc01e29b4006b6d949b6a52b0c28bde0a2b2f49ff969dff9d2,mapped_low_t1,True,0x1.ea1bc5906678ep-1,0x1.ea1bc5906678ep-1
002561.SZ,2023-03-20,00000f0aa4cf1cdc01e29b4006b6d949b6a52b0c28bde0a2b2f49ff969dff9d2,mapped_low_t2,True,0x1.f4b27ec54c3ddp-1,0x1.f4b27ec54c3ddp-1
002561.SZ,2023-03-20,00000f0aa4cf1cdc01e29b4006b6d949b6a52b0c28bde0a2b2f49ff969dff9d2,mapped_low_t3,True,0x1.f028c1aea0a04p-1,0x1.f028c1aea0a04p-1
002561.SZ,2023-03-20,00000f0aa4cf1cdc01e29b4006b6d949b6a52b0c28bde0a2b2f49ff969dff9d2,mapped_low_t4,True,0x1.f22d15b8b402cp-1,0x1.f22d15b8b402cp-1
002561.SZ,2023-03-20,00000f0aa4cf1cdc01e29b4006b6d949b6a52b0c28bde0a2b2f49ff969dff9d2,mapped_low_t5,True,0x1.ea1bc5906678ep-1,0x1.ea1bc5906678ep-1
002561.SZ,2023-03-20,00000f0aa4cf1cdc01e29b4006b6d949b6a52b0c28bde0a2b2f49ff969dff9d2,terminal_log_return_h1,True,0x1.bf17034e0311fp-6,0x1.bf17034e0311fp-6
002561.SZ,2023-03-20,00000f0aa4cf1cdc01e29b4006b6d949b6a52b0c28bde0a2b2f49ff969dff9d2,terminal_log_return_h3,True,0x1.b193ec78df886p-7,0x1.b193ec78df886p-7
002561.SZ,2023-03-20,00000f0aa4cf1cdc01e29b4006b6d949b6a52b0c28bde0a2b2f49ff969dff9d2,terminal_log_return_h5,True,0x1.0c0a90e57c01cp-8,0x1.0c0a90e57c01cp-8
002561.SZ,2023-03-20,00000f0aa4cf1cdc01e29b4006b6d949b6a52b0c28bde0a2b2f49ff969dff9d2,adverse_log_excursion_h1,True,-0x1.0d245e2daed0cp-8,-0x1.0d245e2daed0cp-8
002561.SZ,2023-03-20,00000f0aa4cf1cdc01e29b4006b6d949b6a52b0c28bde0a2b2f49ff969dff9d2,adverse_log_excursion_h3,True,-0x1.0d245e2daed0cp-8,-0x1.0d245e2daed0cp-8
002561.SZ,2023-03-20,00000f0aa4cf1cdc01e29b4006b6d949b6a52b0c28bde0a2b2f49ff969dff9d2,adverse_log_excursion_h5,True,-0x1.0d245e2daed0cp-8,-0x1.0d245e2daed0cp-8
