section,sample_type,representation,period,horizon,quintile,count,dates,securities,industries,mean_net_return,median_net_return,positive_return_fraction,mean_industry_relative,median_industry_relative,mean_broad_relative,severe_loss_fraction,mean_mae_h20,control,tercile,q5_count,q1_count,q5_mean_industry_relative,q1_mean_industry_relative,q5_minus_q1_industry_relative,absolute_bin,relative_bin
raw,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,20,4,6115,666,2431,112,0.00307889833344,-0.021809690101,0.431561733442,0.00118928648643,-0.00369616805971,0.00259010595487,0.267048242028,-0.110540563821,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,20,5,6398,667,2340,113,-0.00901477963193,-0.0358792440801,0.404345107846,-0.0104345835485,-0.0145431895014,-0.0100035069595,0.326195686152,-0.127943067638,,,,,,,,,
raw_spread,SHOCK,RECOVERY_FRACTION_3,early_2018_2021,20,Q5-Q1,5848,667,,,-0.00469599286165,-0.00774954066349,-0.0116945638364,-0.00767775488781,-0.00829702931622,-0.00519947141166,0.0590958229508,-0.0154376273449,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,1,1,3702,471,2073,114,-0.000627983611293,-0.00121103548854,0.481091301999,0.00110429463097,0.000497631914355,0.00131937825492,0.00270124257158,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,1,2,3882,471,2171,117,-0.00260245015631,-0.00295502535712,0.455950540958,-0.000593187087512,-0.000367461656974,-0.000630317235844,0.00309119010819,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,1,3,3890,471,2144,113,-0.00207976562317,-0.00375321921948,0.450128534704,0.000332445840514,-9.04128061259e-05,-8.06616557938e-05,0.0025706940874,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,1,4,3882,471,2118,115,-0.00252586545918,-0.00399201596806,0.440752189593,-0.000328630092769,-0.000750924248743,-0.000562499830299,0.0043791859866,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,1,5,4084,471,2061,112,-0.00111943695666,-0.00490662462178,0.440744368266,0.00046862165757,-0.000661468254109,0.000962547501738,0.0105288932419,,,,,,,,,,
raw_spread,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,1,Q5-Q1,3702,471,,,-0.000491453345368,-0.00369558913324,-0.0403469337325,-0.000635672973398,-0.00115910016846,-0.000356830753182,0.00782765067034,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,3,1,3682,469,2066,114,-0.00202015245365,-0.00716786970748,0.446224877784,0.000475349981198,-0.000984196090654,0.00112643099115,0.0404671374253,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,3,2,3861,469,2166,117,-0.00189944034538,-0.00703094193002,0.445998445998,0.00100521738253,0,0.00120943807967,0.040922040922,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,3,3,3868,469,2139,113,-0.00377116384514,-0.00785051900178,0.437435367115,-8.02311430674e-05,-0.00102358392489,-0.000536844327313,0.037487073423,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,3,4,3857,469,2111,115,-0.004579951866,-0.00823636817274,0.43557168784,-0.00121596006188,-0.00135989140037,-0.00150215232029,0.0484832771584,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,3,5,4060,469,2056,112,-0.00383847076604,-0.00840590564199,0.448275862069,-0.00046251381505,-0.00205720627402,-0.000497506138873,0.0834975369458,,,,,,,,,,
raw_spread,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,3,Q5-Q1,3682,469,,,-0.00181831831239,-0.00123803593451,0.00205098428515,-0.000937863796248,-0.00107301018337,-0.00162393713002,0.0430303995205,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,5,1,3665,467,2062,114,-0.00327655000293,-0.00895139182216,0.439563437926,0.000386088572753,-0.00030864264908,0.00110969316641,0.0859481582538,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,5,2,3849,467,2161,117,-0.00313741884508,-0.00922315033798,0.444531047025,0.00163979090442,-0.000176647324456,0.0010734659247,0.0820992465575,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,5,3,3856,467,2137,113,-0.0033522889929,-0.00993251535703,0.441908713693,0.00125974282257,-9.71381910995e-05,0.000864909523281,0.0772821576763,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,5,4,3844,467,2105,115,-0.00580420397478,-0.0112665320947,0.433662851197,-0.0018954413598,-0.00193990683943,-0.00160600847469,0.0944328824142,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,5,5,4046,467,2051,112,-0.00614240928596,-0.0138502859152,0.429560059318,-0.00165072152158,-0.00428497999869,-0.0016351443168,0.137666831438,,,,,,,,,,
raw_spread,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,5,Q5-Q1,3665,467,,,-0.00286585928303,-0.00489889409302,-0.0100033786085,-0.00203681009433,-0.00397633734961,-0.00274483748321,0.0517186731847,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,10,1,3631,462,2050,114,-0.00633151174039,-0.0162554975702,0.427155053704,0.000547195401608,-0.0015511808854,0.00256935766704,0.169650234095,,,,,,,,,,
raw,SHOCK,RECOVERY_FRACTION_3,late_2022_2023,10,2,3812,462,2145,117,-0.00483134528393,-0.016859944385,0.427859391396,0.00258438732908,0.000716283219465,0.00367705757605,0.16500524659,,,,,,,,,,
