scope,period,cell_id,horizon,bucket,n,absolute_mean,absolute_median,absolute_positive_rate,industry_relative_mean,industry_relative_median,severe_loss_incidence
FULL,2018_2023,ABS_m06_REL_m04_W5,20,5,5814,-0.0196015763524,-0.0441446838168,0.389748882009,-0.00441066286967,0,0.590299277606
FULL,2018_2023,ABS_m08_REL_m02_W2,1,1,3449,0.0018606695125,8.10413640369e-05,0.50159466512,0.000847723383357,0,
FULL,2018_2023,ABS_m08_REL_m02_W2,1,2,3708,-0.000463199825502,-0.00124726292729,0.484627831715,-8.4404693273e-05,0,
FULL,2018_2023,ABS_m08_REL_m02_W2,1,3,3743,-0.000573361507649,-0.00100399201597,0.482767833289,-0.00020168120807,0,
FULL,2018_2023,ABS_m08_REL_m02_W2,1,4,3709,-0.000921029206726,-0.00308214265744,0.462928012941,-0.000505100432105,0,
FULL,2018_2023,ABS_m08_REL_m02_W2,1,5,4043,5.17597771456e-05,-0.00338800870061,0.465001236705,4.32473854577e-06,0,
FULL,2018_2023,ABS_m08_REL_m02_W2,3,1,3440,0.00237664705185,-0.00191837478597,0.486627906977,-3.26440487675e-06,0,
FULL,2018_2023,ABS_m08_REL_m02_W2,3,2,3701,0.00286766350336,0.000100864463875,0.50067549311,0.000249654497657,0,
FULL,2018_2023,ABS_m08_REL_m02_W2,3,3,3734,0.00408289836506,-8.32640024244e-05,0.498928762721,0.000545950710928,0,
FULL,2018_2023,ABS_m08_REL_m02_W2,3,4,3701,0.00181826389789,-0.00210205774409,0.485814644691,-0.000182579604861,0,
FULL,2018_2023,ABS_m08_REL_m02_W2,3,5,4032,0.00275198400034,-0.00417376924982,0.474206349206,-0.000564383576406,0,
FULL,2018_2023,ABS_m08_REL_m02_W2,5,1,3429,0.00395700649577,-0.00399201596806,0.480023330417,0.000431605963103,0,
FULL,2018_2023,ABS_m08_REL_m02_W2,5,2,3690,0.00446440859944,-0.00232365620491,0.486449864499,-2.76000706809e-05,0,
FULL,2018_2023,ABS_m08_REL_m02_W2,5,3,3724,0.00659714241228,-0.000116439843182,0.499462943072,0.00115549626744,0,
FULL,2018_2023,ABS_m08_REL_m02_W2,5,4,3687,0.00552471556954,-0.00197171579761,0.48847301329,0.00095456602148,0,
FULL,2018_2023,ABS_m08_REL_m02_W2,5,5,4021,0.00286255825968,-0.00618683303292,0.475006217359,-0.00228815856947,0,
FULL,2018_2023,ABS_m08_REL_m02_W2,10,1,3414,0.000746767885457,-0.0136581636194,0.437902753368,0.000165685304279,0,
FULL,2018_2023,ABS_m08_REL_m02_W2,10,2,3679,0.00415305036588,-0.0133961457812,0.447675998913,0.00132475478681,0,
FULL,2018_2023,ABS_m08_REL_m02_W2,10,3,3709,0.00557102553576,-0.00606991857731,0.472364518738,0.00147546301724,0,
FULL,2018_2023,ABS_m08_REL_m02_W2,10,4,3675,0.00160037367261,-0.0095161867059,0.460680272109,0.000522359224513,0,
FULL,2018_2023,ABS_m08_REL_m02_W2,10,5,4005,-0.00342913390121,-0.0179629052824,0.431460674157,-0.0032038913784,0,
FULL,2018_2023,ABS_m08_REL_m02_W2,20,1,3395,-4.07413515153e-05,-0.0226406760946,0.437113402062,-0.000658026047312,0,0.520471281296
FULL,2018_2023,ABS_m08_REL_m02_W2,20,2,3656,0.00737764757946,-0.0189275864685,0.446115973742,0.00214200673002,0,0.486323851204
FULL,2018_2023,ABS_m08_REL_m02_W2,20,3,3681,0.00554785429991,-0.0165116693986,0.44851942407,0.00257782921339,0,0.463732681337
FULL,2018_2023,ABS_m08_REL_m02_W2,20,4,3656,0.000780502299319,-0.0195162041125,0.443654266958,0.00221764007487,0,0.501914660832
FULL,2018_2023,ABS_m08_REL_m02_W2,20,5,3968,-0.00807044839652,-0.0365059168392,0.409274193548,-0.00584522671939,0,0.563004032258
FULL,2018_2023,ABS_m08_REL_m02_W3,1,1,3352,0.000246265974882,2.71741720549e-05,0.500298329356,0.000825684980769,0,
FULL,2018_2023,ABS_m08_REL_m02_W3,1,2,3612,-0.00050031799396,-0.00101037837041,0.484496124031,1.29523609386e-05,0,
FULL,2018_2023,ABS_m08_REL_m02_W3,1,3,3654,-0.00112424858243,-0.00223580954677,0.471538040504,-0.000494732527283,0,
FULL,2018_2023,ABS_m08_REL_m02_W3,1,4,3612,-0.00088834276718,-0.00225376096205,0.46650055371,-0.000123003938674,0,
FULL,2018_2023,ABS_m08_REL_m02_W3,1,5,3938,-0.000789397630971,-0.00330051377222,0.460893854749,-0.00014282303252,0,
FULL,2018_2023,ABS_m08_REL_m02_W3,3,1,3338,0.000596542890424,-0.00426379569344,0.473037747154,0.000573807627725,0,
FULL,2018_2023,ABS_m08_REL_m02_W3,3,2,3599,0.000771575581165,-0.00286869869284,0.477076965824,0.000443327333986,0,
FULL,2018_2023,ABS_m08_REL_m02_W3,3,3,3641,0.000117041586982,-0.00399201596806,0.47020049437,-0.000523933924704,0,
FULL,2018_2023,ABS_m08_REL_m02_W3,3,4,3593,0.000660994608236,-0.00399201596806,0.466184247147,-5.09449567407e-05,0,
FULL,2018_2023,ABS_m08_REL_m02_W3,3,5,3923,0.00113893243062,-0.00515467120234,0.471832781035,-0.000362023014771,0,
FULL,2018_2023,ABS_m08_REL_m02_W3,5,1,3332,0.000125705149809,-0.00737845385828,0.455282112845,5.05907066528e-05,0,
FULL,2018_2023,ABS_m08_REL_m02_W3,5,2,3596,0.00411835136711,-0.00534579978744,0.469688542825,0.00116294383783,0,
FULL,2018_2023,ABS_m08_REL_m02_W3,5,3,3639,0.00195300459058,-0.00399201596806,0.473206924979,0.0001170961036,0,
FULL,2018_2023,ABS_m08_REL_m02_W3,5,4,3590,0.0044128979986,-0.00262104249251,0.48356545961,0.000899480564272,0,
FULL,2018_2023,ABS_m08_REL_m02_W3,5,5,3919,3.4221726116e-06,-0.0100517990568,0.451900995152,-0.0020428074055,0,
FULL,2018_2023,ABS_m08_REL_m02_W3,10,1,3323,-0.00199355734935,-0.0164421157685,0.428528438158,-1.31458332613e-05,0,
FULL,2018_2023,ABS_m08_REL_m02_W3,10,2,3584,0.000719556538022,-0.0143780225703,0.439174107143,0.00163744149595,0,
FULL,2018_2023,ABS_m08_REL_m02_W3,10,3,3625,0.00131974618089,-0.0117244254559,0.452689655172,0.00153656592129,0,
FULL,2018_2023,ABS_m08_REL_m02_W3,10,4,3579,-0.000980211029884,-0.0121411722011,0.449566918134,-0.000196143568181,0,
FULL,2018_2023,ABS_m08_REL_m02_W3,10,5,3908,-0.00542288455364,-0.0222103466245,0.424002047083,-0.00273617204497,0,
FULL,2018_2023,ABS_m08_REL_m02_W3,20,1,3302,-0.00553429879483,-0.0292111204824,0.413688673531,-0.00094233363826,0,0.516656571775
FULL,2018_2023,ABS_m08_REL_m02_W3,20,2,3561,0.00395668574499,-0.0209908880091,0.440325751193,0.0030849819291,0,0.48301039034
FULL,2018_2023,ABS_m08_REL_m02_W3,20,3,3600,0.00312303680392,-0.0201693200004,0.439722222222,0.00303944022185,0,0.481388888889
FULL,2018_2023,ABS_m08_REL_m02_W3,20,4,3551,-0.00155847172328,-0.0229756497171,0.430301323571,0.00113617122915,0,0.494226978316
FULL,2018_2023,ABS_m08_REL_m02_W3,20,5,3874,-0.0133631182711,-0.0418302324559,0.392101187403,-0.00589844187128,0,0.582085699535
FULL,2018_2023,ABS_m08_REL_m02_W5,1,1,3179,-0.00149598380882,-0.00192775071618,0.470588235294,-9.21824304879e-07,0,
FULL,2018_2023,ABS_m08_REL_m02_W5,1,2,3421,-0.00200484238825,-0.00276540515029,0.458637825197,0.000174995291039,0,
FULL,2018_2023,ABS_m08_REL_m02_W5,1,3,3449,-0.00246558568689,-0.00287164703214,0.455494346187,-0.000402760271851,0,
FULL,2018_2023,ABS_m08_REL_m02_W5,1,4,3422,-0.00164705520372,-0.00399201596806,0.448275862069,-0.000299851655272,0,
FULL,2018_2023,ABS_m08_REL_m02_W5,1,5,3744,-0.000411429847338,-0.00364943654932,0.460737179487,0.000485973325528,0,
FULL,2018_2023,ABS_m08_REL_m02_W5,3,1,3174,-0.000622237113824,-0.00630033907028,0.456836798992,-0.00016039930136,0,
FULL,2018_2023,ABS_m08_REL_m02_W5,3,2,3419,0.000740070646344,-0.00399201596806,0.468265574729,0.00104527250546,0,
FULL,2018_2023,ABS_m08_REL_m02_W5,3,3,3447,0.00018919573418,-0.00399201596806,0.467072816942,0.000864376354229,0,
FULL,2018_2023,ABS_m08_REL_m02_W5,3,4,3420,0.000228571701927,-0.00509885684877,0.461695906433,-0.000538936910239,0,
FULL,2018_2023,ABS_m08_REL_m02_W5,3,5,3739,-0.00164443055921,-0.00814782118656,0.444503878042,-0.00112356789881,0,
FULL,2018_2023,ABS_m08_REL_m02_W5,5,1,3171,-0.00243715218839,-0.00909974921951,0.440555029959,-0.00049109643645,0,
FULL,2018_2023,ABS_m08_REL_m02_W5,5,2,3413,0.00109417968014,-0.00689825018575,0.454731907413,0.00212421498396,0,
FULL,2018_2023,ABS_m08_REL_m02_W5,5,3,3438,-0.00123697564395,-0.00803973037763,0.452879581152,0.000411885134276,0,
FULL,2018_2023,ABS_m08_REL_m02_W5,5,4,3416,-0.00116265984043,-0.00986286435879,0.447014051522,-0.00053463817119,0,
FULL,2018_2023,ABS_m08_REL_m02_W5,5,5,3732,-0.00311724337683,-0.0107258769371,0.450160771704,-0.00141543838133,0,
FULL,2018_2023,ABS_m08_REL_m02_W5,10,1,3163,-0.00091812336272,-0.0132524207783,0.442301612393,-0.000615996089006,0,
FULL,2018_2023,ABS_m08_REL_m02_W5,10,2,3406,0.00165683863073,-0.0116582193928,0.440399295361,0.00226076274669,0,
FULL,2018_2023,ABS_m08_REL_m02_W5,10,3,3430,-0.00183155649361,-0.0159401622393,0.430903790087,0.00122801947114,0,
FULL,2018_2023,ABS_m08_REL_m02_W5,10,4,3410,-0.00204569385322,-0.013524208097,0.439589442815,-0.000813636115046,0,
FULL,2018_2023,ABS_m08_REL_m02_W5,10,5,3726,-0.00484036285211,-0.0202756461418,0.431025228127,-0.00192951420273,0,
FULL,2018_2023,ABS_m08_REL_m02_W5,20,1,3141,-0.0036512423282,-0.0238790306243,0.429481056988,-0.0008926747168,0,0.499840815027
FULL,2018_2023,ABS_m08_REL_m02_W5,20,2,3377,0.00435162213133,-0.0194231255798,0.444477346757,0.00385491498285,0,0.467870891324
FULL,2018_2023,ABS_m08_REL_m02_W5,20,3,3400,-0.00140992157821,-0.0246719299271,0.427941176471,0.00306486972667,0,0.487352941176
FULL,2018_2023,ABS_m08_REL_m02_W5,20,4,3379,-0.00304975218214,-0.0251145343896,0.429121041728,-0.00097522034736,0,0.509026339154
FULL,2018_2023,ABS_m08_REL_m02_W5,20,5,3688,-0.0141315641146,-0.0410922790064,0.405639913232,-0.00470158463356,0,0.57510845987
FULL,2018_2023,ABS_m08_REL_m04_W2,1,1,2821,0.00280662399778,0.000858672265858,0.512584190004,0.00120801914739,0,
FULL,2018_2023,ABS_m08_REL_m04_W2,1,2,3088,-0.000366322323486,-0.00151675897217,0.482189119171,-4.84856564455e-05,0,
FULL,2018_2023,ABS_m08_REL_m04_W2,1,3,3120,-0.00102738210244,-0.00143577745314,0.476282051282,-0.000624254886691,0,
FULL,2018_2023,ABS_m08_REL_m04_W2,1,4,3089,-0.00123517230724,-0.00365990260226,0.457753318226,-0.000418136161262,0,
FULL,2018_2023,ABS_m08_REL_m04_W2,1,5,3408,-6.14656143232e-05,-0.00399201596806,0.460387323944,-5.51656663241e-06,0,
