trade_date,market_view,denominator,eligible_count,minimum_required,gate_pass
2018-04-09,CHINEXT_BOARD,NON_ST,640,200,True
2018-04-09,SH_A,ALL_STATUS,1228,400,True
2018-04-09,SH_A,NON_ST,1205,400,True
2018-04-09,SZ_A,ALL_STATUS,1813,400,True
2018-04-09,SZ_A,NON_ST,1796,400,True
2018-04-10,ALL_A,ALL_STATUS,3044,1000,True
2018-04-10,ALL_A,NON_ST,3004,1000,True
2018-04-10,CHINEXT_BOARD,ALL_STATUS,640,200,True
2018-04-10,CHINEXT_BOARD,NON_ST,640,200,True
2018-04-10,SH_A,ALL_STATUS,1231,400,True
2018-04-10,SH_A,NON_ST,1208,400,True
2018-04-10,SZ_A,ALL_STATUS,1813,400,True
2018-04-10,SZ_A,NON_ST,1796,400,True
2018-04-11,ALL_A,ALL_STATUS,3046,1000,True
2018-04-11,ALL_A,NON_ST,3008,1000,True
2018-04-11,CHINEXT_BOARD,ALL_STATUS,639,200,True
2018-04-11,CHINEXT_BOARD,NON_ST,639,200,True
2018-04-11,SH_A,ALL_STATUS,1232,400,True
2018-04-11,SH_A,NON_ST,1211,400,True
2018-04-11,SZ_A,ALL_STATUS,1814,400,True
2018-04-11,SZ_A,NON_ST,1797,400,True
2018-04-12,ALL_A,ALL_STATUS,3052,1000,True
2018-04-12,ALL_A,NON_ST,3014,1000,True
2018-04-12,CHINEXT_BOARD,ALL_STATUS,642,200,True
2018-04-12,CHINEXT_BOARD,NON_ST,642,200,True
2018-04-12,SH_A,ALL_STATUS,1234,400,True
2018-04-12,SH_A,NON_ST,1213,400,True
2018-04-12,SZ_A,ALL_STATUS,1818,400,True
2018-04-12,SZ_A,NON_ST,1801,400,True
2018-04-13,ALL_A,ALL_STATUS,3052,1000,True
2018-04-13,ALL_A,NON_ST,3015,1000,True
2018-04-13,CHINEXT_BOARD,ALL_STATUS,642,200,True
2018-04-13,CHINEXT_BOARD,NON_ST,642,200,True
2018-04-13,SH_A,ALL_STATUS,1235,400,True
2018-04-13,SH_A,NON_ST,1214,400,True
2018-04-13,SZ_A,ALL_STATUS,1817,400,True
2018-04-13,SZ_A,NON_ST,1801,400,True
2018-04-16,ALL_A,ALL_STATUS,3048,1000,True
2018-04-16,ALL_A,NON_ST,3011,1000,True
2018-04-16,CHINEXT_BOARD,ALL_STATUS,642,200,True
2018-04-16,CHINEXT_BOARD,NON_ST,642,200,True
2018-04-16,SH_A,ALL_STATUS,1231,400,True
2018-04-16,SH_A,NON_ST,1210,400,True
2018-04-16,SZ_A,ALL_STATUS,1817,400,True
2018-04-16,SZ_A,NON_ST,1801,400,True
2018-04-17,ALL_A,ALL_STATUS,3045,1000,True
2018-04-17,ALL_A,NON_ST,3008,1000,True
2018-04-17,CHINEXT_BOARD,ALL_STATUS,643,200,True
2018-04-17,CHINEXT_BOARD,NON_ST,643,200,True
2018-04-17,SH_A,ALL_STATUS,1226,400,True
2018-04-17,SH_A,NON_ST,1205,400,True
2018-04-17,SZ_A,ALL_STATUS,1819,400,True
2018-04-17,SZ_A,NON_ST,1803,400,True
2018-04-18,ALL_A,ALL_STATUS,3040,1000,True
2018-04-18,ALL_A,NON_ST,3004,1000,True
2018-04-18,CHINEXT_BOARD,ALL_STATUS,644,200,True
2018-04-18,CHINEXT_BOARD,NON_ST,644,200,True
2018-04-18,SH_A,ALL_STATUS,1222,400,True
2018-04-18,SH_A,NON_ST,1201,400,True
2018-04-18,SZ_A,ALL_STATUS,1818,400,True
2018-04-18,SZ_A,NON_ST,1803,400,True
2018-04-19,ALL_A,ALL_STATUS,3042,1000,True
2018-04-19,ALL_A,NON_ST,3005,1000,True
2018-04-19,CHINEXT_BOARD,ALL_STATUS,641,200,True
2018-04-19,CHINEXT_BOARD,NON_ST,641,200,True
2018-04-19,SH_A,ALL_STATUS,1225,400,True
2018-04-19,SH_A,NON_ST,1203,400,True
2018-04-19,SZ_A,ALL_STATUS,1817,400,True
2018-04-19,SZ_A,NON_ST,1802,400,True
2018-04-20,ALL_A,ALL_STATUS,3039,1000,True
2018-04-20,ALL_A,NON_ST,3002,1000,True
2018-04-20,CHINEXT_BOARD,ALL_STATUS,642,200,True
2018-04-20,CHINEXT_BOARD,NON_ST,642,200,True
2018-04-20,SH_A,ALL_STATUS,1224,400,True
2018-04-20,SH_A,NON_ST,1202,400,True
2018-04-20,SZ_A,ALL_STATUS,1815,400,True
2018-04-20,SZ_A,NON_ST,1800,400,True
2018-04-23,ALL_A,ALL_STATUS,3044,1000,True
2018-04-23,ALL_A,NON_ST,3006,1000,True
2018-04-23,CHINEXT_BOARD,ALL_STATUS,644,200,True
2018-04-23,CHINEXT_BOARD,NON_ST,644,200,True
2018-04-23,SH_A,ALL_STATUS,1223,400,True
2018-04-23,SH_A,NON_ST,1201,400,True
2018-04-23,SZ_A,ALL_STATUS,1821,400,True
2018-04-23,SZ_A,NON_ST,1805,400,True
2018-04-24,ALL_A,ALL_STATUS,3045,1000,True
2018-04-24,ALL_A,NON_ST,3005,1000,True
2018-04-24,CHINEXT_BOARD,ALL_STATUS,646,200,True
2018-04-24,CHINEXT_BOARD,NON_ST,646,200,True
2018-04-24,SH_A,ALL_STATUS,1222,400,True
2018-04-24,SH_A,NON_ST,1198,400,True
2018-04-24,SZ_A,ALL_STATUS,1823,400,True
2018-04-24,SZ_A,NON_ST,1807,400,True
2018-04-25,ALL_A,ALL_STATUS,3049,1000,True
2018-04-25,ALL_A,NON_ST,3007,1000,True
2018-04-25,CHINEXT_BOARD,ALL_STATUS,646,200,True
2018-04-25,CHINEXT_BOARD,NON_ST,646,200,True
