cohort_id,industry,decision_date,rank_correlation,selection_overlap,changed_fraction,replacements_requested
2018-07-30,非白酒,2018-08-14,1,1,0,0
2018-07-30,非白酒,2018-08-15,0.9428571429,1,0,0
2018-07-30,非白酒,2018-08-16,1,1,0,0
2018-07-30,非白酒,2018-08-17,1,1,0,0
2018-07-30,非白酒,2018-08-20,1,1,0,0
2018-07-30,非白酒,2018-08-21,1,1,0,0
2018-07-30,非白酒,2018-08-22,1,1,0,0
2018-07-30,非白酒,2018-08-23,0.9428571429,1,0,0
2018-07-30,非白酒,2018-08-24,0.9428571429,1,0,0
2018-08-06,普钢,2018-08-07,0.9823529412,1,0,0
2018-08-06,普钢,2018-08-08,1,1,0,0
2018-08-06,普钢,2018-08-09,1,1,0,0
2018-08-06,普钢,2018-08-10,1,1,0,0
2018-08-06,普钢,2018-08-13,0.9970588235,1,0,0
2018-08-06,普钢,2018-08-14,1,0.9,0.1,1
2018-08-06,普钢,2018-08-15,1,1,0,0
2018-08-06,普钢,2018-08-16,1,1,0,0
2018-08-06,普钢,2018-08-17,1,1,0,0
2018-08-06,普钢,2018-08-20,0.7426470588,0.9,0.1,1
2018-08-06,普钢,2018-08-21,0.7647058824,0.7,0.3,3
2018-08-06,普钢,2018-08-22,0.9852941176,1,0,0
2018-08-06,普钢,2018-08-23,1,0.9,0.1,1
2018-08-06,普钢,2018-08-24,0.9058823529,0.9,0.1,1
2018-08-06,普钢,2018-08-27,1,1,0,0
2018-08-06,普钢,2018-08-28,1,1,0,0
2018-08-06,普钢,2018-08-29,1,1,0,0
2018-08-06,普钢,2018-08-30,0.9705882353,0.9,0.1,1
2018-08-06,普钢,2018-08-31,1,1,0,0
2018-08-13,基础建设,2018-08-14,1,1,0,0
2018-08-13,基础建设,2018-08-15,1,1,0,0
2018-08-13,基础建设,2018-08-16,1,0,1,1
2018-08-13,基础建设,2018-08-17,1,1,0,0
2018-08-13,基础建设,2018-08-20,0.9975490196,1,0,0
2018-08-13,基础建设,2018-08-21,0.5980392157,1,0,0
2018-08-13,基础建设,2018-08-22,0.8235294118,1,0,0
2018-08-13,基础建设,2018-08-23,0.5382352941,1,0,0
2018-08-13,基础建设,2018-08-24,0.931372549,1,0,0
2018-08-13,基础建设,2018-08-27,1,1,0,0
2018-08-13,基础建设,2018-08-28,1,0,1,1
2018-08-13,基础建设,2018-08-29,0.8588235294,0,1,1
2018-08-13,基础建设,2018-08-30,0.9411764706,1,0,0
2018-08-13,基础建设,2018-08-31,1,1,0,0
2018-08-13,基础建设,2018-09-03,0.9785714286,1,0,0
2018-08-13,基础建设,2018-09-04,0.4428571429,0,1,1
2018-08-13,基础建设,2018-09-05,1,1,0,0
2018-08-13,基础建设,2018-09-06,0.9076923077,1,0,0
2018-08-13,基础建设,2018-09-07,0.8041958042,1,0,0
2018-08-13,工程机械,2018-08-14,1,1,0,0
2018-08-13,工程机械,2018-08-15,1,1,0,0
2018-08-13,工程机械,2018-08-16,1,1,0,0
2018-08-13,工程机械,2018-08-17,1,1,0,0
2018-08-13,工程机械,2018-08-20,0.7857142857,0.75,0.25,1
2018-08-13,工程机械,2018-08-21,1,1,0,0
2018-08-13,工程机械,2018-08-22,0.9642857143,1,0,0
2018-08-13,工程机械,2018-08-23,1,1,0,0
2018-08-13,工程机械,2018-08-24,1,1,0,0
2018-08-13,工程机械,2018-08-27,1,1,0,0
2018-08-13,工程机械,2018-08-28,1,1,0,0
2018-08-13,工程机械,2018-08-29,1,1,0,0
2018-08-13,工程机械,2018-08-30,1,1,0,0
2018-08-13,工程机械,2018-08-31,1,1,0,0
2018-08-13,工程机械,2018-09-03,1,1,0,0
2018-08-13,工程机械,2018-09-04,0.03571428571,0.5,0.5,2
2018-08-13,工程机械,2018-09-05,1,1,0,0
2018-08-13,工程机械,2018-09-06,1,1,0,0
2018-08-13,工程机械,2018-09-07,,1,0,0
2018-08-13,普钢,2018-08-14,1,0.8,0.2,1
2018-08-13,普钢,2018-08-15,1,1,0,0
2018-08-13,普钢,2018-08-16,1,1,0,0
2018-08-13,普钢,2018-08-17,1,1,0,0
2018-08-13,普钢,2018-08-20,0.7426470588,0.8,0.2,1
2018-08-13,普钢,2018-08-21,0.7647058824,0.4,0.6,3
2018-08-13,普钢,2018-08-22,0.9852941176,0.8,0.2,1
2018-08-13,普钢,2018-08-23,1,0.8,0.2,1
2018-08-13,普钢,2018-08-24,0.9058823529,0.6,0.4,2
2018-08-13,普钢,2018-08-27,1,1,0,0
2018-08-13,普钢,2018-08-28,1,1,0,0
2018-08-13,普钢,2018-08-29,1,1,0,0
2018-08-13,普钢,2018-08-30,0.9705882353,1,0,0
2018-08-13,普钢,2018-08-31,1,1,0,0
2018-08-13,普钢,2018-09-03,1,1,0,0
2018-08-13,普钢,2018-09-04,0.8,0.8,0.2,1
2018-08-13,普钢,2018-09-05,0.9382352941,0.8,0.2,1
2018-08-13,普钢,2018-09-06,1,1,0,0
2018-08-13,普钢,2018-09-07,0.9964285714,0.8,0.2,1
