selection_hash,closing_arm,symbol,trade_date,field,expected_value,observed_value,exact_match
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,trough_open_h1,0.80487804878048885,0.80487804878048885,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,trough_open_h3,0.81061692969870991,0.81061692969870991,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,trough_open_h5,0.81061692969870991,0.81061692969870991,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,trough_session_intraday_h1,-0.0053619431413855423,-0.0053619431413855423,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,trough_session_intraday_h3,-0.01605743689585884,-0.01605743689585884,True
0000aaf309e80193c984d0408b13eca21ee55e47ef86aa1a61593768982a2c4f,accepted,000702.SZ,2020-07-03,trough_session_intraday_h5,-0.01605743689585884,-0.01605743689585884,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,adverse_log_excursion_h1,-0.012500162764231382,-0.012500162764231382,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,adverse_log_excursion_h3,-0.039270403828836356,-0.039270403828836356,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,adverse_log_excursion_h5,-0.045751307912919391,-0.045751307912919391,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,closing_arm,accepted,accepted,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,coordinate_close_t,0.87785283219873644,0.87785283219873644,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,coordinate_close_t1,0.86912882889738252,0.86912882889738252,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,coordinate_close_t3,0.84622832023132843,0.84622832023132843,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,coordinate_close_t5,0.85059032188200545,0.85059032188200545,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,mapped_low_t1,0.86694782807204418,0.86694782807204418,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,mapped_low_t2,0.85059032188200545,0.85059032188200545,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,mapped_low_t3,0.84404731940598998,0.84404731940598998,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,mapped_low_t4,0.83859481734264396,0.83859481734264396,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,mapped_low_t5,0.83859481734264385,0.83859481734264385,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,mapped_open_t1,0.88330533426208269,0.88330533426208269,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,mapped_open_t2,0.86694782807204407,0.86694782807204407,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,mapped_open_t3,0.85931432518335926,0.85931432518335926,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,mapped_open_t4,0.85822382477069026,0.85822382477069026,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,mapped_open_t5,0.83968531775531308,0.83968531775531308,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,post_trough_recovery_h1,0.0025125641358830757,0.0025125641358830757,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,post_trough_recovery_h3,0.0025806465934915743,0.0025806465934915743,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,post_trough_recovery_h5,0.014202950177993383,0.014202950177993383,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,preopen_path_to_trough_h1,0.0061919702479212007,0.0061919702479212007,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,preopen_path_to_trough_h3,-0.021344187560684444,-0.021344187560684444,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,preopen_path_to_trough_h5,-0.044451762570833921,-0.044451762570833921,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,resistance_high20,0.86694782807204407,0.86694782807204407,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,terminal_log_return_h1,-0.009987598628348306,-0.009987598628348306,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,terminal_log_return_h3,-0.036689757235344782,-0.036689757235344782,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,terminal_log_return_h5,-0.031548357734926008,-0.031548357734926008,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,trough_offset_h1,1,1,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,trough_offset_h3,3,3,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,trough_offset_h5,5,5,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,trough_open_h1,0.88330533426208269,0.88330533426208269,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,trough_open_h3,0.85931432518335926,0.85931432518335926,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,trough_open_h5,0.83968531775531308,0.83968531775531308,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,trough_session_intraday_h1,-0.018692133012152584,-0.018692133012152584,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,trough_session_intraday_h3,-0.017926216268151912,-0.017926216268151912,True
0000efd7832d4d8eca2d8cb6146ca9c1ed80ca9054577a96f5c730936afff857,accepted,600894.SH,2020-01-13,trough_session_intraday_h5,-0.0012995453420854702,-0.0012995453420854702,True
000110d4590bc43a1cd829655180c13e897434b78e55cebdfd9b948a2e8de982,accepted,600660.SH,2020-01-14,adverse_log_excursion_h1,-0.025523427266228093,-0.025523427266228093,True
000110d4590bc43a1cd829655180c13e897434b78e55cebdfd9b948a2e8de982,accepted,600660.SH,2020-01-14,adverse_log_excursion_h3,-0.043306942754900886,-0.043306942754900886,True
000110d4590bc43a1cd829655180c13e897434b78e55cebdfd9b948a2e8de982,accepted,600660.SH,2020-01-14,adverse_log_excursion_h5,-0.064258555240679013,-0.064258555240679013,True
000110d4590bc43a1cd829655180c13e897434b78e55cebdfd9b948a2e8de982,accepted,600660.SH,2020-01-14,closing_arm,accepted,accepted,True
000110d4590bc43a1cd829655180c13e897434b78e55cebdfd9b948a2e8de982,accepted,600660.SH,2020-01-14,coordinate_close_t,0.94918357174589052,0.94918357174589052,True
000110d4590bc43a1cd829655180c13e897434b78e55cebdfd9b948a2e8de982,accepted,600660.SH,2020-01-14,coordinate_close_t1,0.93468668634312768,0.93468668634312768,True
000110d4590bc43a1cd829655180c13e897434b78e55cebdfd9b948a2e8de982,accepted,600660.SH,2020-01-14,coordinate_close_t3,0.92925035431709158,0.92925035431709158,True
