role,market_view,denominator,scope,scope_value,direction,horizon,outcome,n,mean,median,positive,p10,p90
stock_industry_divergence,ALL_A,ALL_STATUS,overall,ALL,UP,5,terminal,16,-0.031385482054193441,-0.030852802782801898,0.125,-0.083624266857476398,0.00022792019554349931
stock_industry_divergence,ALL_A,ALL_STATUS,year,2020,UP,5,terminal,3,-0.086853528414344683,-0.084733605297524606,0,-0.09159636228196992,-0.082958663793447476
stock_industry_divergence,ALL_A,ALL_STATUS,year,2021,UP,5,terminal,6,-0.016832415957802303,-0.011690595912484267,0.16666666666666666,-0.039034572156466149,0.00022792019554349931
stock_industry_divergence,ALL_A,ALL_STATUS,year,2022,UP,5,terminal,3,-0.010857092308839321,-0.0075697861998519,0.33333333333333331,-0.025057457419232137,0.0020283503579585269
stock_industry_divergence,ALL_A,ALL_STATUS,year,2023,UP,5,terminal,4,-0.027010338737682309,-0.033004297236340151,0,-0.033814797849919698,-0.015410712826518645
stock_industry_divergence,ALL_A,NON_ST,overall,ALL,DOWN,1,downside,19,-0.0019025987578725537,-0.0011689220753158987,0.47368421052631576,-0.0099715277932583696,0.0079302110726960032
stock_industry_divergence,ALL_A,NON_ST,year,2020,DOWN,1,downside,1,-0.042687528308439963,-0.042687528308439963,0,-0.042687528308439963,-0.042687528308439963
stock_industry_divergence,ALL_A,NON_ST,year,2021,DOWN,1,downside,5,0.0023868942079920902,0.0030899252474940889,0.59999999999999998,-0.0044491409157411642,0.0092542291491431016
stock_industry_divergence,ALL_A,NON_ST,year,2022,DOWN,1,downside,4,0.006396797796172176,0.0055505214102213657,1,0.0029401516110299725,0.010530465090075027
stock_industry_divergence,ALL_A,NON_ST,year,2023,DOWN,1,downside,9,-0.0034426122573097445,-0.003679564223843499,0.22222222222222221,-0.0099715277932583696,0.0038141074501871694
stock_industry_divergence,ALL_A,NON_ST,overall,ALL,DOWN,1,terminal,19,-0.004562157245605652,0.00011941052383130056,0.52631578947368418,-0.02075058275958518,0.012186151347189329
stock_industry_divergence,ALL_A,NON_ST,year,2020,DOWN,1,terminal,1,-0.052711673518119367,-0.052711673518119367,0,-0.052711673518119367,-0.052711673518119367
stock_industry_divergence,ALL_A,NON_ST,year,2021,DOWN,1,terminal,5,0.0021467929390230687,0.0028524312625268998,0.59999999999999998,-0.010339665526512467,0.014217353679642318
stock_industry_divergence,ALL_A,NON_ST,year,2022,DOWN,1,terminal,4,0.0068872737089871339,0.0065351870998007836,1,0.0011894737152034606,0.012866742990119888
stock_industry_divergence,ALL_A,NON_ST,year,2023,DOWN,1,terminal,9,-0.0080280415199390984,-0.0090855731433863995,0.33333333333333331,-0.02075058275958518,0.0062449332817735397
stock_industry_divergence,ALL_A,NON_ST,overall,ALL,DOWN,3,downside,19,-0.0024795698366814997,-0.0013527824212308005,0.42105263157894735,-0.021242357300240565,0.012880673451336937
stock_industry_divergence,ALL_A,NON_ST,year,2020,DOWN,3,downside,1,-0.045501118214795841,-0.045501118214795841,0,-0.045501118214795841,-0.045501118214795841
stock_industry_divergence,ALL_A,NON_ST,year,2021,DOWN,3,downside,5,0.01167125994844982,0.011411447609759068,0.80000000000000004,-0.0048191675125029386,0.028690194639587115
stock_industry_divergence,ALL_A,NON_ST,year,2022,DOWN,3,downside,4,0.0045723476329157329,0.0053704922385210147,1,0.0014288964817961087,0.0070772830995511314
stock_industry_divergence,ALL_A,NON_ST,year,2023,DOWN,3,downside,9,-0.0086951554395627434,-0.0044702351500597488,0,-0.021242357300240565,-0.0011741965488863497
stock_industry_divergence,ALL_A,NON_ST,overall,ALL,DOWN,3,terminal,19,0.00070456687673856998,0.0027429681677858999,0.57894736842105265,-0.030057324643564819,0.024606599147322814
stock_industry_divergence,ALL_A,NON_ST,year,2020,DOWN,3,terminal,1,-0.005415753549488935,-0.005415753549488935,0,-0.005415753549488935,-0.005415753549488935
stock_industry_divergence,ALL_A,NON_ST,year,2021,DOWN,3,terminal,5,0.0041686779698152333,0.0098982148017391983,0.59999999999999998,-0.024757031751535319,0.02966018990724649
stock_industry_divergence,ALL_A,NON_ST,year,2022,DOWN,3,terminal,4,0.007419212015488617,0.0030523455374254502,0.5,-0.00043166806506552053,0.01876358527849329
stock_industry_divergence,ALL_A,NON_ST,year,2023,DOWN,3,terminal,9,-0.0035241904115009856,0.0027429681677858999,0.66666666666666663,-0.030057324643564819,0.013495948429336562
stock_industry_divergence,ALL_A,NON_ST,overall,ALL,DOWN,5,downside,19,-0.00027736666844823776,0.0010895983594017486,0.52631578947368418,-0.020884867907216696,0.013050202264146344
stock_industry_divergence,ALL_A,NON_ST,year,2020,DOWN,5,downside,1,-0.032640473258084494,-0.032640473258084494,0,-0.032640473258084494,-0.032640473258084494
stock_industry_divergence,ALL_A,NON_ST,year,2021,DOWN,5,downside,5,0.0082300696220922436,0.006051118803194637,0.59999999999999998,-0.0118466709716595,0.029833313323751477
stock_industry_divergence,ALL_A,NON_ST,year,2022,DOWN,5,downside,4,0.0067660135772279507,0.0082547889859400023,0.75,0.0014683982252948809,0.010872608602191381
stock_industry_divergence,ALL_A,NON_ST,year,2023,DOWN,5,downside,9,-0.0045382106513116721,-0.00031068508672715128,0.44444444444444442,-0.020884867907216696,0.0069909073599998504
stock_industry_divergence,ALL_A,NON_ST,overall,ALL,DOWN,5,terminal,19,0.0013673454777899659,0.0086557462828724674,0.63157894736842102,-0.035898221461880937,0.028388151082415828
stock_industry_divergence,ALL_A,NON_ST,year,2020,DOWN,5,terminal,1,0.0061676732022969997,0.0061676732022969997,1,0.0061676732022969997,0.0061676732022969997
stock_industry_divergence,ALL_A,NON_ST,year,2021,DOWN,5,terminal,5,-0.016178449323774467,-0.035805112144711493,0.40000000000000002,-0.040746963528271798,0.019217665333312546
stock_industry_divergence,ALL_A,NON_ST,year,2022,DOWN,5,terminal,4,0.0095625646150017327,0.0096630683554675481,1,0.0047156833034432055,0.014329042934187608
stock_industry_divergence,ALL_A,NON_ST,year,2023,DOWN,5,terminal,9,0.0069393198927308617,0.0097134982334132498,0.55555555555555558,-0.020180262319070601,0.032322251466396633
stock_industry_divergence,ALL_A,NON_ST,overall,ALL,UP,1,downside,19,-0.0017086460091699902,-0.0037332206263343999,0.42105263157894735,-0.0089986137926243871,0.0070128519882815639
stock_industry_divergence,ALL_A,NON_ST,year,2020,UP,1,downside,3,-0.0083412025622780269,-0.0063758686552988324,0,-0.011621369574350166,-0.0058471691129975663
stock_industry_divergence,ALL_A,NON_ST,year,2021,UP,1,downside,8,0.0027916927780017326,0.0039322031502512832,0.75,-0.0066502770468118951,0.0096011312173139123
stock_industry_divergence,ALL_A,NON_ST,year,2022,UP,1,downside,4,-0.0055254510594400326,-0.0059198081529953494,0,-0.0087225157795552625,-0.0020129006644805485
stock_industry_divergence,ALL_A,NON_ST,year,2023,UP,1,downside,4,-0.0019181011184123665,-0.0012426836008799166,0.5,-0.0076092763485738494,0.0032327400977231573
stock_industry_divergence,ALL_A,NON_ST,overall,ALL,UP,1,terminal,19,-0.0059328999565979659,-0.0055925626303073338,0.36842105263157893,-0.022706783352228862,0.010938388594925807
stock_industry_divergence,ALL_A,NON_ST,year,2020,UP,1,terminal,3,-0.024571431458836265,-0.023895663106523499,0,-0.026706386906368781,-0.022706783352228862
stock_industry_divergence,ALL_A,NON_ST,year,2021,UP,1,terminal,8,0.0020289462199897601,0.0011735979658729747,0.625,-0.007519874441976283,0.012299668099886352
stock_industry_divergence,ALL_A,NON_ST,year,2022,UP,1,terminal,4,-0.0099928714487771998,-0.0095346459995224661,0,-0.014696415742299993,-0.0056559075146581936
stock_industry_divergence,ALL_A,NON_ST,year,2023,UP,1,terminal,4,-0.0038177221909154587,-0.0040225305770930832,0.5,-0.01159560653861743,0.004124008865728614
stock_industry_divergence,ALL_A,NON_ST,overall,ALL,UP,3,downside,19,-0.0013510308572532784,-0.0020804421963741965,0.42105263157894735,-0.015610988148642301,0.011735788844043167
