role_operator,block,coordinate,market_view,denominator,n,rho_discovery_dynamic,rho_leadership_dynamic,joint_adjusted_rank_r2,gate_pass
formation_depth__acceleration,B,absolute,SZ_A,ALL_STATUS,727,-0.0028495013802,0.270685110813,0.0799416911961,True
formation_depth__acceleration,B,absolute,CHINEXT_BOARD,ALL_STATUS,727,0.128112413614,0.209995785289,0.0723570812271,True
formation_depth__acceleration,B,absolute,ALL_A,NON_ST,727,-0.000490100121212,0.328045188524,0.120184183918,True
formation_depth__acceleration,B,absolute,SH_A,NON_ST,727,0.0412856806817,0.299447551323,0.109167447241,True
formation_depth__acceleration,B,absolute,SZ_A,NON_ST,727,0.0176622177372,0.268709376156,0.0827369157027,True
formation_depth__acceleration,B,absolute,CHINEXT_BOARD,NON_ST,727,0.130450097107,0.208057511456,0.0725595213601,True
formation_depth__acceleration,B,pit_3y_pct,ALL_A,ALL_STATUS,727,-0.0239054350431,0.33386684668,0.119835657484,True
formation_depth__acceleration,B,pit_3y_pct,SH_A,ALL_STATUS,727,0.0153042897588,0.304493647786,0.106854125081,True
formation_depth__acceleration,B,pit_3y_pct,SZ_A,ALL_STATUS,727,-0.00278488487855,0.277343125723,0.0839082163052,True
formation_depth__acceleration,B,pit_3y_pct,CHINEXT_BOARD,ALL_STATUS,727,0.127260598539,0.213137645797,0.0731070827758,True
formation_depth__acceleration,B,pit_3y_pct,ALL_A,NON_ST,727,-0.00222599570002,0.333215611983,0.123410128125,True
formation_depth__acceleration,B,pit_3y_pct,SH_A,NON_ST,727,0.0408781327826,0.305376428627,0.112814826367,True
formation_depth__acceleration,B,pit_3y_pct,SZ_A,NON_ST,727,0.0157902029611,0.275218597551,0.0861910953474,True
formation_depth__acceleration,B,pit_3y_pct,CHINEXT_BOARD,NON_ST,727,0.129791397162,0.212348287292,0.0738402405125,True
formation_depth__acceleration,B,relative_to_all,SH_A,ALL_STATUS,727,0.211753920707,0.100542417443,0.0556736625521,True
formation_depth__acceleration,B,relative_to_all,SZ_A,ALL_STATUS,727,0.177287293175,0.13583852686,0.0504989935052,True
formation_depth__acceleration,B,relative_to_all,CHINEXT_BOARD,ALL_STATUS,727,0.195524557973,0.231780911348,0.0914692178522,True
formation_depth__acceleration,B,relative_to_all,SH_A,NON_ST,727,0.212184339357,0.103270182362,0.0568969614432,True
formation_depth__acceleration,B,relative_to_all,SZ_A,NON_ST,727,0.173356873213,0.140113544078,0.0508971957598,True
formation_depth__acceleration,B,relative_to_all,CHINEXT_BOARD,NON_ST,727,0.207131464259,0.240878135245,0.101353996234,True
closing_acceptance__change,A,absolute,ALL_A,ALL_STATUS,605,0.485255051694,-0.0847571994955,0.244128839597,True
closing_acceptance__change,A,absolute,SH_A,ALL_STATUS,605,0.488788121919,-0.0959968702178,0.242844791627,True
closing_acceptance__change,A,absolute,SZ_A,ALL_STATUS,605,0.462336387403,-0.0764057257062,0.220347181583,True
closing_acceptance__change,A,absolute,CHINEXT_BOARD,ALL_STATUS,605,0.459139757934,-0.0780429729423,0.213601401415,True
closing_acceptance__change,A,absolute,ALL_A,NON_ST,605,0.502143959128,-0.0894380416265,0.261109045357,True
closing_acceptance__change,A,absolute,SH_A,NON_ST,605,0.498362954007,-0.0976949134789,0.251583393886,True
closing_acceptance__change,A,absolute,SZ_A,NON_ST,605,0.480936219596,-0.0821671170914,0.238113166426,True
closing_acceptance__change,A,absolute,CHINEXT_BOARD,NON_ST,605,0.458977105167,-0.0775911395571,0.213429854315,True
closing_acceptance__change,A,pit_3y_pct,ALL_A,ALL_STATUS,102,0.570531125071,-0.190459765565,0.311937638022,False
closing_acceptance__change,A,pit_3y_pct,SH_A,ALL_STATUS,102,0.552889155278,-0.192925117754,0.292020385538,False
closing_acceptance__change,A,pit_3y_pct,SZ_A,ALL_STATUS,102,0.524944727482,-0.155843054323,0.261632187568,False
closing_acceptance__change,A,pit_3y_pct,CHINEXT_BOARD,ALL_STATUS,102,0.520783032044,-0.159133960226,0.256603621012,False
closing_acceptance__change,A,pit_3y_pct,ALL_A,NON_ST,102,0.583004902432,-0.212625317358,0.326562190751,False
closing_acceptance__change,A,pit_3y_pct,SH_A,NON_ST,102,0.547867979259,-0.207524978654,0.286919398365,False
closing_acceptance__change,A,pit_3y_pct,SZ_A,NON_ST,102,0.577723620449,-0.186230216397,0.320419667067,False
closing_acceptance__change,A,pit_3y_pct,CHINEXT_BOARD,NON_ST,102,0.519177160434,-0.157799503537,0.25483846513,False
closing_acceptance__change,A,relative_to_all,SH_A,ALL_STATUS,605,0.273167834544,-0.0921294923742,0.0742897275398,True
closing_acceptance__change,A,relative_to_all,SZ_A,ALL_STATUS,605,0.259414448368,-0.114017593007,0.0692050671015,True
