role,market_view,denominator,event_year,pit_observations,raw_up_crossings,raw_down_crossings,declustered_up_episodes,declustered_down_episodes,matched_up_episodes,matched_down_episodes
formation_leadership_concentration,SH_A,ALL_STATUS,2020,186,33,33,6,2,0,0
formation_leadership_concentration,SH_A,ALL_STATUS,2021,243,47,46,7,7,0,0
formation_leadership_concentration,SH_A,ALL_STATUS,2022,242,39,39,3,12,1,0
formation_leadership_concentration,SH_A,ALL_STATUS,2023,237,38,38,5,9,5,0
formation_leadership_concentration,SH_A,NON_ST,2018,0,0,0,0,0,0,0
formation_leadership_concentration,SH_A,NON_ST,2019,0,0,0,0,0,0,0
formation_leadership_concentration,SH_A,NON_ST,2020,186,31,31,8,3,0,0
formation_leadership_concentration,SH_A,NON_ST,2021,243,47,46,7,7,0,0
formation_leadership_concentration,SH_A,NON_ST,2022,242,37,37,5,11,3,0
formation_leadership_concentration,SH_A,NON_ST,2023,237,45,45,5,8,4,0
formation_leadership_concentration,SZ_A,ALL_STATUS,2018,0,0,0,0,0,0,0
formation_leadership_concentration,SZ_A,ALL_STATUS,2019,0,0,0,0,0,0,0
formation_leadership_concentration,SZ_A,ALL_STATUS,2020,187,36,36,9,2,0,2
formation_leadership_concentration,SZ_A,ALL_STATUS,2021,243,47,47,7,5,0,4
formation_leadership_concentration,SZ_A,ALL_STATUS,2022,242,41,42,5,8,1,1
formation_leadership_concentration,SZ_A,ALL_STATUS,2023,237,38,38,7,10,6,0
formation_leadership_concentration,SZ_A,NON_ST,2018,0,0,0,0,0,0,0
formation_leadership_concentration,SZ_A,NON_ST,2019,0,0,0,0,0,0,0
formation_leadership_concentration,SZ_A,NON_ST,2020,187,37,37,7,4,0,2
formation_leadership_concentration,SZ_A,NON_ST,2021,243,46,46,7,5,0,3
formation_leadership_concentration,SZ_A,NON_ST,2022,242,40,41,5,9,1,0
formation_leadership_concentration,SZ_A,NON_ST,2023,237,38,38,7,9,2,0
formation_participation,ALL_A,ALL_STATUS,2018,0,0,0,0,0,0,0
formation_participation,ALL_A,ALL_STATUS,2019,0,0,0,0,0,0,0
formation_participation,ALL_A,ALL_STATUS,2020,187,20,20,4,7,4,3
formation_participation,ALL_A,ALL_STATUS,2021,243,23,22,3,13,3,7
formation_participation,ALL_A,ALL_STATUS,2022,242,18,19,6,6,6,4
formation_participation,ALL_A,ALL_STATUS,2023,237,28,28,7,8,0,5
formation_participation,ALL_A,NON_ST,2018,0,0,0,0,0,0,0
formation_participation,ALL_A,NON_ST,2019,0,0,0,0,0,0,0
formation_participation,ALL_A,NON_ST,2020,187,21,21,4,7,4,5
formation_participation,ALL_A,NON_ST,2021,243,26,25,2,12,2,6
formation_participation,ALL_A,NON_ST,2022,242,18,19,6,6,6,3
formation_participation,ALL_A,NON_ST,2023,237,29,29,7,8,0,6
formation_participation,CHINEXT_BOARD,ALL_STATUS,2018,0,0,0,0,0,0,0
formation_participation,CHINEXT_BOARD,ALL_STATUS,2019,0,0,0,0,0,0,0
formation_participation,CHINEXT_BOARD,ALL_STATUS,2020,187,14,14,2,7,1,7
formation_participation,CHINEXT_BOARD,ALL_STATUS,2021,243,22,21,8,9,8,6
formation_participation,CHINEXT_BOARD,ALL_STATUS,2022,242,17,18,5,6,2,4
formation_participation,CHINEXT_BOARD,ALL_STATUS,2023,237,23,23,8,12,2,5
formation_participation,CHINEXT_BOARD,NON_ST,2018,0,0,0,0,0,0,0
formation_participation,CHINEXT_BOARD,NON_ST,2019,0,0,0,0,0,0,0
formation_participation,CHINEXT_BOARD,NON_ST,2020,187,14,14,2,7,1,7
formation_participation,CHINEXT_BOARD,NON_ST,2021,243,23,22,8,9,8,6
